seagrass_area_km2,grid_center_latitude_deg,grid_center_longitude_deg
99.8532,53.5,141.5
98.5720,-3.5,122.5
98.2057,-33.5,120.5
97.5229,32.5,20.5
97.1519,29.5,-112.5
96.0758,31.5,19.5
953.0644,18.5,-88.5
94.8304,35.5,10.5
937.1126,-26.5,113.5
93.7640,-8.5,128.5
920.0259,20.5,-78.5
91.1968,6.5,117.5
902.9198,23.5,-79.5
90.7125,56.5,16.5
90.4189,39.5,2.5
9.9851,60.5,27.5
9.9722,43.5,-4.5
9.9137,6.5,125.5
9.8998,43.5,10.5
9.8347,19.5,-91.5
9.8328,13.5,-81.5
9.8289,-17.5,139.5
9.8142,-10.5,121.5
9.7893,5.5,115.5
9.7341,62.5,-73.5
9.7133,37.5,15.5
9.6620,30.5,18.5
9.6083,-7.5,113.5
9.5398,38.5,17.5
9.5104,40.5,19.5
9.4951,25.5,-81.5
9.4903,8.5,-77.5
9.4836,18.5,-66.5
9.4812,61.5,4.5
9.4405,-2.5,132.5
9.3622,13.5,-60.5
9.3470,54.5,-9.5
9.3139,47.5,-69.5
9.2999,-10.5,166.5
9.2853,35.5,27.5
9.2384,69.5,18.5
9.1973,18.5,122.5
9.1055,59.5,5.5
9.0386,33.5,126.5
9.0376,-2.5,130.5
9.0276,-34.5,119.5
885.7141,20.5,-90.5
88.4532,-40.5,144.5
86.1270,-10.5,142.5
85.6517,20.5,-86.5
85.2113,40.5,26.5
84.4762,-2.5,123.5
84.1953,-7.5,115.5
83.0264,-33.5,123.5
82.9396,-0.5,42.5
813.1580,24.5,-80.5
812.7872,17.5,-88.5
80.7002,-40.5,147.5
8.9335,27.5,35.5
8.9205,-33.5,124.5
8.9088,10.5,92.5
8.8987,19.5,37.5
8.8739,43.5,16.5
8.8697,12.5,119.5
8.8273,42.5,-9.5
8.8056,-31.5,132.5
8.8018,14.5,121.5
8.7826,35.5,-0.5
8.7635,-8.5,157.5
8.7452,8.5,124.5
8.7223,-39.5,147.5
8.6846,16.5,42.5
8.6824,-17.5,-178.5
8.6358,9.5,-78.5
8.6281,-1.5,129.5
8.6073,57.5,-156.5
8.5961,17.5,54.5
8.5701,62.5,-74.5
8.5263,59.5,18.5
8.5166,60.5,-144.5
8.4619,63.5,10.5
8.3932,38.5,-122.5
8.3703,23.5,51.5
8.3190,31.5,24.5
8.2175,-9.5,150.5
8.1964,45.5,-60.5
8.1908,-8.5,127.5
8.1867,43.5,9.5
8.1387,17.5,122.5
8.1371,16.5,94.5
8.1068,42.5,18.5
8.1066,69.5,17.5
8.0313,-1.5,125.5
8.0159,46.5,-61.5
791.2116,21.5,-71.5
79.7999,-23.5,43.5
79.7893,18.5,-65.5
79.6908,49.5,-124.5
79.5892,25.5,-97.5
78.5808,46.5,-63.5
78.4745,-19.5,147.5
78.3415,-26.5,114.5
77.2625,11.5,-72.5
76.3574,-33.5,136.5
758.7130,25.5,-77.5
75.8098,-4.5,122.5
75.7202,48.5,-4.5
75.2914,-16.5,123.5
748.0401,21.5,-79.5
74.6981,-10.5,123.5
74.3010,-32.5,126.5
74.0167,7.5,122.5
731.8267,44.5,51.5
73.7110,43.5,145.5
73.0107,-15.5,50.5
72.7869,38.5,1.5
72.2623,19.5,-69.5
71.1967,56.5,8.5
70.5903,-21.5,114.5
7.9937,-9.5,161.5
7.9798,43.5,2.5
7.9417,53.5,-10.5
7.8099,18.5,94.5
7.8047,60.5,17.5
7.8040,-34.5,114.5
7.7962,11.5,51.5
7.7829,11.5,-71.5
7.7716,-46.5,168.5
7.7679,44.5,144.5
7.7647,18.5,93.5
7.7528,-11.5,166.5
7.6969,1.5,121.5
7.6832,58.5,-160.5
7.6711,-8.5,-35.5
7.6607,-10.5,149.5
7.5893,58.5,-6.5
7.5891,10.5,-65.5
7.5771,13.5,93.5
7.5739,56.5,18.5
7.5527,14.5,168.5
7.5161,-5.5,72.5
7.5153,31.5,15.5
7.4727,13.5,43.5
7.4391,68.5,13.5
7.4354,3.5,125.5
7.4275,-1.5,42.5
7.3828,20.5,37.5
7.3550,16.5,111.5
7.3188,-1.5,105.5
7.3173,-14.5,124.5
7.2954,44.5,8.5
7.2874,17.5,111.5
7.2518,-19.5,179.5
7.2359,0.5,130.5
7.2174,9.5,124.5
7.1910,-7.5,127.5
7.1888,64.5,23.5
7.1856,39.5,16.5
7.1720,50.5,-127.5
7.1702,15.5,42.5
7.1579,-16.5,49.5
7.0968,43.5,-3.5
7.0674,41.5,-71.5
7.0537,11.5,109.5
7.0443,23.5,-82.5
7.0427,58.5,5.5
7.0303,39.5,21.5
7.0165,-37.5,139.5
6988.6926,22.5,-76.5
696.5730,29.5,-83.5
69.8528,36.5,25.5
681.6716,-33.5,137.5
68.8786,-14.5,40.5
67.8514,-7.5,117.5
67.7269,37.5,23.5
67.5035,-34.5,115.5
67.0444,-9.5,147.5
66.9639,5.5,119.5
66.6580,19.5,-72.5
66.6376,37.5,12.5
66.5842,47.5,-65.5
66.2449,10.5,123.5
65.7046,12.5,123.5
65.6995,40.5,9.5
65.5022,-26.5,32.5
65.3742,-15.5,135.5
65.3654,-5.5,122.5
65.3566,7.5,123.5
65.1165,-15.5,40.5
65.0831,15.5,119.5
648.6061,21.5,-72.5
641.9315,19.5,-16.5
64.8817,45.5,49.5
64.7654,22.5,69.5
64.3970,-12.5,-38.5
64.3055,-6.5,119.5
64.0915,31.5,20.5
634.3483,18.5,-87.5
63.8438,30.5,-83.5
63.6057,11.5,-66.5
63.3110,-4.5,121.5
62.5785,46.5,-123.5
62.2318,10.5,79.5
62.0105,32.5,-64.5
617.7794,-20.5,115.5
61.9729,-5.5,121.5
61.6132,-21.5,149.5
61.5234,43.5,6.5
61.4633,-22.5,150.5
60.9696,51.5,-55.5
60.4431,28.5,33.5
60.2105,-6.5,115.5
6.9184,1.5,125.5
6.8777,-8.5,125.5
6.8757,11.5,102.5
6.8594,-6.5,38.5
6.8486,16.5,112.5
6.8475,5.5,116.5
6.7157,-2.5,117.5
6.6874,56.5,-2.5
6.6858,-8.5,129.5
