year,gamma,surface_temp_C,deep_ocean_temp_C,heat_uptake_Wm2
2015,0,0.0,0.0,0.0
2016,0,0.0,0.0,1.1931
2017,0,0.0895,0.0,1.2353
2018,0,0.1822,0.0,1.2702
2019,0,0.2745,0.0002,1.2386
2020,0,0.3613,0.0007,1.2041
2021,0,0.4424,0.0013,1.1695
2022,0,0.518,0.0022,1.1389
2023,0,0.5886,0.0032,1.1118
2024,0,0.6547,0.0045,1.0877
2025,0,0.7166,0.0059,1.0664
2026,0,0.7748,0.0074,1.0476
2027,0,0.8295,0.0091,1.031
2028,0,0.881,0.011,1.0164
2029,0,0.9297,0.013,1.0036
2030,0,0.9757,0.015,0.9924
2031,0,1.0194,0.0172,0.9826
2032,0,1.0608,0.0196,0.974
2033,0,1.1002,0.022,0.9664
2034,0,1.1377,0.0245,0.9593
2035,0,1.1734,0.027,0.9526
2036,0,1.2075,0.0297,0.9463
2037,0,1.2399,0.0325,0.9404
2038,0,1.2709,0.0353,0.9348
2039,0,1.3004,0.0382,0.9294
2040,0,1.3286,0.0412,0.9242
2041,0,1.3556,0.0442,0.9192
2042,0,1.3812,0.0473,0.9144
2043,0,1.4058,0.0504,0.9096
2044,0,1.4292,0.0536,0.9048
2045,0,1.4515,0.0569,0.9001
2046,0,1.4728,0.0602,0.8953
2047,0,1.4931,0.0635,0.8904
2048,0,1.5124,0.0669,0.8855
2049,0,1.5308,0.0704,0.8804
2050,0,1.5483,0.0738,0.8753
2051,0,1.5648,0.0773,0.87
2052,0,1.5806,0.0809,0.8647
2053,0,1.5954,0.0844,0.8592
2054,0,1.6095,0.088,0.8538
2055,0,1.6228,0.0917,0.8483
2056,0,1.6353,0.0953,0.8429
2057,0,1.647,0.099,0.8373
2058,0,1.6581,0.1027,0.8317
2059,0,1.6685,0.1064,0.8261
2060,0,1.6782,0.1101,0.8203
2061,0,1.6872,0.1139,0.8144
2062,0,1.6956,0.1177,0.8084
2063,0,1.7034,0.1214,0.8023
2064,0,1.7105,0.1252,0.7963
2065,0,1.7171,0.129,0.7903
2066,0,1.7231,0.1328,0.7844
2067,0,1.7286,0.1366,0.7783
2068,0,1.7335,0.1405,0.7723
2069,0,1.738,0.1443,0.7662
2070,0,1.7419,0.1481,0.76
2071,0,1.7453,0.1519,0.7537
2072,0,1.7483,0.1558,0.7472
2073,0,1.7508,0.1596,0.7406
2074,0,1.7529,0.1634,0.7336
2075,0,1.7544,0.1672,0.7262
2076,0,1.7555,0.171,0.7185
2077,0,1.756,0.1749,0.7104
2078,0,1.7561,0.1787,0.702
2079,0,1.7556,0.1825,0.6933
2080,0,1.7546,0.1862,0.6843
2081,0,1.7531,0.19,0.675
2082,0,1.751,0.1938,0.6654
2083,0,1.7484,0.1975,0.6557
2084,0,1.7452,0.2013,0.6461
2085,0,1.7416,0.205,0.6365
2086,0,1.7374,0.2087,0.627
2087,0,1.7328,0.2124,0.6176
2088,0,1.7278,0.2161,0.6081
2089,0,1.7223,0.2197,0.5986
2090,0,1.7164,0.2233,0.5891
2091,0,1.7101,0.2269,0.5795
2092,0,1.7034,0.2305,0.5698
2093,0,1.6963,0.2341,0.5604
2094,0,1.6888,0.2376,0.5517
2095,0,1.6811,0.2411,0.5434
2096,0,1.6731,0.2446,0.5357
2097,0,1.6649,0.2481,0.5285
2098,0,1.6565,0.2515,0.5216
2099,0,1.648,0.2549,0.515
2100,0,1.6394,0.2583,0.5087
2101,0,1.6308,0.2616,0.5027
2102,0,1.6221,0.2649,0.4969
2103,0,1.6133,0.2682,0.4914
2104,0,1.6046,0.2715,0.4861
2105,0,1.5958,0.2747,0.4811
2106,0,1.5871,0.2779,0.4762
2107,0,1.5784,0.2811,0.4716
2108,0,1.5698,0.2842,0.4672
