model,peak_temp_C,peak_year,min_temp_C,min_year,end_temp_C,rebound_C,has_rebound
0,2.658,2103,2.067,2159,2.405,0.338,True
1,2.149,2086,1.541,2192,1.713,0.173,True
2,1.725,2063,0.978,2296,1.064,0.0,False
3,2.85,2086,1.548,2275,1.837,0.289,True
4,1.726,2094,1.035,2268,1.174,0.138,True
5,2.413,2293,2.141,2295,2.265,0.0,False
6,1.288,2066,0.65,2273,0.837,0.187,True
7,1.159,2041,0.552,2260,0.715,0.163,True
8,2.032,2049,1.14,2279,1.296,0.156,True
9,2.045,2083,1.201,2280,1.503,0.302,True
10,2.304,2080,1.177,2262,1.551,0.374,True
11,1.878,2044,0.668,2244,1.118,0.449,True
12,1.929,2065,0.636,2179,1.109,0.473,True
13,1.787,2080,1.345,2285,1.43,0.084,True
