year,co2_ppm
2015,420.6
2016,422.52
2017,424.35
2018,426.1
2019,427.75
2020,429.31
2021,430.78
2022,432.16
2023,433.44
2024,434.59
2025,435.65
2026,436.63
2027,437.52
2028,438.33
2029,439.06
2030,439.69
2031,440.22
2032,440.66
2033,441.02
2034,441.35
2035,441.62
2036,441.86
2037,442.08
2038,442.28
2039,442.46
2040,442.6
2041,442.7
2042,442.75
2043,442.76
2044,442.73
2045,442.66
2046,442.55
2047,442.41
2048,442.25
2049,442.08
2050,441.89
2051,441.67
2052,441.42
2053,441.13
2054,440.8
2055,440.43
2056,440.01
2057,439.54
2058,439.05
2059,438.54
2060,438.02
2061,437.48
2062,436.92
2063,436.34
2064,435.76
2065,435.18
2066,434.6
2067,434.0
2068,433.38
2069,432.78
2070,432.19
2071,431.62
2072,431.06
2073,430.51
2074,429.96
2075,429.41
2076,428.86
2077,428.3
2078,427.73
2079,427.14
2080,426.57
2081,426.0
2082,425.46
2083,424.94
2084,424.43
2085,423.93
2086,423.43
2087,422.93
2088,422.43
2089,421.92
2090,421.4
2091,420.9
2092,420.41
2093,419.95
2094,419.5
2095,419.06
2096,418.62
2097,418.17
2098,417.71
2099,417.25
2100,416.77
2101,416.28
2102,415.8
2103,415.32
2104,414.87
2105,414.42
2106,413.99
2107,413.55
2108,413.1
2109,412.64
2110,412.17
2111,411.69
2112,411.19
2113,410.7
2114,410.22
2115,409.76
2116,409.31
2117,408.86
2118,408.42
2119,407.97
2120,407.52
2121,407.07
2122,406.61
2123,406.15
2124,405.69
2125,405.26
2126,404.84
2127,404.45
2128,404.07
2129,403.68
2130,403.29
2131,402.9
2132,402.51
2133,402.1
2134,401.69
2135,401.28
2136,400.89
2137,400.53
2138,400.17
2139,399.83
2140,399.49
2141,399.14
2142,398.79
2143,398.43
2144,398.06
2145,397.68
2146,397.31
2147,396.96
2148,396.62
2149,396.3
2150,395.99
2151,395.68
2152,395.36
2153,395.03
2154,394.7
2155,394.36
2156,394.0
2157,393.66
2158,393.33
2159,393.02
2160,392.72
2161,392.44
2162,392.14
2163,391.85
2164,391.54
2165,391.23
2166,390.91
2167,390.58
2168,390.26
2169,389.95
2170,389.65
2171,389.38
2172,389.11
2173,388.83
2174,388.55
2175,388.27
2176,387.97
2177,387.67
2178,387.35
2179,387.05
2180,386.75
2181,386.48
2182,386.21
2183,385.96
2184,385.7
2185,385.44
2186,385.16
2187,384.88
2188,384.59
2189,384.29
2190,384.0
2191,383.72
2192,383.45
2193,383.2
2194,382.96
2195,382.72
2196,382.46
2197,382.2
2198,381.93
2199,381.66
2200,381.37
2201,381.08
2202,380.81
2203,380.56
2204,380.32
2205,380.09
2206,379.86
2207,379.61
2208,379.36
2209,379.11
2210,378.84
2211,378.56
2212,378.29
2213,378.03
2214,377.78
2215,377.56
2216,377.33
2217,377.11
2218,376.87
2219,376.63
2220,376.38
2221,376.12
2222,375.85
2223,375.59
2224,375.34
2225,375.11
2226,374.89
2227,374.67
2228,374.45
2229,374.23
2230,373.99
2231,373.75
2232,373.5
2233,373.24
2234,372.98
2235,372.74
2236,372.52
2237,372.3
2238,372.1
2239,371.89
2240,371.67
2241,371.44
2242,371.21
2243,370.96
2244,370.71
2245,370.46
2246,370.23
2247,370.01
2248,369.8
2249,369.6
2250,369.4
2251,369.19
2252,368.97
2253,368.74
2254,368.5
2255,368.26
2256,368.02
2257,367.79
2258,367.58
2259,367.38
2260,367.18
2261,366.98
2262,366.78
2263,366.57
2264,366.35
2265,366.11
2266,365.87
2267,365.64
2268,365.42
2269,365.21
2270,365.02
2271,364.83
2272,364.64
2273,364.44
2274,364.23
2275,364.02
2276,363.79
2277,363.55
2278,363.32
2279,363.11
2280,362.91
2281,362.72
2282,362.54
2283,362.35
2284,362.16
2285,361.95
2286,361.75
2287,361.52
2288,361.29
2289,361.07
2290,360.86
2291,360.86
2292,360.86
2293,360.86
2294,360.86
2295,360.86
2296,360.86
2297,360.86
2298,360.86
2299,360.86
