meander_id,cuenca,tipo_canal_codigo,tipo_canal_nombre,slope_t1_pct,slope_t2_pct,migration_m_yr_t1,migration_m_yr_t2,migration_norm_t1,migration_norm_t2,curvatura_R_t1,curvatura_R_t2,sinuosidad_C_t1,sinuosidad_C_t2
UYTRB_M001,Yarlung_Tsangpo,1,sparsely grass-vegetated-cobble-pebble gravel,1.37375328,1.308278764,0.88033,0.41889,0.0371,0.01423,2.28717,1.82496,1.75247,1.46461
UYTRB_M002,Yarlung_Tsangpo,1,sparsely grass-vegetated-cobble-pebble gravel,0.737020005,0.918146374,0.79667,0.71727,0.03406,0.03197,1.77535,1.56659,1.76425,1.82147
UYTRB_M003,Yarlung_Tsangpo,1,sparsely grass-vegetated-cobble-pebble gravel,0.310126541,0.311787401,0.65233,0.69091,0.02631,0.02603,1.21556,1.13525,1.52744,1.42768
UYTRB_M004,Yarlung_Tsangpo,1,sparsely grass-vegetated-cobble-pebble gravel,0.201023855,0.225464662,0.751,0.71303,0.02585,0.02663,1.36881,1.29693,1.78661,1.89385
UYTRB_M005,Yarlung_Tsangpo,1,sparsely grass-vegetated-cobble-pebble gravel,0.451801055,0.459414896,1.20333,0.90576,0.03908,0.02687,1.87063,1.83356,1.23453,1.11398
UYTRB_M006,Yarlung_Tsangpo,1,sparsely grass-vegetated-cobble-pebble gravel,1.173000771,0.996503411,0.38133,0.79063,0.01129,0.02214,1.29338,1.15292,1.11671,1.04193
UYTRB_M007,Yarlung_Tsangpo,1,sparsely grass-vegetated-cobble-pebble gravel,2.199950359,2.024623101,0.76267,1.61508,0.01938,0.03451,2.20151,1.75368,2.04165,1.81018
UYTRB_M008,Yarlung_Tsangpo,1,sparsely grass-vegetated-cobble-pebble gravel,0.475486772,0.464747964,0.70467,1.05492,0.01691,0.02066,4.06422,3.3613,1.8145,1.56942
UYTRB_M009,Yarlung_Tsangpo,1,sparsely grass-vegetated-cobble-pebble gravel,1.172887195,1.130495116,0.92033,2.62063,0.02621,0.06403,1.61491,1.38541,2.18465,1.99194
UYTRB_M010,Yarlung_Tsangpo,1,sparsely grass-vegetated-cobble-pebble gravel,0.703939484,0.681992599,0.868,1.46444,0.0188,0.02665,3.28181,2.54357,2.10035,1.87121
UYTRB_M011,Yarlung_Tsangpo,1,sparsely grass-vegetated-cobble-pebble gravel,0.885314841,0.838280688,1.18362,2.06603,0.01094,0.01689,2.61421,2.3136,1.37747,1.21758
UYTRB_M012,Yarlung_Tsangpo,1,sparsely grass-vegetated-cobble-pebble gravel,0.854714317,0.848342544,1.23767,1.27508,0.00992,0.00981,3.03484,2.90083,1.00861,0.95581
UYTRB_M013,Yarlung_Tsangpo,1,sparsely grass-vegetated-cobble-pebble gravel,1.145304505,1.157125391,0.70933,0.68667,0.02366,0.02263,4.74355,4.63434,2.84503,2.83497
UYTRB_M014,Yarlung_Tsangpo,1,sparsely grass-vegetated-cobble-pebble gravel,0.199763343,0.195455357,0.47433,0.51492,0.01233,0.0109,4.08512,3.10992,2.80968,2.53871
UYTRB_M015,Yarlung_Tsangpo,1,sparsely grass-vegetated-cobble-pebble gravel,0.298050521,0.333964383,0.379,0.56758,0.00957,0.01541,4.22071,4.29041,2.71486,2.81019
UYTRB_M016,Yarlung_Tsangpo,1,sparsely grass-vegetated-cobble-pebble gravel,0.714701909,0.757659805,0.94367,2.15364,0.02651,0.06205,2.82185,2.83772,2.588,2.62544
UYTRB_M017,Yarlung_Tsangpo,1,sparsely grass-vegetated-cobble-pebble gravel,0.719081673,0.708497472,0.37433,1.26095,0.01025,0.03243,1.70477,1.50232,2.33021,2.2415
UYTRB_M018,Yarlung_Tsangpo,1,sparsely grass-vegetated-cobble-pebble gravel,0.497235693,0.490850021,0.607,0.60905,0.0169,0.02125,5.33243,6.40711,1.60519,1.89745
UYTRB_M019,Yarlung_Tsangpo,1,sparsely grass-vegetated-cobble-pebble gravel,0.234809018,0.23543634,1.63867,1.41286,0.03979,0.03291,3.17251,2.77799,2.44653,2.38701
UYTRB_M020,Yarlung_Tsangpo,1,sparsely grass-vegetated-cobble-pebble gravel,0.092165157,0.089931101,0.99633,1.29302,0.02303,0.04252,3.88694,5.40471,2.74315,3.2003
UYTRB_M021,Yarlung_Tsangpo,1,sparsely grass-vegetated-cobble-pebble gravel,0.331744689,0.323207931,0.85267,0.96524,0.02388,0.03036,3.37255,3.86358,2.95288,3.1032
UYTRB_M022,Yarlung_Tsangpo,1,sparsely grass-vegetated-cobble-pebble gravel,1.687119197,1.687687466,0.66933,1.37111,0.02301,0.04755,3.38365,3.41084,3.00143,3.02368
UYTRB_M023,Yarlung_Tsangpo,1,sparsely grass-vegetated-cobble-pebble gravel,0.261725962,0.247126289,0.60567,1.44571,0.01631,0.04783,2.81378,3.48573,2.38273,2.65799
UYTRB_M024,Yarlung_Tsangpo,1,sparsely grass-vegetated-cobble-pebble gravel,0.350293194,0.338938428,1.143,1.12571,0.02855,0.02698,2.30104,2.1971,2.13621,2.08739
UYTRB_M025,Yarlung_Tsangpo,1,sparsely grass-vegetated-cobble-pebble gravel,0.040256646,0.03951993,0.35867,0.60381,0.00997,0.01629,2.46576,2.37031,2.28377,2.24042
UYTRB_M026,Yarlung_Tsangpo,1,sparsely grass-vegetated-cobble-pebble gravel,0.571728421,0.546183696,0.483,0.52667,0.01356,0.01441,4.01323,3.89147,1.89021,1.86145
