meander_id,tributario,decada,temp_C,precip_mm,glacier_index,ndvi,meltwater_AMB,discharge_Q,sediment_Qs,migration_m_yr,migration_norm,RPMI
JYR_M001,JYR,1980s,-4.73,30.52,16.49,0.16,-0.00093,152.5,1.01,,,
JYR_M002,JYR,1980s,-4.73,30.52,16.49,0.16,-0.00093,152.5,1.01,,,
JYR_M003,JYR,1980s,-4.79,30.43,16.49,0.16,-0.00093,152.5,1.01,,,
JYR_M004,JYR,1980s,-4.73,30.52,16.49,0.16,-0.00093,152.5,1.01,,,
JYR_M005,JYR,1980s,-4.79,30.43,16.49,0.16,-0.00093,152.5,1.01,,,
JYR_M006,JYR,1980s,-4.79,30.43,16.49,0.16,-0.00093,152.5,1.01,,,
JYR_M007,JYR,1980s,-4.44,30.51,16.49,0.16,-0.00093,152.5,1.01,,,
JYR_M008,JYR,1980s,-4.44,30.51,16.49,0.16,-0.00093,152.5,1.01,,,
JYR_M009,JYR,1980s,-4.49,30.32,16.49,0.16,-0.00093,152.5,1.01,,,
JYR_M010,JYR,1980s,-4.49,30.32,16.49,0.16,-0.00093,152.5,1.01,,,
JYR_M011,JYR,1980s,-4.7,29.13,16.49,0.16,-0.0009,152.5,1.01,0.89,0.008,0.0006
JYR_M012,JYR,1980s,-4.7,29.22,16.49,0.16,-0.00089,152.5,1.01,,,
JYR_M013,JYR,1980s,-4.71,29.04,16.49,0.16,-0.00088,152.5,1.01,,,
JYR_M019,JYR,1980s,-3.58,27.7,16.49,0.16,-0.00073,152.5,1.01,,,
JYR_M020,JYR,1980s,-3.58,27.7,16.49,0.16,-0.00073,152.5,1.01,,,
JYR_M021,JYR,1980s,-3.62,27.7,16.49,0.16,-0.00073,152.5,1.01,,,
JYR_M022,JYR,1980s,-3.62,27.7,16.49,0.16,-0.00073,152.5,1.01,,,
JYR_M023,JYR,1980s,-3.62,27.7,16.49,0.16,-0.00072,152.5,1.01,,,
JYR_M024,JYR,1980s,-3.67,27.7,16.49,0.16,-0.00072,152.5,1.01,,,
JYR_M025,JYR,1980s,-3.67,27.7,16.49,0.16,-0.00072,152.5,1.01,,,
JYR_M026,JYR,1980s,-3.72,27.61,16.49,0.16,-0.00072,152.5,1.01,,,
JYR_M027,JYR,1980s,-3.72,27.61,16.49,0.16,-0.00072,152.5,1.01,,,
JYR_M028,JYR,1980s,-3.72,27.61,16.49,0.16,-0.00071,152.5,1.01,,,
JYR_M029,JYR,1980s,-3.73,27.85,16.49,0.16,-0.00071,152.5,1.01,,,
JYR_M030,JYR,1980s,-3.73,27.85,16.49,0.16,-0.00071,152.5,1.01,,,
JYR_M035,JYR,1980s,-3.76,27.97,16.49,0.16,-0.00071,152.5,1.01,,,
JYR_M036,JYR,1980s,-3.7,27.87,16.49,0.16,-0.00071,152.5,1.01,,,
JYR_M037,JYR,1980s,-3.7,27.87,16.49,0.16,-0.00071,152.5,1.01,,,
JYR_M038,JYR,1980s,-3.73,27.87,16.49,0.16,-0.00071,152.5,1.01,,,
JYR_M039,JYR,1980s,-3.73,27.87,16.49,0.16,-0.0007,152.5,1.01,,,
JYR_M045,JYR,1980s,-3.63,27.78,16.49,0.16,-0.0007,152.5,1.01,,,
JYR_M046,JYR,1980s,-3.63,27.78,16.49,0.16,-0.0007,152.5,1.01,,,
JYR_M047,JYR,1980s,-3.63,27.78,16.49,0.16,-0.0007,152.5,1.01,,,
JYR_M048,JYR,1980s,-3.63,27.78,16.49,0.16,-0.00069,152.5,1.01,,,
JYR_M049,JYR,1980s,-3.6,27.69,16.49,0.16,-0.00069,152.5,1.01,,,
JYR_M050,JYR,1980s,-3.6,27.69,16.49,0.16,-0.00069,152.5,1.01,,,
JYR_M051,JYR,1980s,-3.6,27.69,16.49,0.16,-0.00069,152.5,1.01,,,
JYR_M052,JYR,1980s,-3.6,27.69,16.49,0.16,-0.00069,152.5,1.01,,,
JYR_M053,JYR,1980s,-3.6,27.69,16.49,0.16,-0.00069,152.5,1.01,,,
JYR_M054,JYR,1980s,-3.6,27.69,16.49,0.16,-0.00069,152.5,1.01,,,
JYR_M055,JYR,1980s,-3.58,27.68,16.49,0.16,-0.00069,152.5,1.01,,,
JYR_M056,JYR,1980s,-3.58,27.68,16.49,0.16,-0.00069,152.5,1.01,,,
JYR_M057,JYR,1980s,-3.58,27.68,16.49,0.16,-0.00069,152.5,1.01,,,
JYR_M058,JYR,1980s,-3.58,27.68,16.49,0.16,-0.00069,152.5,1.01,,,
JYR_M059,JYR,1980s,-3.58,27.68,16.49,0.16,-0.00069,152.5,1.01,,,
JYR_M060,JYR,1980s,-3.58,27.68,16.49,0.16,-0.00069,152.5,1.01,,,
JYR_M061,JYR,1980s,-3.69,27.35,16.49,0.16,-0.00069,152.5,1.01,,,
JYR_M062,JYR,1980s,-3.69,27.35,16.49,0.16,-0.00068,152.5,1.01,,,
JYR_M063,JYR,1980s,-3.69,27.35,16.49,0.16,-0.00068,152.5,1.01,,,
JYR_M064,JYR,1980s,-3.5,27.23,16.49,0.16,-0.00068,152.5,1.01,,,
JYR_M065,JYR,1980s,-3.5,27.23,16.49,0.16,-0.00068,152.5,1.01,,,
JYR_M066,JYR,1980s,-3.5,27.05,16.49,0.16,-0.00068,152.5,1.01,,,
JYR_M067,JYR,1980s,-3.5,27.05,16.49,0.16,-0.00068,152.5,1.01,,,
JYR_M070,JYR,1980s,-3.36,26.86,16.49,0.16,-0.00067,152.5,1.01,,,
JYR_M071,JYR,1980s,-3.34,26.85,16.49,0.16,-0.00067,152.5,1.01,,,
JYR_M072,JYR,1980s,-3.34,26.85,16.49,0.16,-0.00067,152.5,1.01,,,
JYR_M073,JYR,1980s,-3.34,26.85,16.49,0.16,-0.00067,152.5,1.01,,,
JYR_M076,JYR,1980s,-3.14,26.37,16.49,0.16,-0.00063,152.5,1.01,,,
JYR_M077,JYR,1980s,-3.09,26.27,16.49,0.16,-0.00062,152.5,1.01,,,
JYR_M083,JYR,1980s,-2.94,26.17,16.49,0.16,-0.00061,152.5,1.01,,,
JYR_M084,JYR,1980s,-2.87,25.9,16.49,0.16,-0.00061,152.5,1.01,,,
JYR_M085,JYR,1980s,-2.87,25.9,16.49,0.16,-0.00061,152.5,1.01,,,
JYR_M086,JYR,1980s,-2.89,25.9,16.49,0.16,-0.00061,152.5,1.01,,,
JYR_M087,JYR,1980s,-2.89,25.9,16.49,0.16,-0.00061,152.5,1.01,,,
JYR_M088,JYR,1980s,-2.89,25.9,16.49,0.16,-0.00061,152.5,1.01,,,
JYR_M089,JYR,1980s,-2.89,25.9,16.49,0.16,-0.00061,152.5,1.01,,,
JYR_M093,JYR,1980s,-2.82,25.62,16.49,0.16,-0.0006,152.5,1.01,,,
JYR_M094,JYR,1980s,-2.82,25.62,16.49,0.16,-0.0006,152.5,1.01,,,
JYR_M095,JYR,1980s,-2.83,25.62,16.49,0.16,-0.0006,152.5,1.01,,,
JYR_M096,JYR,1980s,-2.7,25.53,16.49,0.16,-0.0006,152.5,1.01,,,
JYR_M097,JYR,1980s,-2.72,25.43,16.49,0.16,-0.0006,152.5,1.01,,,
JYR_M098,JYR,1980s,-2.78,25.28,16.49,0.16,-0.00059,152.5,1.01,,,
JYR_M099,JYR,1980s,-2.64,25.19,16.49,0.16,-0.00059,152.5,1.01,,,
JYR_M100,JYR,1980s,-2.64,25.19,16.49,0.16,-0.00059,152.5,1.01,,,
JYR_M101,JYR,1980s,-2.6,25.19,16.49,0.16,-0.00059,152.5,1.01,,,
JYR_M102,JYR,1980s,-2.6,25.19,16.49,0.16,-0.00059,152.5,1.01,,,
JYR_M103,JYR,1980s,-2.6,25.19,16.49,0.16,-0.00059,152.5,1.01,,,
YTR_M001,YTR,1980s,-2.55,25.1,16.49,0.16,-0.00059,152.5,1.01,,,
YTR_M002,YTR,1980s,-2.35,25.41,16.49,0.16,-0.00057,152.5,1.01,,,
YTR_M003,YTR,1980s,-2.3,25.4,16.49,0.16,-0.00057,152.5,1.01,,,
YTR_M004,YTR,1980s,-2.3,25.4,16.49,0.16,-0.00057,152.5,1.01,,,
YTR_M005,YTR,1980s,-2.3,25.4,16.49,0.16,-0.00057,152.5,1.01,,,
YTR_M006,YTR,1980s,-2.3,25.4,16.49,0.16,-0.00057,152.5,1.01,,,
YTR_M007,YTR,1980s,-2.28,25.41,16.49,0.16,-0.00057,152.5,1.01,,,
YTR_M008,YTR,1980s,-2.28,25.41,16.49,0.16,-0.00057,152.5,1.01,,,
YTR_M009,YTR,1980s,-2.28,25.41,16.49,0.16,-0.00057,152.5,1.01,,,
YTR_M010,YTR,1980s,-2.24,25.4,16.49,0.16,-0.00057,152.5,1.01,1.13,0.026,0.002
YTR_M011,YTR,1980s,-2.24,25.4,16.49,0.16,-0.00057,152.5,1.01,1.75,0.046,0.0036
YTR_M012,YTR,1980s,-2.24,25.41,16.49,0.16,-0.00057,152.5,1.01,,,
