cell_id,night_num,median_r_over_space
1,1,0.7246201059096019
2,1,0.9230494235666521
3,1,0.66844086741565
4,1,0.5810673325696415
5,1,0.28182242393759505
6,1,0.9291750996029328
7,1,0.8310801450368485
8,1,0.9059517289031955
9,2,0.7708915722547144
10,2,0.9103580601687573
11,2,0.6937600756874163
12,2,0.8412384885611356
13,3,0.658519021280305
14,3,0.7855502985031273
15,3,0.8941685740576242
16,3,0.9658244855244553
17,3,0.9598139414694049
18,3,0.9495991483631632
19,3,0.7159808759229924
20,4,0.5036122880267978
21,4,0.7914119807743059
22,4,0.41378506742131294
23,4,0.6669301213916987
24,4,0.45804272397420154
25,4,0.8920782470451923
26,4,0.8519051641490669
27,5,0.7441183058931553
28,5,0.9491193929685513
29,5,0.9632624107759988
30,5,0.9789273742659429
31,5,0.8618802490104724
32,6,0.7411389908636457
33,6,0.9656438620451271
34,6,0.622225482462936
35,6,0.9720242759111535
36,6,0.6810007071569787
37,1,0.40050618908807145
38,1,0.4644408345231185
39,1,0.9021450613529342
40,1,0.29472744983100907
41,1,0.5604872289543584
42,1,0.5929135725436552
43,1,0.5138408798816976
44,1,0.6551293340947416
45,1,0.8654930745766809
46,2,0.8600052874195037
47,2,0.6570590414131298
48,2,0.6718557533649904
49,3,0.7524421822648617
50,4,0.4705594374990957
51,4,0.766269159253114
52,1,0.7432634798466919
53,1,0.08769382126320249
54,1,0.7299020447394745
55,2,0.3873174869755879
56,2,0.6508538944719818
57,2,0.9372595555008678
58,2,0.6163168758782078
59,1,0.7833129063832058
60,1,0.4902360523982343
