cell_id,night_num,pref_direction_slope_deg_per_s
1,6,0.3445814440120657
2,6,0.17764126823120088
3,6,0.09986641768439532
4,6,0.23982667955679943
5,6,0.04451215761552668
6,6,0.2294232748905869
7,5,0.28104860376885527
8,5,0.1396625740882805
9,5,0.23277617940650477
10,5,0.09057542526411819
11,5,0.023595673836319313
12,4,0.721031148703463
13,4,0.4450902405990434
14,4,0.38006896143521524
15,4,1.7054063119094864
16,4,0.5069152930280715
17,4,0.17541644373933007
18,4,0.007896560168329968
19,4,2.807869518743888
20,1,2.170425966266696
21,1,0.7988843381408277
22,1,2.995757513860184
23,1,1.5259475814173205
24,1,0.4402488971625077
25,1,0.709797351797327
26,1,2.5203657903929857
27,1,0.7947167091630977
28,1,1.193869024338444
29,1,0.7715597331139077
30,3,0.8523741326143958
31,3,0.9848138609931525
32,3,0.22997164712449872
33,4,0.24438600298732324
34,4,0.23766452617737574
35,2,1.2221023604958459
36,2,3.8537563788167044
37,2,3.5091906025827506
38,2,1.3808796238804808
39,1,3.2860657744930926
40,1,4.4793237554851775
41,1,0.3422939484077479
42,1,1.429904101592196
43,1,2.398689825577012
44,1,1.7217791400362819
45,1,1.0409985133019448
46,1,2.628066097133264
47,1,0.4430064261101786
48,3,2.101769762580939
49,3,0.00698782903784755
50,3,0.047708384350326906
51,3,0.9099375493970238
52,3,0.14661906756990453
53,3,2.2933866888878343
54,2,1.2430971831656121
55,2,0.217374753522639
56,2,2.6379367973436767
57,2,0.02538180054106061
58,2,0.1719538647766299
59,2,0.4238760690357125
60,1,6.293589789715213
61,1,2.0411824646227394
62,1,1.7162640821409403
63,1,1.2931557342327042
64,1,0.9019469825600233
65,1,1.0733054717684058
66,1,4.239309062591039
67,2,3.5141886238004023
68,2,0.4007660963208579
69,2,0.07106904151496977
70,2,3.1800889233451097
71,1,2.119364677400451
72,1,0.772703480916067
73,1,2.7856056060470693
74,1,2.9845707202883833
75,1,1.720087020000211
76,1,1.507193251017537
77,1,2.9568074174743346
