cell_id,delta_preferred_direction_deg,moon_below_horizon
1,-15.911239823850089,0
2,33.31379457579624,0
3,2.4684049374118646,0
4,35.0058921831355,0
5,4.420967650857425,0
6,-3.427358517790563,0
7,-7.670351121325968,0
8,21.313073010106542,1
9,14.668990713354935,1
10,-36.21254103909591,1
11,-5.242306337930666,1
12,-19.83060666526613,1
13,-25.312466614279007,0
14,52.82090127458644,0
15,-38.47504829284452,0
16,39.39462302289907,1
17,2.220262087776421,1
18,4.814363909541778,1
19,70.35561705788867,1
20,-2.209634267828676,1
