basin_id,export_anual,rho
1,10099.880000000001,-0.5104895104895105
2,113.71,-0.034965034965034975
3,4045.2699999999995,-0.08391608391608392
4,1610.7100000000003,0.06993006993006995
5,86.14,0.5384615384615385
6,985.6099999999999,-0.7412587412587414
7,284.88,0.44055944055944063
8,443.66,0.4055944055944056
9,1073.71,0.3916083916083916
10,2.72,0.1188811188811189
11,43079.41,0.6013986013986015
12,360.77,0.43356643356643365
13,527.24,0.8811188811188813
14,5465.92,-0.8251748251748254
16,145.42,0.7272727272727274
17,1242.74,0.17482517482517487
20,561.91,-0.02097902097902098
21,289.93,0.7062937062937064
23,38.81999999999999,-0.09090909090909093
24,153.29,0.09090909090909093
25,5503.76,-0.8811188811188813
26,309.94,0.3916083916083916
27,272.44,-0.4755244755244756
28,204.66,-0.2657342657342658
29,5811.740000000001,-0.013986013986013986
30,386.41,0.5804195804195805
31,0.3,-0.08391608391608392
32,6.62,-0.34965034965034975
33,262.9800000000001,-0.013986013986013986
34,55.169999999999995,-0.6293706293706295
35,14.860000000000001,-0.3076923076923077
36,414.92,0.4055944055944056
37,1637.5599999999997,-0.8461538461538463
38,1819.94,0.46153846153846156
40,457.58000000000004,-0.2937062937062937
41,0.15000000000000002,0.3488000445227343
43,137.67,-0.2937062937062937
44,936.7299999999999,-0.7972027972027973
45,456.17,-0.06993006993006995
46,0.12999999999999998,-0.8041958041958043
47,69.35,0.22377622377622378
48,7.48,-0.2867132867132868
49,59.709999999999994,0.6363636363636365
50,57.570000000000014,-0.9510489510489512
51,112.29,0.4825174825174825
53,0.56,0.006993006993006993
54,297.24,0.4265734265734266
55,3886.93,0.46153846153846156
56,781.66,0.4903685278368424
57,82.95999999999998,0.18181818181818185
58,76.05,0.6972003870519587
59,1.16,0.4155032609703593
60,372.0999999999999,-0.6293706293706295
62,1.6200000000000006,-0.6643356643356644
63,37.449999999999996,0.7552447552447553
64,128.53,-0.0979020979020979
65,71.54,-0.7692307692307694
66,144.14999999999998,0.5734265734265735
67,431.74999999999994,0.7272727272727274
68,280.21999999999997,-0.15384615384615385
69,17.59,0.18881118881118883
70,16.75,0.6433566433566434
71,0.01,0.4803844614152615
72,16.36,0.6013986013986015
74,344.91999999999996,-0.5664335664335665
75,1932.0500000000002,0.013986013986013986
76,62.87999999999999,0.2027972027972028
77,5652.699999999999,-0.7132867132867133
78,116.80000000000001,0.7062937062937064
79,8.91,-0.4895104895104896
81,339.21999999999997,-0.1258741258741259
82,117.84999999999998,0.16083916083916086
83,73.83,0.5944055944055945
86,0.01,0.04367131467411468
87,146.24,0.4366305454264792
88,42.309999999999995,0.9254134140073665
89,26.410000000000004,0.6831155307478788
91,114.71,-0.44055944055944063
93,151.81,-0.22377622377622378
95,0.17,0.5614557805325929
96,0.0,
99,446.08000000000004,0.04895104895104895
100,39.26,0.07692307692307693
101,5.8,-0.6433566433566434
102,1.6400000000000001,-0.6363636363636365
103,27.28,0.5563518240111589
104,69.4,-0.22377622377622378
105,96.21000000000001,-0.027972027972027972
106,104.98,-0.1328671328671329
107,58.68,0.7972027972027973
108,314.94000000000005,0.09090909090909093
109,1.9500000000000002,-0.3356643356643357
110,87.80999999999999,0.1258741258741259
111,105.14,0.034965034965034975
112,60.45,-0.2377622377622378
114,0.01,0.13101394402234404
116,0.19999999999999998,-0.7183276715080786
118,9.800000000000002,0.02097902097902098
119,296.56,0.14685314685314685
120,27.689999999999998,-0.14685314685314685
121,38.04,-0.4545454545454546
126,388.62000000000006,0.7762237762237763
127,278.11,0.5664335664335665
128,16.58,-0.5384615384615385
130,0.01,0.4803844614152615
131,453.34999999999997,-0.4895104895104896
132,42.59,0.44055944055944063
133,485.83000000000004,0.2797202797202798
135,7.36,-0.6713286713286714
136,43.55999999999999,0.2562683300328092
138,0.13999999999999999,-0.9790209790209792
139,36.080000000000005,0.2377622377622378
140,31.29,0.32867132867132864
141,3.42,-0.6503496503496504
142,19.110000000000003,-0.7762237762237763
143,48.46000000000001,0.2447552447552448
144,8.3,-0.39860139860139865
145,90.38999999999999,0.8601398601398602
146,32.12,0.02097902097902098
147,118.27000000000001,-0.1398601398601399
148,0.92,0.29565619799454135
149,28.78,-0.39860139860139865
150,4.55,-0.08756580854229329
152,34.01,-0.1328671328671329
153,2.0300000000000002,-0.3916083916083916
154,7.25,0.08450913782447984
155,177.40000000000003,-0.08391608391608392
156,3.5999999999999996,0.6961092324595558
157,6.9399999999999995,0.7106115081357965
159,1.6700000000000002,0.5692537774844345
161,101.35,-0.055944055944055944
162,24.62,0.1398601398601399
163,34.75,0.6503496503496504
