basin_id,export_ene,export_feb,export_mar,export_abr,export_may,export_jun,export_jul,export_ago,export_sep,export_oct,export_nov,export_dic
1,987.95,1101.02,1730.66,1884.48,1165.77,814.22,503.32,450.34,337.59,300.07,346.67,477.79
2,6.75,4.64,3.91,2.86,3.38,5.0,8.41,15.11,21.29,21.12,12.74,8.5
3,383.13,278.36,256.73,294.7,389.23,277.45,253.54,275.24,258.29,353.64,493.66,531.3
4,199.36,165.86,177.27,209.05,206.52,190.17,100.99,115.68,81.89,38.98,72.28,52.66
5,3.09,3.1,5.26,15.42,14.56,15.84,9.85,4.83,3.82,3.68,3.26,3.43
6,104.11,75.64,89.82,39.86,65.71,86.87,90.26,61.43,109.79,90.22,83.85,88.05
7,4.54,4.38,5.3,10.27,65.83,42.09,33.58,30.99,37.32,36.62,9.65,4.31
8,1.87,1.58,1.56,0.99,28.12,119.07,59.52,86.16,86.64,46.55,8.48,3.12
9,27.68,21.67,27.43,25.62,30.05,38.95,55.26,108.5,208.11,227.69,243.2,59.55
10,0.36,0.1,0.04,0.04,0.06,1.06,0.5,0.13,0.22,0.12,0.04,0.05
11,310.17,360.55,986.74,732.11,1092.34,9079.48,19126.16,5587.33,2624.61,1748.58,646.94,784.4
12,5.51,6.28,7.42,17.83,37.18,39.27,46.27,74.19,51.99,41.75,24.08,9.0
13,10.71,8.47,9.6,14.07,81.8,121.3,107.72,78.04,36.52,35.53,13.64,9.84
14,112.06,153.44,362.58,297.79,394.91,725.3,539.49,621.97,560.3,557.91,691.78,448.39
16,4.81,3.04,3.1,13.88,24.99,23.29,16.82,14.58,10.52,16.59,5.53,8.27
17,83.69,175.59,253.29,165.46,81.88,49.39,46.74,59.51,79.44,63.29,98.28,86.18
20,20.87,11.8,11.27,17.2,34.77,3.36,88.51,150.61,78.14,54.67,61.87,28.84
21,8.43,8.79,17.93,13.17,11.7,44.1,52.51,38.87,27.36,26.19,22.56,18.32
23,1.32,0.7,1.7,3.44,6.11,9.5,7.37,2.87,1.25,1.51,1.18,1.87
24,7.52,10.69,17.7,17.0,20.19,18.01,11.59,13.44,12.98,9.09,8.94,6.14
25,162.13,86.88,194.0,264.56,413.42,661.37,810.85,991.77,669.03,434.74,459.37,355.64
26,20.59,7.32,7.15,8.48,9.04,8.17,9.47,21.52,26.1,49.46,98.76,43.88
27,50.08,34.0,45.91,27.86,19.95,7.15,5.92,6.27,6.45,12.76,20.96,35.13
28,41.61,26.97,23.72,32.46,19.84,6.35,2.7,2.11,2.52,2.48,18.25,25.65
29,204.59,213.77,227.46,179.37,224.28,256.11,564.44,628.71,769.33,1436.61,707.35,399.72
30,4.3,2.99,3.25,3.34,70.46,61.67,50.66,54.5,52.19,43.81,28.14,11.1
31,0.02,0.02,0.01,0.02,0.02,0.04,0.03,0.03,0.01,0.02,0.04,0.04
32,0.62,0.48,1.15,0.73,0.62,0.32,0.33,0.39,0.44,0.91,0.28,0.35
33,13.63,7.53,6.61,12.53,30.82,28.21,5.42,16.32,47.14,46.42,30.59,17.76
34,5.56,3.63,4.02,4.03,3.78,3.71,4.01,5.84,5.3,5.33,4.42,5.54
35,0.73,0.71,0.41,0.26,0.39,0.24,0.2,2.24,3.94,3.47,1.45,0.82
36,21.46,24.14,39.83,56.51,49.04,39.86,35.7,21.67,26.79,55.43,19.39,25.1
37,345.47,304.02,349.88,204.81,87.78,52.53,39.65,33.6,43.02,60.87,39.57,76.36
38,6.61,6.42,12.33,54.35,106.12,319.61,464.89,413.62,264.02,115.16,44.55,12.26
40,18.02,34.73,39.57,42.25,63.29,85.89,31.5,42.69,27.48,22.29,37.92,11.95
41,0.06,0.08,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.96,0.95,0.84,0.69,23.16,35.23,24.4,11.63,27.05,9.76,1.85,1.15
44,51.94,40.62,90.85,109.76,150.43,65.02,113.86,109.65,58.62,38.56,60.29,47.13
45,147.91,105.44,49.58,17.14,18.4,16.76,10.31,14.16,18.6,16.75,13.89,27.23
46,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
47,3.25,3.05,5.25,11.28,11.09,10.28,7.35,5.29,1.07,5.71,2.71,3.02
48,0.61,0.42,0.45,0.55,0.88,0.69,0.62,1.34,0.57,0.5,0.45,0.4
49,1.24,2.45,4.41,10.67,7.95,3.11,3.2,2.05,2.51,3.0,5.8,13.32
50,3.95,4.12,4.42,5.07,6.62,5.19,4.34,5.07,4.7,4.7,3.22,6.17
51,29.06,4.75,2.73,24.63,1.69,0.1,0.09,0.0,1.98,1.11,26.42,19.73
53,0.03,0.01,0.01,0.05,0.03,0.0,0.04,0.21,0.09,0.04,0.03,0.02
54,43.81,47.2,11.35,8.58,45.39,35.22,41.92,26.56,4.81,3.91,10.14,18.35
55,24.2,27.31,41.94,184.49,363.2,746.21,976.66,506.91,505.56,360.82,103.75,45.88
56,27.53,24.9,27.49,24.09,21.96,29.63,50.92,58.0,246.3,185.94,63.86,21.04
57,14.84,11.47,13.05,11.54,5.27,6.26,1.89,1.96,1.96,1.42,5.16,8.14
58,0.02,0.0,0.0,0.0,8.94,31.23,20.2,9.74,5.2,0.56,0.13,0.03
59,0.0,0.0,0.0,0.09,0.24,0.21,0.17,0.18,0.1,0.11,0.05,0.01
60,21.63,13.77,7.26,26.02,55.5,56.23,52.95,36.32,19.22,39.71,26.47,17.02
62,0.23,0.2,0.12,0.14,0.13,0.12,0.12,0.14,0.12,0.11,0.09,0.1
63,0.02,0.01,0.01,0.0,0.69,10.88,10.29,7.07,6.57,1.68,0.18,0.05
64,8.21,13.59,44.89,29.72,8.45,0.16,0.5,0.87,1.64,2.14,10.47,7.89
65,6.22,9.55,9.04,7.16,6.74,5.45,5.94,4.44,4.99,4.78,3.68,3.55
66,0.5,0.23,0.25,8.71,43.32,38.12,16.59,7.91,14.25,10.16,3.2,0.91
67,1.95,1.41,1.5,1.93,2.84,0.39,130.43,161.7,82.64,35.46,7.45,4.05
68,14.82,12.43,14.72,10.33,16.4,45.46,43.61,38.26,27.24,22.01,17.84,17.1
69,1.22,0.93,1.06,0.53,0.44,2.59,2.37,1.42,2.55,1.92,1.44,1.12
70,0.18,0.15,0.21,3.16,3.43,4.87,2.1,1.14,0.37,0.22,0.44,0.48
71,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
72,0.83,0.59,0.88,1.18,2.23,2.35,2.99,2.19,0.97,0.59,0.75,0.81
74,4.19,2.48,14.56,13.69,11.87,39.45,67.46,63.72,71.25,30.13,17.31,8.81
75,27.67,43.28,65.05,93.83,112.89,290.76,329.76,404.66,249.88,176.18,92.81,45.28
76,9.99,6.88,15.02,7.36,5.77,4.32,3.37,3.01,1.94,1.15,1.81,2.26
