rango_tamano,fraccion,referencia
30-90um,0.59,"Scircle A, Cizdziel J V, Missling K, et al. Single‐pot method for the collection and preparation of natural water for microplastic analyses: Microplastics in the Mississippi River system during and after historic flooding[J]. Environmental toxicology and chemistry, 2020, 39(5): 986-995."
90-125um,0.17,"Scircle A, Cizdziel J V, Missling K, et al. Single‐pot method for the collection and preparation of natural water for microplastic analyses: Microplastics in the Mississippi River system during and after historic flooding[J]. Environmental toxicology and chemistry, 2020, 39(5): 986-995."
125-250um,0.17,"Scircle A, Cizdziel J V, Missling K, et al. Single‐pot method for the collection and preparation of natural water for microplastic analyses: Microplastics in the Mississippi River system during and after historic flooding[J]. Environmental toxicology and chemistry, 2020, 39(5): 986-995."
250-5000um,0.06,"Scircle A, Cizdziel J V, Missling K, et al. Single‐pot method for the collection and preparation of natural water for microplastic analyses: Microplastics in the Mississippi River system during and after historic flooding[J]. Environmental toxicology and chemistry, 2020, 39(5): 986-995."
50-1000um,0.75,"Kabir A H M E, Sekine M, Imai T, et al. Assessing small-scale freshwater microplastics pollution, land-use, source-to-sink conduits, and pollution risks: Perspectives from Japanese rivers polluted with microplastics[J]. Science of the Total Environment, 2021, 768: 144655."
1000-5000um,0.25,"Kabir A H M E, Sekine M, Imai T, et al. Assessing small-scale freshwater microplastics pollution, land-use, source-to-sink conduits, and pollution risks: Perspectives from Japanese rivers polluted with microplastics[J]. Science of the Total Environment, 2021, 768: 144655."
0.1-0.3mm,0.5,"Park T J, Lee S H, Lee M S, et al. Occurrence of microplastics in the Han River and riverine fish in South Korea[J]. Science of the Total Environment, 2020, 708: 134535."
0.3-0.6mm,0.34,"Park T J, Lee S H, Lee M S, et al. Occurrence of microplastics in the Han River and riverine fish in South Korea[J]. Science of the Total Environment, 2020, 708: 134535."
0.6-1mm,0.12,"Park T J, Lee S H, Lee - S, et al. Occurrence of microplastics in the Han River and riverine fish in South Korea[J]. Science of the Total Environment, 2020, 708: 134535."
1-5mm,0.04,"Park T J, Lee S H, Lee M S, et al. Occurrence of microplastics in the Han River and riverine fish in South Korea[J]. Science of the Total Environment, 2020, 708: 134535."
50-100um,0.34,"Alam F C, Sembiring E, Muntalif B S, et al. Microplastic distribution in surface water and sediment river around slum and industrial area (case study: Ciwalengke River, Majalaya district, Indonesia)[J]. Chemosphere, 2019, 224: 637-645."
101-300um,0.13,"Alam F C, Sembiring E, Muntalif B S, et al. Microplastic distribution in surface water and sediment river around slum and industrial area (case study: Ciwalengke River, Majalaya district, Indonesia)[J]. Chemosphere, 2019, 224: 637-645."
301-500um,0.19,"Alam F C, Sembiring E, Muntalif B S, et al. Microplastic distribution in surface water and sediment river around slum and industrial area (case study: Ciwalengke River, Majalaya district, Indonesia)[J]. Chemosphere, 2019, 224: 637-645."
501-1000um,0.19,"Alam F C, Sembiring E, Muntalif B S, et al. Microplastic distribution in surface water and sediment river around slum and industrial area (case study: Ciwalengke River, Majalaya district, Indonesia)[J]. Chemosphere, 2019, 224: 637-645."
1000-5000um,0.16,"Alam F C, Sembiring E, Muntalif B S, et al. Microplastic distribution in surface water and sediment river around slum and industrial area (case study: Ciwalengke River, Majalaya district, Indonesia)[J]. Chemosphere, 2019, 224: 637-645."
0.02-1mm,0.61,"Lin L, Zuo L Z, Peng J P, et al. Occurrence and distribution of microplastics in an urban river: a case study in the Pearl River along Guangzhou City, China[J]. Science of the total environment, 2018, 644: 375-381."
1-2mm,0.27,"Lin L, Zuo L Z, Peng J P, et al. Occurrence and distribution of microplastics in an urban river: a case study in the Pearl River along Guangzhou City, China[J]. Science of the total environment, 2018, 644: 375-381."
2-3mm,0.07,"Lin L, Zuo L Z, Peng J P, et al. Occurrence and distribution of microplastics in an urban river: a case study in the Pearl River along Guangzhou City, China[J]. Science of the total environment, 2018, 644: 375-381."
3-4mm,0.03,"Lin L, Zuo L Z, Peng J P, et al. Occurrence and distribution of microplastics in an urban river: a case study in the Pearl River along Guangzhou City, China[J]. Science of the total environment, 2018, 644: 375-381."
4-5mm,0.01,"Lin L, Zuo L Z, Peng J P, et al. Occurrence and distribution of microplastics in an urban river: a case study in the Pearl River along Guangzhou City, China[J]. Science of the total environment, 2018, 644: 375-381."
0.1-1mm,0.6,"Yang L, Luo W, Zhao P, et al. Microplastics in the Koshi River, a remote alpine river crossing the Himalayas from China to Nepal[J]. Environmental Pollution, 2021, 290: 118121."
1-5mm,0.4,"Yang L, Luo W, Zhao P, et al. Microplastics in the Koshi River, a remote alpine river crossing the Himalayas from China to Nepal[J]. Environmental Pollution, , 290: 118121."
0.05-0.2mm,0.32,"Dai L, Wang Z, Guo T, et al. Pollution characteristics and source analysis of microplastics in the Qiantang River in southeastern China[J]. Chemosphere, 2022, 293: 133576."
0.2-1mm,0.26,"Dai L, Wang Z, Guo T, et al. Pollution characteristics and source analysis of microplastics in the Qiantang River in southeastern China[J]. Chemosphere, 1, 293: 133576."
1-3mm,0.22,"Dai L, Wang Z, Guo T, et al. Pollution characteristics and source analysis of microplastics in the Qiantang River in southeastern China[J]. Chemosphere, 3, 293: 133576."
3-5mm,0.2,"Dai L, Wang Z, Guo T, et al. Pollution characteristics and source analysis of microplastics in the Qiantang River in southeastern China[J]. Chemosphere, 5, 293: 133576."
53um-125um,0.31,"Bujaczek T, Kolter S, Locky D, et al. Characterization of microplastics and anthropogenic fibers in surface waters of the North Saskatchewan River, Alberta, Canada[J]. Facets, 2021, 6(1): 26-43."
125-250um,0.23,"Bujaczek T, Kolter S, Locky D, et al. Characterization of microplastics and anthropogenic fibers in surface waters of the North Saskatchewan River, Alberta, Canada[J]. Facets, 2021, 6(2): 26-43."
250-500um,0.17,"Bujaczek T, Kolter S, Locky D, et al. Characterization of microplastics and anthropogenic fibers in surface waters of the North Saskatchewan River, Alberta, Canada[J]. Facets, 2021, 6(5): 26-43."
500-1000um,0.14,"Bujaczek T, Kolter S, Locky D, et al. Characterization of microplastics and anthropogenic fibers in surface waters of the North Saskatchewan River, Alberta, Canada[J]. Facets, 2021, 6(1): 26-43."
1000-5000um,0.14,"Bujaczek T, Kolter S, Locky D, et al. Characterization of microplastics and anthropogenic fibers in surface waters of the North Saskatchewan River, Alberta, Canada[J]. Facets, 2021, 6(5): 26-43."
0.005-1mm,0.71,"Chinfak N, Sompongchaiyakul P, Charoenpong C, et al. Abundance, composition, and fate of microplastics in water, sediment, and shellfish in the Tapi-Phumduang River system and Bandon Bay, Thailand[J]. Science of the Total Environment, 2021, 781: 146700."
1-5mm,0.29,"Chinfak N, Sompongchaiyakul P, Charoenpong C, et al. Abundance, composition, and fate of microplastics in water, sediment, and shellfish in the Tapi-Phumduang River system and Bandon Bay, Thailand[J]. Science of the Total Environment, 21, 781: 146701-"
0.05-0.33mm,0.12,"Zhang X, Leng Y, Liu X, et al. Microplastics’ pollution and risk assessment in an urban river: a case study in the Yongjiang River, Nanning City, South China[J]. Exposure and Health, 2020, 12(2): 141-151."
0.33-1mm,0.32,"Zhang X, Leng Y, Liu X, et al. Microplastics’ pollution and risk assessment in an urban river: a case study in the Yongjiang River, Nanning City, South China[J]. Exposure and Health, 2020, 32(2): 141-151."
1-3mm,0.4,"Zhang X, Leng Y, Liu X, et al. Microplastics’ pollution and risk assessment in an urban river: a case study in the Yongjiang River, Nanning City, South China[J]. Exposure and Health, 2020, 40(2): 141-151."
3-5mm,0.17,"Zhang X, Leng Y, Liu X, et al. Microplastics’ pollution and risk assessment in an urban river: a case study in the Yongjiang River, Nanning City, South China[J]. Exposure and Health, 2020, 17(2): 141-151."
50-200um,0.06,"Ma M, Liu S, Su M, et al. Spatial distribution and potential sources of microplastics in the Songhua River flowing through urban centers in Northeast China[J]. Environmental Pollution, 2022, 292: 118384."
200-500um,0.1,"Ma M, Liu S, Su M, et al. Spatial distribution and potential sources of microplastics in the Songhua River flowing through urban centers in Northeast China[J]. Environmental Pollution, 2022, 292: 118384."
500-1000um,0.35,"Ma M, Liu S, Su M, et al. Spatial distribution and potential sources of microplastics in the Songhua River flowing through urban centers in Northeast China[J]. Environmental Pollution, 2022, 292: 118384."
1000-2000um,0.23,"Ma M, Liu S, Su M, et al. Spatial distribution and potential sources of microplastics in the Songhua River flowing through urban centers in Northeast China[J]. Environmental Pollution, 2022, 292: 118384."
2000-5000um,0.27,"Ma M, Liu S, Su M, et al. Spatial distribution and potential sources of microplastics in the Songhua River flowing through urban centers in Northeast China[J]. Environmental Pollution, 2022, 292: 118384."
20-99um,0.77,"Samandra S, Singh J, Plaisted K, et al. Quantifying environmental emissions of microplastics from urban rivers in Melbourne, Australia[J]. Marine Pollution Bulletin, 2023, 189: 114709."
100-199um,0.21,"Samandra S, Singh J, Plaisted K, et al. Quantifying environmental emissions of microplastics from urban rivers in Melbourne, Australia[J]. Marine Pollution Bulletin, 2023, 189: 114709."
200-500um,0.02,"Samandra S, Singh J, Plaisted K, et al. Quantifying environmental emissions of microplastics from urban rivers in Melbourne, Australia[J]. Marine Pollution Bulletin, 2023, 189: 114709."
500-5000um,0.0,"Samandra S, Singh J, Plaisted K, et al. Quantifying environmental emissions of microplastics from urban rivers in Melbourne, Australia[J]. Marine Pollution Bulletin, 2023, 189: 114709."
0.054-0.1mm,0.29,"Yan, Zhenhua, et al. ""Microplastic pollution in an urbanized river affected by water diversion: Combining with active biomonitoring."" Journal of Hazardous Materials 417 (2021): 126058."
0.1-0.5mm,0.57,"Yan, Zhenhua, et al. ""Microplastic pollution in an urbanized river affected by water diversion: Combining with active biomonitoring."" Journal of Hazardous Materials 417 (2025): 126058."
0.5-1mm,0.1,"Yan, Zhenhua, et al. ""Microplastic pollution in an urbanized river affected by water diversion: Combining with active biomonitoring."" Journal of Hazardous Materials 417 (20): 126058."
1-5mm,0.04,"Yan, Zhenhua, et al. ""Microplastic pollution in an urbanized river affected by water diversion: Combining with active biomonitoring."" Journal of Hazardous Materials 417 (): 126058."
45-300um,0.84,"Zhang, Mengyu, et al. ""Vertical differentiation of microplastics influenced by thermal stratification in a deep reservoir."" Environmental Science & Technology 57.17 (2023): 6999-7008."
300-5000um,0.16,"Zhang, Mengyu, et al. ""Vertical differentiation of microplastics influenced by thermal stratification in a deep reservoir."" Environmental Science & Technology 57.17 (2023): 6999-7008."
20-50um,0.03,"Eo S, Hong S H, Song Y K, et al. Spatiotemporal distribution and annual load of microplastics in the Nakdong River, South Korea[J]. Water research, 2019, 160: 228-237."
50-100um,0.19,"Eo S, Hong S H, Song Y K, et al. Spatiotemporal distribution and annual load of microplastics in the Nakdong River, South Korea[J]. Water research, 2019, 160: 228-237."
100-150um,0.18,"Eo S, Hong S H, Song Y K, et al. Spatiotemporal distribution and annual load of microplastics in the Nakdong River, South Korea[J]. Water research, 2019, 160: 228-237."
150-200um,0.1,"Eo S, Hong S H, Song Y K, et al. Spatiotemporal distribution and annual load of microplastics in the Nakdong River, South Korea[J]. Water research, 2019, 160: 228-237."
200-250um,0.07,"Eo S, Hong S H, Song Y K, et al. Spatiotemporal distribution and annual load of microplastics in the Nakdong River, South Korea[J]. Water research, 2019, 160: 228-237."
250-300um,0.05,"Eo S, Hong S H, Song Y K, et al. Spatiotemporal distribution and annual load of microplastics in the Nakdong River, South Korea[J]. Water research, 2019, 160: 228-237."
300-350um,0.03,"Eo S, Hong S H, Song Y K, et al. Spatiotemporal distribution and annual load of microplastics in the Nakdong River, South Korea[J]. Water research, 2019, 160: 228-237."
350-400um,0.03,"Eo S, Hong S H, Song Y K, et al. Spatiotemporal distribution and annual load of microplastics in the Nakdong River, South Korea[J]. Water research, 2019, 160: 228-237."
400-450um,0.02,"Eo S, Hong S H, Song Y K, et al. Spatiotemporal distribution and annual load of microplastics in the Nakdong River, South Korea[J]. Water research, 2019, 160: 228-237."
450-500um,0.02,"Eo S, Hong S H, Song Y K, et al. Spatiotemporal distribution and annual load of microplastics in the Nakdong River, South Korea[J]. Water research, 2019, 160: 228-237."
500-550um,0.02,"Eo S, Hong S H, Song Y K, et al. Spatiotemporal distribution and annual load of microplastics in the Nakdong River, South Korea[J]. Water research, 2019, 160: 228-237."
550-600um,0.02,"Eo S, Hong S H, Song Y K, et al. Spatiotemporal distribution and annual load of microplastics in the Nakdong River, South Korea[J]. Water research, 2019, 160: 228-237."
600-650um,0.02,"Eo S, Hong S H, Song Y K, et al. Spatiotemporal distribution and annual load of microplastics in the Nakdong River, South Korea[J]. Water research, 2019, 160: 228-237."
650-700um,0.02,"Eo S, Hong S H, Song Y K, et al. Spatiotemporal distribution and annual load of microplastics in the Nakdong River, South Korea[J]. Water research, 2019, 160: 228-237."
700-750um,0.02,"Eo S, Hong S H, Song Y K, et al. Spatiotemporal distribution and annual load of microplastics in the Nakdong River, South Korea[J]. Water research, 2019, 160: 228-237."
750-800um,0.02,"Eo S, Hong S H, Song Y K, et al. Spatiotemporal distribution and annual load of microplastics in the Nakdong River, South Korea[J]. Water research, 2019, 160: 228-237."
800-850um,0.02,"Eo S, Hong S H, Song Y K, et al. Spatiotemporal distribution and annual load of microplastics in the Nakdong River, South Korea[J]. Water research, 2019, 160: 228-237."
850-900um,0.01,"Eo S, Hong S H, Song Y K, et al. Spatiotemporal distribution and annual load of microplastics in the Nakdong River, South Korea[J]. Water research, 2019, 160: 228-237."
900-950um,0.02,"Eo S, Hong S H, Song Y K, et al. Spatiotemporal distribution and annual load of microplastics in the Nakdong River, South Korea[J]. Water research, 2019, 160: 228-237."
950-1000um,0.02,"Eo S, Hong S H, Song Y K, et al. Spatiotemporal distribution and annual load of microplastics in the Nakdong River, South Korea[J]. Water research, 2019, 160: 228-237."
1000-2000um,0.04,"Eo S, Hong S H, Song Y K, et al. Spatiotemporal distribution and annual load of microplastics in the Nakdong River, South Korea[J]. Water research, 2019, 160: 228-237."
2000-5000um,0.06,"Eo S, Hong S H, Song Y K, et al. Spatiotemporal distribution and annual load of microplastics in the Nakdong River, South Korea[J]. Water research, 2019, 160: 228-237."
