rango_tamano,fraccion,referencia
1001-5000um,0.16,"dos Santos Queiroz A F, da Conceição A S, Chelazzi D, et al. First assessment of microplastic and artificial microfiber contamination in surface waters of the Amazon Continental Shelf[J]. Science of The Total Environment, 2022, 839: 156259."
1-5mm,0.34,"Ta A T, Babel S. Microplastics pollution with heavy metals in the aquaculture zone of the Chao Phraya River Estuary, Thailand[J]. Marine pollution bulletin, 2020, 161: 111747."
0.5-1mm,0.21,"Ta A T, Babel S. Microplastics pollution with heavy metals in the aquaculture zone of the Chao Phraya River Estuary, Thailand[J]. Marine pollution bulletin, 2020, 161: 111747."
0.3-0.5mm,0.23,"Ta A T, Babel S. Microplastics pollution with heavy metals in the aquaculture zone of the Chao Phraya River Estuary, Thailand[J]. Marine pollution bulletin, 2020, 161: 111747."
0.05-0.3mm,0.22,"Ta A T, Babel S. Microplastics pollution with heavy metals in the aquaculture zone of the Chao Phraya River Estuary, Thailand[J]. Marine pollution bulletin, 2020, 161: 111747."
0.01-0.1mm,0.57,"Wu P, Tang Y, Dang M, et al. Spatial-temporal distribution of microplastics in surface water and sediments of Maozhou River within Guangdong-Hong Kong-Macao Greater Bay Area[J]. Science of the total environment, 2020, 717: 135187."
0.1-1mm,0.29,"Wu P, Tang Y, Dang -, et al. Spatial-temporal distribution of microplastics in surface water and sediments of Maozhou River within Guangdong-Hong Kong-Macao Greater Bay Area[J]. Science of the total environment, 2020, 717: 135187."
1-5mm,0.14,"Wu P, Tang Y, Dang M, et al. Spatial-temporal distribution of microplastics in surface water and sediments of Maozhou River within Guangdong-Hong Kong-Macao Greater Bay Area[J]. Science of the total environment, 2020, 717: 135187."
200-300um,0.49,"Preston-Whyte F, Silburn B, Meakins B, et al. Meso-and microplastics monitoring in harbour environments: A case study for the Port of Durban, South Africa[J]. Marine Pollution Bulletin, 2021, 163: 111948."
300-500um,0.34,"Preston-Whyte F, Silburn B, Meakins B, et al. Meso-and microplastics monitoring in harbour environments: A case study for the Port of Durban, South Africa[J]. Marine Pollution Bulletin, 2021, 163: 111948."
500-5000um,0.17,"Preston-Whyte F, Silburn B, Meakins B, et al. Meso-and microplastics monitoring in harbour environments: A case study for the Port of Durban, South Africa[J]. Marine Pollution Bulletin, 2021, 163: 111948."
55-100um,0.03,"Rico A, Redondo-Hasselerharm P E, Vighi M, et al. Large-scale monitoring and risk assessment of microplastics in the Amazon River[J]. Water Research, 2023, 232: 119707."
100-300um,0.32,"Rico A, Redondo-Hasselerharm P E, Vighi M, et al. Large-scale monitoring and risk assessment of microplastics in the Amazon River[J]. Water Research, 2023, 232: 119707."
300-1000um,0.47,"Rico A, Redondo-Hasselerharm P E, Vighi M, et al. Large-scale monitoring and risk assessment of microplastics in the Amazon River[J]. Water Research, 2023, 232: 119707."
1000-5000um,0.18,"Rico A, Redondo-Hasselerharm P E, Vighi M, et al. Large-scale monitoring and risk assessment of microplastics in the Amazon River[J]. Water Research, 2023, 232: 119707."
300-1000um,0.17,"Islam M S, Islam Z, Hasan M R. Pervasiveness and characteristics of microplastics in surface water and sediment of the Buriganga River, Bangladesh[J]. Chemosphere, 2022, 307: 135945."
1000-3000um,0.59,"Islam M S, Islam Z, Hasan M R. Pervasiveness and characteristics of microplastics in surface water and sediment of the Buriganga River, Bangladesh[J]. Chemosphere, 2022, 307: 135945."
3000-5000um,0.24,"Islam M S, Islam Z, Hasan M R. Pervasiveness and characteristics of microplastics in surface water and sediment of the Buriganga River, Bangladesh[J]. Chemosphere, 2022, 307: 135945."
300-5000um,0.49,"Aslam M, Qadir A, Hafeez S, et al. Spatiotemporal dynamics of microplastics burden in River Ravi, Pakistan[J]. Journal of Environmental Chemical Engineering, 2022, 10(3): 107652."
150-300um,0.28,"Aslam M, Qadir A, Hafeez S, et al. Spatiotemporal dynamics of microplastics burden in River Ravi, Pakistan[J]. Journal of Environmental Chemical Engineering, 2022, 10(3): 107652."
50-150um,0.23,"Aslam M, Qadir A, Hafeez S, et al. Spatiotemporal dynamics of microplastics burden in River Ravi, Pakistan[J]. Journal of Environmental Chemical Engineering, 2022, 10(3): 107652."
0.05-0.3mm,0.18,"Babel S, Ta A T, Loan N T P, et al. Microplastics pollution in selected rivers from Southeast Asia[J]. APN Science Bulletin, 2022."
0.3-0.5mm,0.22,"Babel S, Ta A T, Loan N T P, et al. Microplastics pollution in selected rivers from Southeast Asia[J]. APN Science Bulletin, 2022."
0.5-1mm,0.22,"Babel S, Ta A T, Loan N T P, et al. Microplastics pollution in selected rivers from Southeast Asia[J]. APN Science Bulletin, 2022."
1-5mm,0.38,"Babel S, Ta A T, Loan N T P, et al. Microplastics pollution in selected rivers from Southeast Asia[J]. APN Science Bulletin, 2022."
45-1000um,0.31,"Akdogan Z, Guven B, Kideys A E. Microplastic distribution in the surface water and sediment of the Ergene River[J]. Environmental Research, 2023, 234: 116500."
1000-2000um,0.38,"Akdogan Z, Guven B, Kideys A E. Microplastic distribution in the surface water and sediment of the Ergene River[J]. Environmental Research, 2023, 234: 116500."
2000-3000um,0.18,"Akdogan Z, Guven B, Kideys A E. Microplastic distribution in the surface water and sediment of the Ergene River[J]. Environmental Research, 2023, 234: 116500."
3000-5000um,0.13,"Akdogan Z, Guven B, Kideys A E. Microplastic distribution in the surface water and sediment of the Ergene River[J]. Environmental Research, 2023, 234: 116500."
0.01-0.33mm,0.46,"Li T, Liu K, Tang R, et al. Environmental fate of microplastics in an urban river: Spatial distribution and seasonal variation[J]. Environmental Pollution, 2023, 322: 121227."
0.33-1mm,0.19,"Li T, Liu K, Tang R, et al. Environmental fate of microplastics in an urban river: Spatial distribution and seasonal variation[J]. Environmental Pollution, 2023, 322: 121227."
1-2mm,0.14,"Li T, Liu K, Tang R, et al. Environmental fate of microplastics in an urban river: Spatial distribution and seasonal variation[J]. Environmental Pollution, 2023, 322: 121227."
2-3mm,0.06,"Li T, Liu K, Tang R, et al. Environmental fate of microplastics in an urban river: Spatial distribution and seasonal variation[J]. Environmental Pollution, 2023, 322: 121227."
3-4mm,0.04,"Li T, Liu K, Tang R, et al. Environmental fate of microplastics in an urban river: Spatial distribution and seasonal variation[J]. Environmental Pollution, 2023, 322: 121227."
4-5mm,0.11,"Li T, Liu K, Tang R, et al. Environmental fate of microplastics in an urban river: Spatial distribution and seasonal variation[J]. Environmental Pollution, 2023, 322: 121227."
0.3-0.5mm,0.88,"Hossain M B, Yu J, Nur A A U, et al. Microplastics in surface water from a mighty subtropical estuary: first observations on occurrence, characterization, and contamination assessment[J]. Environmental Research, 2023, 226: 115594."
0.5-1mm,0.11,"Hossain M B, Yu J, Nur A A U, et al. Microplastics in surface water from a mighty subtropical estuary: first observations on occurrence, characterization, and contamination assessment[J]. Environmental Research, 2023, 226: 115594."
1-5mm,0.01,"Hossain M B, Yu J, Nur A A U, et al. Microplastics in surface water from a mighty subtropical estuary: first observations on occurrence, characterization, and contamination assessment[J]. Environmental Research, 2023, 226: 115594."
1-20um,0.3,"Maneesh Kumar S K, Kartha A R, Rajathy S, et al. Characterization of suspended microplastics in surface waters of Chalakudy River, Kerala, India[J]. Chemistry and Ecology, 2023, 39(3): 268-287."
20-60um,0.41,"Maneesh Kumar S K, Kartha A R, Rajathy S, et al. Characterization of suspended microplastics in surface waters of Chalakudy River, Kerala, India[J]. Chemistry and Ecology, 2023, 39(3): 268-287."
60-100um,0.15,"Maneesh Kumar S K, Kartha A R, Rajathy S, et al. Characterization of suspended microplastics in surface waters of Chalakudy River, Kerala, India[J]. Chemistry and Ecology, 2023, 39(3): 268-287."
100-500um,0.1,"Maneesh Kumar S K, Kartha A R, Rajathy S, et al. Characterization of suspended microplastics in surface waters of Chalakudy River, Kerala, India[J]. Chemistry and Ecology, 2023, 39(3): 268-287."
