basin_id,conc_ene,conc_feb,conc_mar,conc_abr,conc_may,conc_jun,conc_jul,conc_ago,conc_sep,conc_oct,conc_nov,conc_dic,pe_pct,pp_pct,pe_pp_pct
1,127.51314184556588,136.26912851315893,100.80385460853627,87.64632356222441,76.54049246079849,62.18797683281423,56.2642898262539,84.13430858269341,108.95873787932099,117.65508990844259,122.42078639498179,117.58843147054323,10.82,20.39,31.22
2,712.1337104739653,705.0549083199002,700.1091268371019,701.4424104947743,735.6618214632392,725.984758143782,726.2189656484459,712.367566267999,724.4373322850149,709.1483419743045,695.9654425387804,699.2378985999089,34.85,18.87,53.72
3,552.6801656753139,442.48798591130304,369.26401793893376,407.9398705233753,457.9187438132899,343.96176155071845,395.8386700249471,464.2253760656609,391.12883436805777,338.0164420961449,523.2815787140223,549.9246787462836,38.16,27.59,65.75
4,210.04945797790796,194.196445726526,186.1669926910581,242.5790879657955,215.09517814249253,214.8181863381597,300.2227564874832,287.62663248200346,242.10014396011167,187.30610262077104,203.83573980067246,163.87241600919205,54.82,18.05,72.87
5,176.7234999988072,190.799965935402,222.55055932020414,264.1007833272744,394.3001968454343,422.3716015691432,426.9642907001516,302.4730325942709,207.74677657755768,195.10591233795455,175.7546798295529,193.61046989243056,31.33,19.18,50.51
6,901.1279517104156,719.4166651223838,748.4331871940238,447.4579859220643,292.1424674729277,357.6881363227289,335.6380458115306,338.34289707209444,695.4418228806072,554.1159839876693,469.9964752077293,679.9889985059305,13.51,20.09,33.6
7,48.615559170053814,52.73120887890485,53.579386998193996,56.55316206334963,62.920902125500504,64.10898160197142,70.96976401712215,58.669716912885164,47.92610623708492,55.53044342317138,47.76034557665947,45.30749599685879,28.87,19.61,48.48
8,32.097514262842246,34.463548861468404,44.50297370463386,48.362439318586006,48.905525834460185,56.81089004193132,48.91306936810987,58.336470300081416,42.61785657449066,42.899696003673895,42.96627376665468,46.14070427950754,30.29,17.6,47.89
9,700.5674185710421,786.6334835424952,845.4926314642013,532.3788193538912,496.55285934685867,630.332210561417,820.446686302945,1108.530019228582,1080.4972845718382,667.7826329922348,1063.7960968468517,911.3395074209068,15.31,16.88,32.19
10,873.1766270553372,979.2927195664689,1347.07874767027,1096.3823874072261,2011.0068576258102,2585.7791089555385,2478.5426091163718,2475.534522066596,1902.8253291714711,1803.2266413022833,1879.0201440675144,1791.713002980591,26.6,26.39,52.99
