temperature_k,k_c1,k_c2,k_c3_pebn_ref,k_c4,k_c5
273,1.4,1.88,2.42,3.35,2.93
283,1.1,1.59,2.08,2.92,2.57
293,0.9,1.35,1.81,2.62,2.32
303,0.76,1.17,1.62,2.32,2.05
313,0.63,0.97,1.41,2.14,1.85
323,0.61,0.83,1.22,1.92,1.66
333,0.58,0.66,1.03,1.83,1.57
