tiempo_min,baseline_pct,tier1_pct,tier2_pct,tier3_pct,full_system_pct
0,100,100,100,100,100
4,88.6,95.2,96,97.3,98.7
8,65.6,90.4,93.2,95.5,96.8
12,52.5,86,89.5,91.8,94.5
16,45.8,78.9,82.5,86.7,90.3
20,34.3,74.1,77.3,82.9,86.2
24,27.2,70.9,73.2,77.5,83.5
