sample,contact_angle_deg,sliding_angle_deg,wettability
PEBN_substrate,120.0,,Hidrofoba
FEVE_coating,130.4,85.8,Hidrofoba
AUTO_coating,32.7,,Hidrofila
FUTO_coating,159.1,3.5,Superhidrofoba
FAUTO_coating,150.2,10.6,Heterogenea
