year,sex,obesity_pct,obesity_lo95,obesity_hi95
1980,Girls,1.23,0.95,1.56
1981,Girls,1.28,1.02,1.59
1982,Girls,1.33,1.08,1.63
1983,Girls,1.39,1.15,1.68
1984,Girls,1.46,1.23,1.73
1985,Girls,1.54,1.31,1.8
1986,Girls,1.62,1.4,1.88
1987,Girls,1.72,1.5,1.96
1988,Girls,1.83,1.61,2.07
1989,Girls,1.94,1.73,2.18
1990,Girls,2.06,1.85,2.29
1991,Girls,2.17,1.97,2.4
1992,Girls,2.29,2.08,2.5
1993,Girls,2.4,2.2,2.61
1994,Girls,2.51,2.31,2.71
1995,Girls,2.62,2.43,2.82
1996,Girls,2.73,2.55,2.93
1997,Girls,2.85,2.67,3.04
1998,Girls,2.97,2.8,3.16
1999,Girls,3.1,2.93,3.28
2000,Girls,3.24,3.07,3.42
2001,Girls,3.4,3.23,3.58
2002,Girls,3.56,3.39,3.74
2003,Girls,3.73,3.55,3.91
2004,Girls,3.89,3.71,4.07
2005,Girls,4.04,3.87,4.23
2006,Girls,4.19,4.01,4.38
2007,Girls,4.34,4.16,4.52
2008,Girls,4.49,4.31,4.68
2009,Girls,4.65,4.46,4.84
2010,Girls,4.8,4.62,5.0
2011,Girls,4.96,4.77,5.16
2012,Girls,5.12,4.92,5.33
2013,Girls,5.29,5.09,5.51
2014,Girls,5.47,5.26,5.7
2015,Girls,5.67,5.44,5.91
2016,Girls,5.88,5.64,6.14
2017,Girls,6.12,5.85,6.4
2018,Girls,6.36,6.06,6.66
2019,Girls,6.61,6.26,6.95
2020,Girls,6.86,6.47,7.26
2021,Girls,7.11,6.67,7.58
2022,Girls,7.38,6.85,7.94
2023,Girls,7.65,7.04,8.31
2024,Girls,7.94,7.22,8.72
1980,Boys,1.68,1.33,2.16
1981,Boys,1.78,1.43,2.22
1982,Boys,1.88,1.54,2.3
1983,Boys,1.99,1.66,2.39
1984,Boys,2.11,1.79,2.5
1985,Boys,2.24,1.92,2.62
1986,Boys,2.39,2.07,2.75
1987,Boys,2.54,2.23,2.9
1988,Boys,2.71,2.41,3.06
1989,Boys,2.88,2.59,3.22
1990,Boys,3.06,2.77,3.38
1991,Boys,3.24,2.96,3.55
1992,Boys,3.42,3.14,3.71
1993,Boys,3.6,3.33,3.88
1994,Boys,3.78,3.51,4.06
1995,Boys,3.97,3.71,4.24
1996,Boys,4.17,3.91,4.43
1997,Boys,4.38,4.12,4.64
1998,Boys,4.6,4.35,4.86
1999,Boys,4.85,4.59,5.12
2000,Boys,5.12,4.86,5.39
2001,Boys,5.41,5.15,5.68
2002,Boys,5.7,5.44,5.97
2003,Boys,5.99,5.73,6.27
2004,Boys,6.28,6.02,6.56
2005,Boys,6.55,6.28,6.83
2006,Boys,6.82,6.54,7.1
2007,Boys,7.08,6.8,7.37
2008,Boys,7.35,7.07,7.64
2009,Boys,7.61,7.33,7.9
2010,Boys,7.87,7.59,8.17
2011,Boys,8.13,7.84,8.42
2012,Boys,8.37,8.08,8.67
2013,Boys,8.62,8.32,8.93
2014,Boys,8.88,8.56,9.2
2015,Boys,9.15,8.82,9.49
2016,Boys,9.45,9.11,9.8
2017,Boys,9.79,9.42,10.17
2018,Boys,10.16,9.76,10.58
2019,Boys,10.54,10.09,11.02
2020,Boys,10.92,10.4,11.47
2021,Boys,11.29,10.69,11.95
2022,Boys,11.68,10.95,12.46
2023,Boys,12.07,11.22,12.99
2024,Boys,12.46,11.45,13.53
