year,sex,region,obesity_pct,obesity_lo95,obesity_hi95,grupo_edad
1980,Women,Central and eastern Europe,18.27,15.36,21.57,adultos
1981,Women,Central and eastern Europe,18.23,15.56,21.26,adultos
1982,Women,Central and eastern Europe,18.2,15.75,20.99,adultos
1983,Women,Central and eastern Europe,18.19,15.95,20.75,adultos
1984,Women,Central and eastern Europe,18.16,16.11,20.49,adultos
1985,Women,Central and eastern Europe,18.13,16.25,20.26,adultos
1986,Women,Central and eastern Europe,18.11,16.38,20.04,adultos
1987,Women,Central and eastern Europe,18.1,16.5,19.85,adultos
1988,Women,Central and eastern Europe,18.1,16.62,19.71,adultos
1989,Women,Central and eastern Europe,18.1,16.75,19.57,adultos
1990,Women,Central and eastern Europe,18.09,16.86,19.46,adultos
1991,Women,Central and eastern Europe,18.1,16.95,19.36,adultos
1992,Women,Central and eastern Europe,18.13,17.05,19.28,adultos
1993,Women,Central and eastern Europe,18.18,17.15,19.26,adultos
1994,Women,Central and eastern Europe,18.24,17.28,19.26,adultos
1995,Women,Central and eastern Europe,18.31,17.37,19.26,adultos
1996,Women,Central and eastern Europe,18.39,17.49,19.31,adultos
1997,Women,Central and eastern Europe,18.51,17.64,19.4,adultos
1998,Women,Central and eastern Europe,18.65,17.81,19.51,adultos
1999,Women,Central and eastern Europe,18.8,17.99,19.63,adultos
2000,Women,Central and eastern Europe,18.95,18.15,19.74,adultos
2001,Women,Central and eastern Europe,19.09,18.31,19.88,adultos
2002,Women,Central and eastern Europe,19.25,18.47,20.02,adultos
2003,Women,Central and eastern Europe,19.4,18.63,20.16,adultos
2004,Women,Central and eastern Europe,19.53,18.77,20.3,adultos
2005,Women,Central and eastern Europe,19.64,18.88,20.41,adultos
2006,Women,Central and eastern Europe,19.74,18.97,20.51,adultos
2007,Women,Central and eastern Europe,19.83,19.06,20.59,adultos
2008,Women,Central and eastern Europe,19.9,19.13,20.66,adultos
2009,Women,Central and eastern Europe,19.96,19.17,20.72,adultos
2010,Women,Central and eastern Europe,19.99,19.21,20.76,adultos
2011,Women,Central and eastern Europe,20.0,19.23,20.78,adultos
2012,Women,Central and eastern Europe,19.99,19.24,20.78,adultos
2013,Women,Central and eastern Europe,19.96,19.22,20.74,adultos
2014,Women,Central and eastern Europe,19.89,19.16,20.67,adultos
2015,Women,Central and eastern Europe,19.8,19.06,20.56,adultos
2016,Women,Central and eastern Europe,19.68,18.93,20.43,adultos
2017,Women,Central and eastern Europe,19.53,18.79,20.28,adultos
2018,Women,Central and eastern Europe,19.36,18.6,20.12,adultos
2019,Women,Central and eastern Europe,19.17,18.39,19.97,adultos
2020,Women,Central and eastern Europe,18.98,18.15,19.82,adultos
