muestra_agua,tds_fdgd_mg_l,tds_hanna_mg_l
Tap Water,207.0,208.0
Tap Water,207.0,207.0
Tap Water,206.0,207.0
River Water,163.0,169.0
River Water,165.0,165.0
River Water,164.0,167.0
Lake Water,197.0,199.0
Lake Water,195.0,199.0
Lake Water,197.0,201.0
