impedancia_ohm,densidad_corriente_ua_cm3,densidad_potencia_mw_cm3
1000,95.7962,1.44077
3000,66.242,2.06675
5000,28.535,0.76702
10000,19.8089,0.61606
30000,6.6242,0.20668
50000,3.2166,0.09746
100000,1.949,0.05964
300000,0.7325,0.02527
500000,0.3439,0.01114
1000000,0.242,0.0092
3000000,0.0828,0.00323
5000000,0.0446,0.00187
10000000,0.0318,0.00159
