taxon,grupo,caracteres_comparables,caracteres_coincidentes,similitud_pct
Remigolepis_spp,Placodermo,100,67,67.0
Microbrachius_dicki,Placodermo,87,58,66.7
Dwykaselachus_oosthuizeni,Otro,6,4,66.7
Uraniacanthus_probaton,Otro,58,38,65.5
Dobunnacanthus_waynensis,Otro,52,34,65.4
Sinolepis_macrocephala,Placodermo,60,39,65.0
Cladoselache_kepleri,Otro,51,33,64.7
Parayunnanolepis_xitunensis,Placodermo,110,70,63.6
Styloichthys_changae,Otro,77,49,63.6
Sparalepis_tingi,Stem Osteictio,30,19,63.3
Pterichthyodes_milleri,Placodermo,95,60,63.2
Onychoselache_traquari,Otro,57,36,63.2
Debeerius_ellefseni_,Otro,47,29,61.7
Lupopsyrus_pygmaeus,Acantodio,60,37,61.7
Bothriolepis_spp,Placodermo,104,64,61.5
Akmonistion_zangerli,Condrictio,57,35,61.4
Uraniacanthus_curtus,Otro,44,27,61.4
Romundina_stellina,Placodermo,93,57,61.3
Halimacanthodes_ahlbergi,Otro,31,19,61.3
Gyracanthides_murrayi,Acantodio,30,18,60.0
Hamiltonichthys_mapesi,Condrictio,57,34,59.6
Tristychius_arcuatus,Condrictio,57,34,59.6
Cobelodus_aculeatus,Condrictio,37,22,59.5
Diplodoselache_woodi,Otro,37,22,59.5
Doliodus_latispinosus,Otro,32,19,59.4
Helodus_simplex,Otro,51,30,58.8
Osteostraci,Agnato,36,21,58.3
Orthacanthus_spp,Condrictio,36,21,58.3
Acronemus_tuberculatus,Otro,24,14,58.3
Squalus_spp,Otro,36,21,58.3
Egertonodus_basanus,Otro,33,19,57.6
Chondrenchelys_problematica,Otro,40,23,57.5
Ozarcus_mapesae,Condrictio,11,6,54.5
Psarolepis_romeri,Stem Osteictio,81,44,54.3
Galeaspida,Agnato,51,27,52.9
Chimaeroidei,Otro,36,19,52.8
Gavinia_syntrips,Sarcopterigio,25,13,52.0
Dipterus_spp,Otro,54,28,51.9
Homalodontus_aplopagus,Otro,31,16,51.6
Kawichthys_moodiei,Otro,6,3,50.0
Tribodus_limae,Otro,18,9,50.0
Gladbachus_adentatus,Condrictio,32,15,46.9
Triodus_moorei,Otro,31,14,45.2
Diplocercides_spp,Otro,49,22,44.9
Damocles_serratus,Otro,36,16,44.4
Iniopera_richardsoni,Otro,25,11,44.0
Synechodus_dubrisiensis,Otro,17,7,41.2
Falcatus_falcatus,Otro,38,15,39.5
