taxon,grupo,n_coded,n_total,n_missing,n_gaps,pct_complete
Kolymaspis_sibirica,Placodermo,162,709,547,21,22.8
Kansasiella_eatoni,Otro,157,709,552,13,22.1
Kawichthys_moodiei,Otro,153,709,556,78,21.6
Chuchinolepis_dongmoensis,Placodermo,146,709,563,25,20.6
Minicrania_lirouyii,Placodermo,146,709,563,26,20.6
Gavinaspis_convergens,Placodermo,128,709,581,28,18.1
Lawrenciella_schaefferi,Otro,117,709,592,9,16.5
Mulgaspis_evansorum,Placodermo,114,709,595,17,16.1
Pauropetalichthys_magnoculus,Placodermo,109,709,600,19,15.4
Sinopetalichthys_kueiyangensis,Placodermo,95,709,614,17,13.4
Widjeaspis_warrooensis,Placodermo,93,709,616,17,13.1
Ellopetalichthys_scheii,Placodermo,91,709,618,14,12.8
Epipetalichthys_wildungensis,Placodermo,90,709,619,16,12.7
Guangxipetalichthys_tiaomajianensis,Placodermo,89,709,620,16,12.6
Pampetalichthys_longhuaensis,Placodermo,89,709,620,16,12.6
Notopetalichthys_hillsi,Placodermo,89,709,620,16,12.6
Ptyctolepis_brachynotus,Otro,86,709,623,13,12.1
Gavinia_syntrips,Sarcopterigio,86,712,626,16,12.1
Arabosteus_variabilis,Placodermo,84,709,625,14,11.8
Sparalepis_tingi,Stem Osteictio,70,712,642,8,9.8
Kimaspis_tienshanica,Placodermo,62,709,647,12,8.7
Kosoraspis_peckai,Placodermo,59,709,650,10,8.3
Lophosteus_superbus,Stem Osteictio,58,709,651,7,8.2
Sudaspis_chiupaci,Placodermo,57,709,652,12,8.0
Andreolepis_hedei,Stem Osteictio,56,709,653,6,7.9
Radotina_tessellata,Placodermo,53,709,656,9,7.5
Radotina_kosorensis,Placodermo,52,709,657,9,7.3
Tlamaspis_inopinatus,Placodermo,46,709,663,12,6.5
Minjinia_turgenensis,Placodermo,44,712,668,4,6.2
