mouse_id,time_days,group,volume_mm3,volume_norm_pct
ko1_0,0,sk3d,268.08,100.0
ko1_2,0,mgo53,220.89,100.0
ko1_3,0,sk3d,796.33,100.0
ko1_4,0,mgo53,268.08,100.0
ko2_0,0,sk3d,220.89,100.0
ko2_1,0,sk3d,179.59,100.0
ko2_2,0,mgo53,321.56,100.0
ko1_0,4,sk3d,113.1,42.19
ko1_2,4,mgo53,179.59,81.3
ko1_3,4,sk3d,321.56,40.38
ko1_4,4,mgo53,179.59,66.99
ko2_0,4,sk3d,47.71,21.6
ko2_1,4,sk3d,33.51,18.66
ko2_2,4,mgo53,113.1,35.17
ko1_0,7,sk3d,65.45,24.41
ko1_2,7,mgo53,87.11,39.44
ko1_3,7,sk3d,179.59,22.55
ko1_4,7,mgo53,113.1,42.19
ko2_0,7,sk3d,33.51,15.17
ko2_1,7,sk3d,8.18,4.56
ko2_2,7,mgo53,87.11,27.09
