type,mass,COT,medium,,,
,g,J/Nm,,,,
Gliding birds,394.659,0.161,air,,,
Gliding birds,727.72,0.25,air,,,
Gliding birds,3499.755,0.078,air,,,
Gliding birds,3571.87,0.058,air,,,
Gliding birds,3797.257,0.123,air,,,
Gliding birds,8076.429,0.092,air,,,
Gliding birds,9703.809,0.085,air,,,
Gliding birds,40.353,0.596,air,,,
Flapping birds,8.146,2.682,air,,,
Flapping birds,12.003,1.672,air,,,
Flapping birds,17.684,0.726,air,,,
Flapping birds,21.685,1.395,air,,,
Flapping birds,28.852,1.129,air,,,
Flapping birds,122.771,0.726,air,,,
Flapping birds,192.298,0.878,air,,,
Flapping birds,231.045,0.5,air,,,
Flapping birds,289.158,0.618,air,,,
Flapping birds,326.802,0.457,air,,,
Flapping birds,400.742,0.5,air,,,
Flapping birds,462.245,0.643,air,,,
Flapping birds,471.77,2.284,air,,,
Flapping birds,2048.862,0.318,air,,,
Flapping birds,2564.199,0.276,air,,,
Flapping birds,3096.136,0.182,air,,,
Flapping birds,278.169,0.401,air,,,
Flapping birds,262.923,0.81,air,,,
Flapping birds,22.327,1.263,air,,,
Flapping birds,26.071,0.777,air,,,
Flapping birds,5.157,3.032,air,,,
Flapping birds,988.79,0.782,air,,,
Flapping birds,33.128,0.99,air,,,
Flapping birds,68.934,1.054,air,,,
Flapping birds,73.966,1.025,air,,,
Swimming birds,1187.581,0.572,water,,,
Swimming birds,5440.241,0.782,water,,,
Swimming birds,3615.26,0.449,water,,,
Swimming birds,3934.225,0.498,water,,,
Swimming birds,4104.111,0.461,water,,,
Swimming birds,3514.792,0.374,water,,,
Swimming birds,11005.649,0.41,water,,,
Swimming birds,22264.514,0.401,water,,,
Swimming birds,1076.028,5.627,water,,,
Swimming birds,578.823,3.365,water,,,
Swimming birds,2402.486,2.809,water,,,
Swimming birds,2086.707,2.112,water,,,
Swimming birds,570.724,2.112,water,,,
Swimming birds,823.275,1.567,water,,,
Swimming birds,988.79,1.107,water,,,
Swimming birds,1762.065,1.534,water,,,
Swimming birds,1619.207,1.441,water,,,
Swimming birds,1046.126,3.709,water,,,
Flying bats,6.461,4.232,air,,,
Flying bats,7.651,3.787,air,,,
Flying bats,8.326,2.098,air,,,
Flying bats,10.142,2.04,air,,,
Flying bats,8.326,3.053,air,,,
Flying bats,88.837,1.364,air,,,
Flying bats,307.007,0.911,air,,,
Flying bats,621.077,0.631,air,,,
Swimming mammals,1238.863,0.505,water,,,
Swimming mammals,40810.425,0.205,water,,,
Swimming mammals,41389.584,0.179,water,,,
Swimming mammals,87347.096,0.186,water,,,
Swimming mammals,141034.968,0.132,water,,,
Swimming mammals,3868256.82,0.081,water,,,
Swimming mammals,14754029.54,0.043,water,,,
Swimming mammals,3923153.048,0.026,water,,,
Swimming mammals,31224.252,0.326,water,,,
Swimming mammals,41389.584,0.294,water,,,
Swimming mammals,18278.22,0.359,water,,,
Swimming mammals,122497.52,0.266,water,,Power,Speed
This work,250,1.100270213,air,,17,6.3
This work,250,5.096839959,water,,5,0.4
