,Animal,Latin name,Family,Type,Mass,MassSource,Frq air,FrqAirSource,Frq wat,FrqWaterSource,
1,Pigeon guillemot,Cephhus columba,Alcidae,Wing,530,"CRC Handbook of Avian Body Masses. (CRC Press, Boca Raton, 2008).",11,"Lapsansky, A. B., Zatz, D. & Tobalske, B. W. Alcids ‘fly’ at efficient Strouhal numbers in both air and water but vary stroke velocity and angle. eLife 9, e55774 (2020).",2.8,"Lapsansky, A. B., Zatz, D. & Tobalske, B. W. Alcids ‘fly’ at efficient Strouhal numbers in both air and water but vary stroke velocity and angle. eLife 9, e55774 (2020).",_
2,Brunnich guillemot,Uria lomvia,Alcidae,Wing,949,"Krishnan, K. et al. The role of wingbeat frequency and amplitude in flight power. Journal of The Royal Society Interface 19, 20220168 (2022).",7.7,"Krishnan, K. et al. The role of wingbeat frequency and amplitude in flight power. Journal of The Royal Society Interface 19, 20220168 (2022).",2.34,"Watanuki, Y. et al. Swim speeds and stroke patterns in wing-propelled divers: a comparison among alcids and a penguin. Journal of Experimental Biology 209, 1217–1230 (2006).",_
3,Tufted puffin,Fratercula cirrhata,Alcidae,Wing,770,"CRC Handbook of Avian Body Masses. (CRC Press, Boca Raton, 2008).",9,"Lapsansky, A. B., Zatz, D. & Tobalske, B. W. Alcids ‘fly’ at efficient Strouhal numbers in both air and water but vary stroke velocity and angle. eLife 9, e55774 (2020).",3,"Lapsansky, A. B., Zatz, D. & Tobalske, B. W. Alcids ‘fly’ at efficient Strouhal numbers in both air and water but vary stroke velocity and angle. eLife 9, e55774 (2020).",_
4,Horned puffin,Fratercula corniculata,Alcidae,Wing,537,"CRC Handbook of Avian Body Masses. (CRC Press, Boca Raton, 2008).",8.9,"Lapsansky, A. B., Zatz, D. & Tobalske, B. W. Alcids ‘fly’ at efficient Strouhal numbers in both air and water but vary stroke velocity and angle. eLife 9, e55774 (2020).",2.3,"Lapsansky, A. B., Zatz, D. & Tobalske, B. W. Alcids ‘fly’ at efficient Strouhal numbers in both air and water but vary stroke velocity and angle. eLife 9, e55774 (2020).",_
5,Atlantic puffin,Fratercula arctica,Alcidae,Wing,400,"Pennycuick, C. J. Predicting Wingbeat Frequency and Wavelength of Birds. Journal of Experimental Biology 150, 171–185 (1990).",9.2,"Pennycuick, C. J. Predicting Wingbeat Frequency and Wavelength of Birds. Journal of Experimental Biology 150, 171–185 (1990).",3.1,"Johansson, L. C. & Aldrin, B. S. W. Kinematics of diving Atlantic puffins (Fratercula arctica L.): evidence for an active upstroke. Journal of Experimental Biology 205, 371–378 (2002).",_
6,Common murre,Uria aalge,Alcidae,Wing,993,"CRC Handbook of Avian Body Masses. (CRC Press, Boca Raton, 2008).",7,"Lapsansky, A. B., Zatz, D. & Tobalske, B. W. Alcids ‘fly’ at efficient Strouhal numbers in both air and water but vary stroke velocity and angle. eLife 9, e55774 (2020).",2.7,"Lapsansky, A. B., Zatz, D. & Tobalske, B. W. Alcids ‘fly’ at efficient Strouhal numbers in both air and water but vary stroke velocity and angle. eLife 9, e55774 (2020).",_
7,Common murre,Uria aalge,Alcidae,Wing,950,"Pennycuick, C. J. Predicting Wingbeat Frequency and Wavelength of Birds. Journal of Experimental Biology 150, 171–185 (1990).",8.7,"Pennycuick, C. J. Predicting Wingbeat Frequency and Wavelength of Birds. Journal of Experimental Biology 150, 171–185 (1990).",2.61,"Watanuki, Y. et al. Swim speeds and stroke patterns in wing-propelled divers: a comparison among alcids and a penguin. Journal of Experimental Biology 209, 1217–1230 (2006).",_
8,Rhinoceros auklet,Cerorhinca monocerata,Alcidae,Wing,575,"Kikuchi, D. M. et al. Strouhal number for flying and swimming in rhinoceros auklets Cerorhinca monocerata. J Avian Biol 46, 406–411 (2015).",8.9,"Kikuchi, D. M. et al. Strouhal number for flying and swimming in rhinoceros auklets Cerorhinca monocerata. J Avian Biol 46, 406–411 (2015).",2.6,"Kikuchi, D. M. et al. Strouhal number for flying and swimming in rhinoceros auklets Cerorhinca monocerata. J Avian Biol 46, 406–411 (2015).",_
9,Razorbill,Alca torda,Alcidae,Wing,620,"Pennycuick, C. J. Predicting Wingbeat Frequency and Wavelength of Birds. Journal of Experimental Biology 150, 171–185 (1990).",9.1,"Pennycuick, C. J. Predicting Wingbeat Frequency and Wavelength of Birds. Journal of Experimental Biology 150, 171–185 (1990).",2.77,"Watanuki, Y. et al. Swim speeds and stroke patterns in wing-propelled divers: a comparison among alcids and a penguin. Journal of Experimental Biology 209, 1217–1230 (2006).",_
10,Common loon,Gavia immer,Gaviidae ,Foot,2850,"Clifton, G. T. & Biewener, A. A. Foot-propelled swimming kinematics and turning strategies in common loons. J Exp Biol 221, jeb168831 (2018).",NA,NA,2.04,"Clifton, G. T. & Biewener, A. A. Foot-propelled swimming kinematics and turning strategies in common loons. J Exp Biol 221, jeb168831 (2018).",_
11,Northern gannet,Morus bassanus,Sulidae,Wing,3010,"Pennycuick, C. J. Predicting Wingbeat Frequency and Wavelength of Birds. Journal of Experimental Biology 150, 171–185 (1990).",3.53,"Pennycuick, C. J. Predicting Wingbeat Frequency and Wavelength of Birds. Journal of Experimental Biology 150, 171–185 (1990).",1.61,"Ropert?Coudert, Y. et al. Underwater wingbeats extend depth and duration of plunge dives in northern gannets Morus bassanus. Journal of Avian Biology 40, 380–387 (2009).",_
12,Lesser scaup,Aythya affinis,Anatidae,Foot,591,"Stephenson, R. Diving Energetics in Lesser Scaup (aythyta Affinis, Eyton). Journal of Experimental Biology 190, 155–178 (1994).",NA,NA,4.44,"Stephenson, R. Diving Energetics in Lesser Scaup (aythyta Affinis, Eyton). Journal of Experimental Biology 190, 155–178 (1994).",_
13,Common merganser,Mergus merganser,Anatidae,Wing,1471,"CRC Handbook of Avian Body Masses. (CRC Press, Boca Raton, 2008).",8,"Bruderer, B., Peter, D., Boldt, A. & Liechti, F. Wing-beat characteristics of birds recorded with tracking radar and cine camera. Ibis 152, 272–291 (2010).",4.6,"Lapsansky, A. B. & Armstrong, R. H. Common Mergansers Mergus merganser use wings to pursue a fish underwater. Marine Ornithology 50, 111–114 (2022).",_
14,Wilson's storm petrel,Oceanites oceanicus,Procellariidae,,35,"Pennycuick, C. J. Wingbeat Frequency of Birds in Steady Cruising Flight: New Data and Improved Predictions. Journal of Experimental Biology 199, 1613–1618 (1996).",7.65,"Pennycuick, C. J. Wingbeat Frequency of Birds in Steady Cruising Flight: New Data and Improved Predictions. Journal of Experimental Biology 199, 1613–1618 (1996).",NA,,_
15,White-chinned petrel,Procellaria aequinoctialis,Procellariidae,Wing,1230,"Pennycuick, C. J. Wingbeat Frequency of Birds in Steady Cruising Flight: New Data and Improved Predictions. Journal of Experimental Biology 199, 1613–1618 (1996).",5.6,"Pennycuick, C. J. Wingbeat Frequency of Birds in Steady Cruising Flight: New Data and Improved Predictions. Journal of Experimental Biology 199, 1613–1618 (1996).",NA,,_
16,Southern giant petrel,Macronectes giganteus,Procellariidae,,3240,"Pennycuick, C. J. Wingbeat Frequency of Birds in Steady Cruising Flight: New Data and Improved Predictions. Journal of Experimental Biology 199, 1613–1618 (1996).",3.14,"Pennycuick, C. J. Wingbeat Frequency of Birds in Steady Cruising Flight: New Data and Improved Predictions. Journal of Experimental Biology 199, 1613–1618 (1996).",NA,,_
17,Little Penguin,Eudyptula minor,Spheniscidae,Wing,1200,"Watanuki, Y. et al. Swim speeds and stroke patterns in wing-propelled divers: a comparison among alcids and a penguin. Journal of Experimental Biology 209, 1217–1230 (2006).",NA,,3.44,"Watanuki, Y. et al. Swim speeds and stroke patterns in wing-propelled divers: a comparison among alcids and a penguin. Journal of Experimental Biology 209, 1217–1230 (2006).",_
18,Eurasian coot,Fulica atra,Rallidae,Foot,836,"CRC Handbook of Avian Body Masses. (CRC Press, Boca Raton, 2008).",10.8,"Bruderer, B., Peter, D., Boldt, A. & Liechti, F. Wing-beat characteristics of birds recorded with tracking radar and cine camera. Ibis 152, 272–291 (2010).",NA,,
19,Anhinga,Anhinga anhinga,Anhingidae,Foot,1240,"Pennycuick, C. J. Predicting Wingbeat Frequency and Wavelength of Birds. Journal of Experimental Biology 150, 171–185 (1990).",5.07,"Pennycuick, C. J. Predicting Wingbeat Frequency and Wavelength of Birds. Journal of Experimental Biology 150, 171–185 (1990).",NA,,
20,Double-crested cormorant,Phalacrocorax auritus,Phalacrocoracidae,Foot,1410,"Pennycuick, C. J. Predicting Wingbeat Frequency and Wavelength of Birds. Journal of Experimental Biology 150, 171–185 (1990).",5.03,"Pennycuick, C. J. Predicting Wingbeat Frequency and Wavelength of Birds. Journal of Experimental Biology 150, 171–185 (1990).",NA,,_
