wingspan,frequency,num_exp,cycle_max_avg,cycle_max_std,measured_freq
33,1,4,4.429578853,0.568682359,0.99330241
33,3,4,21.82724921,0.388705233,2.989616079
33,5,7,59.82337901,6.332599256,4.98705183
43,1,5,4.536095506,0.50808803,0.991348747
43,3,5,17.75048823,3.730474788,2.9850362
43,5,5,37.19440824,2.848457028,4.984842969
53,1,4,4.057772005,0.091694653,0.991367979
53,3,7,15.14072217,1.327450088,2.984227175
53,5,6,43.48219392,8.72164954,4.985922467
