Species,Thermal stressor,mean_slope,n_pop,mean_tp,mean_pvalue,mean_r2,slope_pct
Raja radula,Temperature difference,2.2627,3,-0.4423333333333333,0.5217333333333333,0.043500000000000004,860.8998469333212
Clupea pallasii,Temperature difference,2.073325,8,0.24425,0.6192,0.03555,695.1217010245703
Cryptopsaras couesii,Temperature difference,1.9395,4,0.17875,0.444675,0.077425,595.5272464850868
Chelon ramada,Temperature difference,1.9128833333333333,6,0.059000000000000004,0.37615,0.11921666666666668,577.2588302843162
Oneirodes acanthias,Temperature difference,1.8628,3,0.17966666666666667,0.2245,0.17903333333333335,544.1748438956052
Chesnonia verrucosa,Temperature difference,1.7551333333333334,9,-0.552111111111111,0.38795555555555555,0.08485555555555556,478.4218919733078
Scymnodon ringens,Temperature difference,1.6117499999999998,4,0.1505,0.7669,0.010624999999999999,401.1573812507601
Borostomias panamensis,Temperature difference,1.5949749999999998,4,0.33975,0.585825,0.046475,392.8205865432411
Heptranchias perlo,Temperature difference,1.5419333333333334,6,0.131,0.7174,0.026016666666666664,367.36172020670244
Beringraja binoculata,Temperature difference,1.5148,12,-0.05183333333333334,0.37411666666666665,0.148525,354.8511333602633
Sebastes flavidus,Temperature difference,1.51146,10,-0.0382,0.5902000000000001,0.034589999999999996,353.33446482124555
Polyprion americanus,Temperature difference,1.45316,5,0.1018,0.64798,0.03778,327.66072643526974
Coryphaenoides cinereus,Temperature difference,1.4225142857142856,7,0.45528571428571424,0.5986714285714285,0.028628571428571427,314.7535430716822
Bajacalifornia burragei,Temperature difference,1.294175,4,0.12525,0.521725,0.049375,264.79851446005614
Pleuronichthys verticalis,Temperature difference,1.2688857142857142,7,-0.4588571428571429,0.46735714285714286,0.06332857142857143,255.6886965029152
Diplodus cervinus,Temperature difference,-2.529533333333333,3,-0.34600000000000003,0.37073333333333336,0.07146666666666666,-92.03037968293035
Sebastes entomelas,Temperature difference,-2.1433,3,-0.124,0.7807000000000001,0.0078000000000000005,-88.27327780336852
Sebastes ovalis,Temperature difference,-2.0494,3,-0.146,0.5168666666666667,0.03626666666666667,-87.11878322931253
Sebastes mystinus,Temperature difference,-1.8139500000000002,6,-0.42983333333333335,0.6770833333333334,0.018333333333333333,-83.69910220101706
Scorpaenichthys marmoratus,Temperature difference,-1.7493750000000001,4,-0.28475,0.6482,0.021625000000000002,-82.61174138876031
Sebastes rubrivinctus,Temperature difference,-1.6875333333333333,6,-0.643,0.43461666666666665,0.08285,-81.5024766036593
Bathysolea profundicola,Temperature difference,-1.34135,8,0.03037500000000001,0.543525,0.047412499999999996,-73.85075845727287
Argyrosomus regius,Temperature difference,-1.3366,3,-0.21966666666666668,0.4208333333333334,0.06663333333333334,-73.72625409618139
Nautichthys oculofasciatus,Temperature difference,-1.3159666666666667,3,-0.666,0.46516666666666673,0.06723333333333333,-73.17850765431336
Pseudobathylagus milleri,Temperature difference,-1.3010199999999998,10,0.41600000000000004,0.5741799999999999,0.03797,-72.77460476720333
Melanostomias bartonbeani,Temperature difference,-1.2918666666666667,3,1.19,0.37496666666666667,0.05793333333333334,-72.5242576420741
Schedophilus ovalis,Temperature difference,-1.2622833333333334,6,-0.023499999999999997,0.5400833333333334,0.03896666666666667,-71.69929113256465
Xeneretmus leiops,Temperature difference,-1.256725,4,-0.27549999999999997,0.502175,0.0364,-71.54154837180981
Microgadus proximus,Temperature difference,-1.2066444444444444,9,-0.15755555555555556,0.6480222222222223,0.02738888888888889,-70.08004223392406
Sebastes brevispinis,Temperature difference,-1.157925,4,0.31174999999999997,0.6053000000000001,0.049625,-68.58626599480624
