time_h,group,pig_id,bgl_mg_dl
0,OP-I,1,293.22
0,OP-I,2,352.95
0,OP-I,3,258.83
0,OP-I (L),1,322.18
0,OP-I (L),2,258.83
0,OP-I (L),3,314.94
0,PEG-I,1,322.18
0,PEG-I,2,267.88
0,PEG-I,3,273.31
0,insulin,1,291.41
0,insulin,2,296.84
0,insulin,3,264.26
0,PBS,1,304.08
0,PBS,2,264.26
0,PBS,3,247.97
1,OP-I,1,264.26
1,OP-I,2,233.49
1,OP-I,3,188.24
1,OP-I (L),1,262.45
1,OP-I (L),2,244.35
1,OP-I (L),3,224.44
1,PEG-I,1,266.07
1,PEG-I,2,246.16
1,PEG-I,3,260.64
1,insulin,1,296.84
1,insulin,2,295.03
1,insulin,3,253.4
1,PBS,1,300.46
1,PBS,2,251.59
1,PBS,3,260.64
2,OP-I,1,152.04
2,OP-I,2,148.42
2,OP-I,3,164.71
2,OP-I (L),1,186.43
2,OP-I (L),2,215.39
2,OP-I (L),3,208.15
2,PEG-I,1,257.02
2,PEG-I,2,255.21
2,PEG-I,3,273.31
2,insulin,1,289.6
2,insulin,2,305.89
2,insulin,3,253.4
2,PBS,1,287.79
2,PBS,2,247.97
2,PBS,3,257.02
4,OP-I,1,88.69
4,OP-I,2,97.74
4,OP-I,3,94.12
4,OP-I (L),1,150.23
4,OP-I (L),2,191.86
4,OP-I (L),3,150.23
4,PEG-I,1,260.64
4,PEG-I,2,257.02
4,PEG-I,3,275.12
4,insulin,1,257.02
4,insulin,2,293.22
4,insulin,3,240.73
4,PBS,1,296.84
4,PBS,2,244.35
4,PBS,3,247.97
6,OP-I,1,81.45
6,OP-I,2,108.6
6,OP-I,3,76.02
6,OP-I (L),1,157.47
6,OP-I (L),2,177.38
6,OP-I (L),3,142.99
6,PEG-I,1,273.31
6,PEG-I,2,175.57
6,PEG-I,3,267.88
6,insulin,1,237.11
6,insulin,2,293.22
6,insulin,3,249.7
6,PBS,1,300.46
6,PBS,2,240.73
6,PBS,3,224.44
8,OP-I,1,106.79
8,OP-I,2,133.94
8,OP-I,3,124.89
8,OP-I (L),1,164.71
8,OP-I (L),2,164.71
8,OP-I (L),3,175.57
8,PEG-I,1,231.68
8,PEG-I,2,170.14
8,PEG-I,3,257.02
8,insulin,1,228.06
8,insulin,2,285.98
8,insulin,3,242.54
8,PBS,1,253.4
8,PBS,2,237.11
8,PBS,3,251.59
12,OP-I,1,130.32
12,OP-I,2,148.42
12,OP-I,3,139.37
12,OP-I (L),1,186.43
12,OP-I (L),2,152.04
12,OP-I (L),3,182.81
12,PEG-I,1,238.92
12,PEG-I,2,179.19
12,PEG-I,3,253.4
12,insulin,1,231.68
12,insulin,2,260.64
12,insulin,3,228.06
12,PBS,1,260.64
12,PBS,2,235.3
12,PBS,3,246.16
