time_h,group,mouse_id,bgl_mg_dl
4,insulin(transd),5,245.16
4,insulin(transd),6,372.86
4,insulin(transd),7,532.14
4,insulin(transd),8,372.86
4,PBS,1,372.86
4,PBS,2,360.1
4,PBS,3,526.71
4,PBS,4,483.27
4,PBS,5,356.4
4,PBS,6,401.82
4,PBS,7,555.67
4,PBS,8,445.26
6,OP-I,1,41.768
6,OP-I,2,138.016
6,OP-I,3,85.352
6,OP-I,4,74.21
6,OP-I,5,95.93
6,OP-I,6,97.74
6,OP-I,7,74.21
6,OP-I,8,121.27
6,insulin(s.c.),1,296.84
6,insulin(s.c.),2,260.64
6,insulin(s.c.),3,186.43
6,insulin(s.c.),4,541.19
6,insulin(s.c.),5,602.73
6,insulin(s.c.),6,371.05
6,insulin(s.c.),7,456.12
6,insulin(s.c.),8,495.94
6,PEG-I,1,330.512
6,PEG-I,2,230.632
6,PEG-I,3,481.24
6,PEG-I,4,212.472
6,PEG-I,5,512.112
6,PEG-I,6,512.23
6,PEG-I,7,369.24
6,PEG-I,8,409.06
6,insulin(transd),1,363.2
6,insulin(transd),2,263.44
6,insulin(transd),3,406.784
6,insulin(transd),4,313.13
6,insulin(transd),5,343.9
6,insulin(transd),6,345.71
6,insulin(transd),7,514.04
6,insulin(transd),8,396.39
6,PBS,1,412.68
6,PBS,2,398.2
6,PBS,3,533.95
6,PBS,4,532.14
6,PBS,5,343.9
6,PBS,6,383.72
6,PBS,7,577.39
6,PBS,8,466.98
8,OP-I,1,25.424
8,OP-I,2,128.936
8,OP-I,3,152.544
8,OP-I,4,136.2
8,OP-I,5,123.488
8,OP-I,6,115.84
8,OP-I,7,108.6
8,OP-I,8,130.32
8,insulin(s.c.),1,383.72
8,insulin(s.c.),2,338.47
8,insulin(s.c.),3,293.22
8,insulin(s.c.),4,602.73
8,insulin(s.c.),5,602.73
8,insulin(s.c.),6,481.46
8,insulin(s.c.),7,501.37
8,insulin(s.c.),8,553.86
8,PEG-I,1,348.672
8,PEG-I,2,286.928
8,PEG-I,3,301.456
8,PEG-I,4,321.432
8,PEG-I,5,257.872
8,PEG-I,6,519.47
8,PEG-I,7,385.53
8,PEG-I,8,407.25
8,insulin(transd),1,363.2
8,insulin(transd),2,323.248
8,insulin(transd),3,292.376
8,insulin(transd),4,286.928
8,insulin(transd),5,348.672
8,insulin(transd),6,333.04
8,insulin(transd),7,488.7
8,insulin(transd),8,369.24
8,PBS,1,502.73
8,PBS,2,411.66
8,PBS,3,517.66
8,PBS,4,502.73
8,PBS,5,372.86
8,PBS,6,414.49
8,PBS,7,532.14
8,PBS,8,476.03
12,OP-I,1,156.176
12,OP-I,2,128.936
12,OP-I,3,223.368
12,OP-I,4,154.36
12,OP-I,5,172.52
12,OP-I,6,124.89
12,OP-I,7,115.84
12,OP-I,8,146.61
12,insulin(s.c.),1,490.51
12,insulin(s.c.),2,342.09
12,insulin(s.c.),3,305.89
12,insulin(s.c.),4,483.27
12,insulin(s.c.),5,231.68
12,insulin(s.c.),6,543.0
12,insulin(s.c.),7,490.51
12,insulin(s.c.),8,577.39
12,PEG-I,1,361.384
12,PEG-I,2,441.288
12,PEG-I,3,334.144
12,PEG-I,4,403.152
12,PEG-I,5,521.192
12,PEG-I,6,506.8
12,PEG-I,7,414.49
12,PEG-I,8,414.49
12,insulin(transd),1,301.456
12,insulin(transd),2,515.744
12,insulin(transd),3,314.168
12,insulin(transd),4,343.224
12,insulin(transd),5,454.0
12,insulin(transd),6,323.99
12,insulin(transd),7,495.94
12,insulin(transd),8,410.87
12,PBS,1,295.03
12,PBS,2,409.6
12,PBS,3,602.73
12,PBS,4,514.04
12,PBS,5,372.86
12,PBS,6,423.54
12,PBS,7,555.67
12,PBS,8,450.69
