time_h,dose,mouse_id,bgl_mg_dl
0,58 U/kg,1,544.81
0,58 U/kg,2,555.67
0,58 U/kg,3,450.69
0,58 U/kg,4,441.64
0,58 U/kg,5,465.17
0,58 U/kg,6,602.73
0,58 U/kg,7,418.11
0,58 U/kg,8,521.28
0,29 U/kg,1,597.3
0,29 U/kg,2,497.75
0,29 U/kg,3,515.85
0,29 U/kg,4,423.54
0,29 U/kg,5,510.42
0,29 U/kg,6,441.64
0,29 U/kg,7,530.33
0,29 U/kg,8,479.65000000000003
0.5,58 U/kg,1,407.25
0.5,58 U/kg,2,419.92
0.5,58 U/kg,3,340.28
0.5,58 U/kg,4,323.99
0.5,58 U/kg,5,318.56
0.5,58 U/kg,6,466.98
0.5,58 U/kg,7,360.19
0.5,58 U/kg,8,423.54
0.5,29 U/kg,1,425.35
0.5,29 U/kg,2,463.36
0.5,29 U/kg,3,456.12
0.5,29 U/kg,4,378.29
0.5,29 U/kg,5,414.49
0.5,29 U/kg,6,376.48
0.5,29 U/kg,7,389.15
0.5,29 U/kg,8,398.20000000000005
1,58 U/kg,1,289.6
1,58 U/kg,2,318.56
1,58 U/kg,3,304.08
1,58 U/kg,4,300.46
1,58 U/kg,5,242.54
1,58 U/kg,6,342.09
1,58 U/kg,7,302.27
1,58 U/kg,8,376.48
1,29 U/kg,1,407.25
1,29 U/kg,2,349.33
1,29 U/kg,3,416.3
1,29 U/kg,4,343.9
1,29 U/kg,5,398.2
1,29 U/kg,6,327.61
1,29 U/kg,7,416.3
1,29 U/kg,8,362.0
2,58 U/kg,1,233.49
2,58 U/kg,2,242.54
2,58 U/kg,3,206.34
2,58 U/kg,4,213.58
2,58 U/kg,5,173.76
2,58 U/kg,6,262.45
2,58 U/kg,7,238.92
2,58 U/kg,8,325.8
2,29 U/kg,1,291.41
2,29 U/kg,2,318.56
2,29 U/kg,3,354.76
2,29 U/kg,4,320.37
2,29 U/kg,5,325.8
2,29 U/kg,6,320.37
2,29 U/kg,7,358.38
2,29 U/kg,8,340.28000000000003
4,58 U/kg,1,164.71
4,58 U/kg,2,170.14
4,58 U/kg,3,159.28
4,58 U/kg,4,126.7
4,58 U/kg,5,142.99
4,58 U/kg,6,173.76
4,58 U/kg,7,179.19
4,58 U/kg,8,302.27
4,29 U/kg,1,233.49
4,29 U/kg,2,264.26
4,29 U/kg,3,267.88
4,29 U/kg,4,271.5
4,29 U/kg,5,273.31
4,29 U/kg,6,219.01
4,29 U/kg,7,226.25
4,29 U/kg,8,235.3
6,58 U/kg,1,124.89
6,58 U/kg,2,141.18
6,58 U/kg,3,119.46
6,58 U/kg,4,86.88
6,58 U/kg,5,76.02
6,58 U/kg,6,81.45
6,58 U/kg,7,108.6
6,58 U/kg,8,200.91
6,29 U/kg,1,179.19
6,29 U/kg,2,164.71
6,29 U/kg,3,173.76
6,29 U/kg,4,162.9
6,29 U/kg,5,179.19
6,29 U/kg,6,142.99
6,29 U/kg,7,146.61
6,29 U/kg,8,159.28000000000003
8,58 U/kg,1,190.05
8,58 U/kg,2,155.66
8,58 U/kg,3,104.98
8,58 U/kg,4,142.99
8,58 U/kg,5,119.46
8,58 U/kg,6,133.94
8,58 U/kg,7,135.75
8,58 U/kg,8,224.44
8,29 U/kg,1,238.92
8,29 U/kg,2,240.73
8,29 U/kg,3,238.92
8,29 U/kg,4,244.35
8,29 U/kg,5,251.59
8,29 U/kg,6,193.67
8,29 U/kg,7,213.58
8,29 U/kg,8,195.48000000000002
12,58 U/kg,1,222.63
12,58 U/kg,2,215.39
12,58 U/kg,3,237.11
12,58 U/kg,4,235.3
12,58 U/kg,5,240.73
12,58 U/kg,6,255.21
12,58 U/kg,7,244.35
12,58 U/kg,8,255.21
12,29 U/kg,1,235.3
12,29 U/kg,2,323.99
12,29 U/kg,3,284.17
12,29 U/kg,4,262.45
12,29 U/kg,5,266.07
12,29 U/kg,6,242.54
12,29 U/kg,7,267.88
12,29 U/kg,8,307.70000000000005
