subfigura,prueba,medida,grupo,raton,valor
c,Campo abierto,Movimiento total,Control,Ctrl1,15.2875
c,Campo abierto,Movimiento total,Control,Ctrl2,5.48284
c,Campo abierto,Movimiento total,Control,Ctrl3,14.2357
c,Campo abierto,Movimiento total,Control,Ctrl4,17.2845
c,Campo abierto,Movimiento total,Control,Ctrl5,12.2964
c,Campo abierto,Movimiento total,Control,Ctrl6,19.0419
c,Campo abierto,Movimiento total,Control,Ctrl7,13.2552
c,Campo abierto,Movimiento total,Control,Ctrl8,14.3849
c,Campo abierto,Movimiento total,Control,Ctrl9,9.78226
c,Campo abierto,Movimiento total,Control,Ctrl10,17.0483
c,Campo abierto,Movimiento total,Semaglutida,Sema1,31.5137
c,Campo abierto,Movimiento total,Semaglutida,Sema2,21.3684
c,Campo abierto,Movimiento total,Semaglutida,Sema3,25.4551
c,Campo abierto,Movimiento total,Semaglutida,Sema4,16.0825
c,Campo abierto,Movimiento total,Semaglutida,Sema5,17.7692
c,Campo abierto,Movimiento total,Semaglutida,Sema6,16.0034
c,Campo abierto,Movimiento total,Semaglutida,Sema7,15.0998
c,Campo abierto,Movimiento total,Semaglutida,Sema8,21.6327
c,Campo abierto,Movimiento total,Semaglutida,Sema9,15.1867
c,Campo abierto,Movimiento total,Semaglutida,Sema10,27.1648
d,Campo abierto,Tiempo en el centro,Control,Ctrl1,20.86362
d,Campo abierto,Tiempo en el centro,Control,Ctrl2,12.198150000000002
d,Campo abierto,Tiempo en el centro,Control,Ctrl3,257.16150000000005
d,Campo abierto,Tiempo en el centro,Control,Ctrl4,176.1741
d,Campo abierto,Tiempo en el centro,Control,Ctrl5,19.99701
d,Campo abierto,Tiempo en el centro,Control,Ctrl6,59.85783000000001
d,Campo abierto,Tiempo en el centro,Control,Ctrl7,16.530839999999998
d,Campo abierto,Tiempo en el centro,Control,Ctrl8,36.9279
d,Campo abierto,Tiempo en el centro,Control,Ctrl9,97.452
d,Campo abierto,Tiempo en el centro,Control,Ctrl10,111.05010000000001
d,Campo abierto,Tiempo en el centro,Semaglutida,Sema1,292.15709999999996
d,Campo abierto,Tiempo en el centro,Semaglutida,Sema2,375.9444
d,Campo abierto,Tiempo en el centro,Semaglutida,Sema3,170.9082
d,Campo abierto,Tiempo en el centro,Semaglutida,Sema4,91.1196
d,Campo abierto,Tiempo en el centro,Semaglutida,Sema5,59.99112
d,Campo abierto,Tiempo en el centro,Semaglutida,Sema6,156.1104
d,Campo abierto,Tiempo en el centro,Semaglutida,Sema7,42.527069999999995
d,Campo abierto,Tiempo en el centro,Semaglutida,Sema8,115.31610000000002
d,Campo abierto,Tiempo en el centro,Semaglutida,Sema9,205.8363
d,Campo abierto,Tiempo en el centro,Semaglutida,Sema10,347.94809999999995
e,Cruz elevada,Movimiento total,Control,Ctrl1,5.81586
e,Cruz elevada,Movimiento total,Control,Ctrl2,2.79273
e,Cruz elevada,Movimiento total,Control,Ctrl3,6.76285
e,Cruz elevada,Movimiento total,Control,Ctrl4,3.21916
e,Cruz elevada,Movimiento total,Control,Ctrl5,5.39304
e,Cruz elevada,Movimiento total,Control,Ctrl6,5.7577
e,Cruz elevada,Movimiento total,Control,Ctrl7,5.22112
e,Cruz elevada,Movimiento total,Control,Ctrl8,5.11
e,Cruz elevada,Movimiento total,Control,Ctrl9,7.14075
e,Cruz elevada,Movimiento total,Control,Ctrl10,6.37463
e,Cruz elevada,Movimiento total,Semaglutida,Sema1,7.36222
e,Cruz elevada,Movimiento total,Semaglutida,Sema2,6.81046
e,Cruz elevada,Movimiento total,Semaglutida,Sema3,9.16864
e,Cruz elevada,Movimiento total,Semaglutida,Sema4,14.28
e,Cruz elevada,Movimiento total,Semaglutida,Sema5,9.99101
e,Cruz elevada,Movimiento total,Semaglutida,Sema6,8.25978
e,Cruz elevada,Movimiento total,Semaglutida,Sema7,4.27745
e,Cruz elevada,Movimiento total,Semaglutida,Sema8,3.8257
e,Cruz elevada,Movimiento total,Semaglutida,Sema9,7.02783
