cell_type,interaction_count
OPCs,388
Excitatory neurons,325
Pericytes,278
Oligodendrocytes,256
Myeloid,241
Smooth muscle cells,235
Inhibitory neurons,182
Endothelial cells,155
Astrocytes,128
B cells,122
T cells,108
NPCs,34
