sample_id,potential_source_area,site,sr87_sr86,epsilon_nd,reference
SA7,South America,Argentina,0.704604,2.71,"Delmonte et al., 2004"
El Calafate (topsoil),South America,Patagonia,0.7053904455522945,2.861992673883762,"Gili et al., 2017"
AR-80/A ~12kyr,South America,Patagonian plateau (loess),0.706599,3.7,"Grousset et al., 1992"
ADTW38,South America,Trelew (TW),0.7061464,4.7,"Gili et al., 2017"
Rio Negro (topsoil),South America,Patagonia,0.7053431893591594,4.794599845967529,"Gili et al., 2017"
AR17-52 ~3.5Myr,South America,Mar del Plata (loess),0.706297,5.7,"Grousset et al., 1992"
AR-21/B~12kyr,South America,Pampa (loess),0.70604,5.9,"Grousset et al., 1992"
AR12-3 ~18kyr <5um,South America,Pampa (loess),0.708749,8.3,"Grousset et al., 1992"
SA25,South America,Argentina,0.708749,8.31,"Delmonte et al., 2004"
Fitz Roy (topsoil),South America,Patagonia,0.7075623212000199,,"Gili et al., 2017"
Laguna Grande RP 288 (topsoil),South America,Patagonia,0.7075249,,"Gili et al., 2017"
,Southern Victoria Land,Mt. Kring,0.72814,-11.93824882275707,"Delmonte et al., 2013"
EOL_2,Southern Victoria Land,Ricker Hills,0.721603,-11.918741880235784,"Delmonte et al., 2010"
ODF_2,Southern Victoria Land,Ricker Hills,0.723194,-9.948540685630336,"Delmonte et al., 2010"
EOL_1,Southern Victoria Land,Ricker Hills,0.722422,-9.480374065129471,"Delmonte et al., 2010"
ODF_1,Southern Victoria Land,Ricker Hills,0.720508,-7.646721468171913,"Delmonte et al., 2010"
REG_1,Southern Victoria Land,The Mitten,0.709806,-5.598492503482433,"Delmonte et al., 2010"
YDF_2,Southern Victoria Land,Griffin Nunatak,0.721311,-4.09645792937785,"Delmonte et al., 2010"
25723,Erebus,Erebus bombs,0.703019,4.8,"Sims et al., 2008"
78325,Erebus,Erebus bombs,0.703031,4.9,"Sims et al., 2008"
Dec-05,Erebus,Erebus bombs,0.70301,4.9,"Sims et al., 2008"
25721,Erebus,Erebus bombs,0.703019,5.1,"Sims et al., 2008"
84500,Erebus,Erebus bombs,0.703109,5.1,"Sims et al., 2008"
77016,Erebus,Erebus bombs,0.703039,5.2,"Sims et al., 2008"
81401,Erebus,Erebus bombs,0.703024,5.2,"Sims et al., 2008"
85009,Erebus,Erebus bombs,0.703061,5.2,"Sims et al., 2008"
85010,Erebus,Erebus bombs,0.703036,5.2,"Sims et al., 2008"
93102,Erebus,Erebus bombs,0.703022,5.2,"Sims et al., 2008"
Er96,Erebus,Erebus bombs,0.703026,5.2,"Sims et al., 2008"
Er2000,Erebus,Erebus bombs,0.703043,5.2,"Sims et al., 2008"
Er2001,Erebus,Erebus bombs,0.703018,5.2,"Sims et al., 2008"
Jan 2004,Erebus,Erebus bombs,0.703051,5.2,"Sims et al., 2008"
25724,Erebus,Erebus bombs,0.703058,5.3,"Sims et al., 2008"
83220,Erebus,Erebus bombs,0.703039,5.3,"Sims et al., 2008"
84505,Erebus,Erebus bombs,0.703079,5.3,"Sims et al., 2008"
Er92KS,Erebus,Erebus bombs,0.703035,5.3,"Sims et al., 2008"
Er97,Erebus,Erebus bombs,0.703033,5.3,"Sims et al., 2008"
Er99,Erebus,Erebus bombs,0.703042,5.3,"Sims et al., 2008"
84501,Erebus,Erebus bombs,0.703102,5.4,"Sims et al., 2008"
79302,Erebus,Erebus bombs,0.703033,5.6,"Sims et al., 2008"
80300,Erebus,Erebus bombs,0.703038,5.6,"Sims et al., 2008"
86022,Erebus,Erebus bombs,0.703022,5.6,"Sims et al., 2008"
89001,Erebus,Erebus bombs,0.703021,5.7,"Sims et al., 2008"
91101,Erebus,Erebus bombs,0.703026,5.7,"Sims et al., 2008"
MM-01A SP-02,Erebus,Erebus lavas,0.703226,3.9,"Sims et al., 2008"
E87085,Erebus,Erebus lavas,0.703088,4.6,"Sims et al., 2008"
DVDP 2–76.38,Erebus,Erebus lavas,0.703081,4.7,"Sims et al., 2008"
"EL 83432, g",Erebus,Erebus lavas,0.702922,4.8,"Sims et al., 2008"
DVDP 2–61.23,Erebus,Erebus lavas,0.70304,4.8,"Sims et al., 2008"
MM-01A,Erebus,Erebus lavas,0.703314,4.8,"Sims et al., 2008"
E87083,Erebus,Erebus lavas,0.703005,5.2,"Sims et al., 2008"
E87051,Erebus,Erebus lavas,0.703008,5.2,"Sims et al., 2008"
DVDP 2–45.86,Erebus,Erebus lavas,0.703021,5.2,"Sims et al., 2008"
MM-02A GPS-02,Erebus,Erebus lavas,0.703314,5.2,"Sims et al., 2008"
E87020,Erebus,Erebus lavas,0.703085,5.3,"Sims et al., 2008"
E87004,Erebus,Erebus lavas,0.703088,5.3,"Sims et al., 2008"
"AW82015, g",Erebus,Erebus lavas,0.703034,5.3,"Sims et al., 2008"
"Ice-station, g",Erebus,Erebus lavas,0.704251,5.4,"Sims et al., 2008"
E87066,Erebus,Erebus lavas,0.703077,5.6,"Sims et al., 2008"
E87040,Erebus,Erebus lavas,0.703017,5.6,"Sims et al., 2008"
"EL 83437, g",Erebus,Erebus lavas,0.702969,5.6,"Sims et al., 2008"
E83452,Erebus,Erebus lavas,0.703017,5.7,"Sims et al., 2008"
E87034,Erebus,Erebus lavas,0.703025,5.7,"Sims et al., 2008"
DVDP 2–105.53,Erebus,Erebus lavas,0.702991,5.7,"Sims et al., 2008"
