age_ka,depth_m,dD_per_mil
127.891151045603,75.67,-302.60056896771073
127.983017396697,77.61,-294.1254659877435
128.041596279005,78.83,-294.0936629217327
128.077542094017,79.57,-289.5971838873344
128.102415891895,80.07,-290.7756965374791
128.24385281136,83.03,-283.06144855062104
128.956515428842,88.73,-295.31
129.860493801098,93.34,-299.2943867624522
130.730101629767,97.9,-281.10235019374085
130.748738114848,98,-295.1672068338078
131.621295849562,102.72999999999999,-297.18
132.271412801287,106.36,-321.7042580790497
132.728215540736,108.97,-296.2941893761729
133.211493449985,111.80000000000001,-313.76738072973166
133.428750266386,113.12,-316.93676884818103
133.480659206015,113.43,-307.3264037472845
133.480659206015,113.43,-309.98688412672044
133.585744328786,114.06,-306.2874349247859
133.700807627539,114.75999999999999,-303.643909563553
133.700807627539,114.75999999999999,-304.6143932600688
134.444524014337,119.36999999999999,-299.7375783257257
134.68382057474,120.865,-315.66487753556606
135.088415833771,123.4,-313.13
135.532562380565,126.185,-339.17
135.804662515548,127.79499999999999,-331.51
136.249662653477,128.53,-330.73
136.854476516581,129.48000000000002,-322.32
137.218181920807,130.03499999999997,-336.0110573552619
137.324395073448,130.195,-335.3785584199838
137.580685439866,130.57999999999998,-336.4339991546461
137.824290446031,130.94,-336.1746841600011
138.138985794067,131.39999999999998,-341.5246108576411
138.197919286808,131.48499999999999,-339.924704322414
138.556309705238,132,-333.1643337055608
138.702388328299,132.20999999999998,-343.0269154391641
138.762174970232,132.295,-332.29835558691224
138.868320789221,132.445,-319.96319102614
139.664856232797,133.55,-339.0479563919078
139.664856232797,133.55,-342.12544893985654
140.129591742103,134.18499999999997,-325.0078723979802
140.324910323211,134.45,-337.92099362578404
140.562949301422,134.77499999999998,-339.92566120431314
140.772481661045,135.055,-346.7836337748705
140.85383489813,135.165,-338.4673731901469
140.919692479092,135.255,-346.38174337726565
141.015095676531,135.385,-342.7656866807208
141.581790078464,136.135,-343.95700464504955
142.330837973951,137.125,-340.37730946066904
142.879870091787,137.855,-336.4378266822423
142.998959961183,138.015,-346.46020769298843
143.064152400634,138.1,-358.50160951074946
143.573107051218,138.78499999999997,-341.4222244944417
143.969593364674,139.31499999999997,-315.82850434030513
144.057295226752,139.43499999999995,-344.1598636076501
144.722046668829,140.33999999999997,-324.1376242797533
144.779367487888,140.42,-343.6699400753318
145.360126903388,141.23,-337.34650857392563
145.418919308413,141.31,-338.3895161258351
145.948922647237,142.05999999999995,-343.3704360409263
146.150430583067,142.34499999999994,-341.4978181644674
146.814574322371,143.29499999999996,-339.51324510581867
147.769119113761,144.67000000000002,-332.11524837304046
148.185838215085,145.28,-339.885797773954
