age_ka,depth_m,dust_conc_ng_g
119.315780917515,29.92,74.3989
120.129132139532,33.58,93.693
120.988769256613,37.4,120.4368
121.635759693496,39.85,87.1823
122.92540356539,43.97,116.4673
123.654363754164,46.57,94.4307
124.551199797848,50.82,66.286
125.134302761766,53.59,124.2843
126.134872120834,58.95,83.7613
126.663335920177,63.87,102.8813
127.715051012933,73.38,90.0781
127.891151045603,75.67,170.4582
128.261827275766,83.405,165.4453
128.977440873006,88.84,24.4095
129.539609381213,91.71,21.6189
130.00080441462,94.07,34.2754
130.460142062593,96.465,34.265
130.833467779195,98.455,21.2627
131.684609553069,103.08,21.1848
132.054299542364,105.145,22.5708
132.487677176665,107.58,35.0401
132.93064641531,110.16,48.9288
133.320383002663,112.47,137.804
133.585744328786,114.06,223.0716
134.444524014337,119.37,278.4075
135.088415833771,123.4,139.4388
135.804662515548,127.795,134.5592
136.249662653477,128.53,157.3429
137.324395073448,130.195,949.4487
137.885902503879,131.03,643.1452
138.702388328299,132.21,425.0404
139.433537871745,133.23,264.5985
140.324910323211,134.45,650.4287
140.562949301422,134.775,469.8222
141.581790078464,136.135,511.2896
142.998959961183,138.015,1008.8
143.064152400634,138.1,285.8329
143.969593364674,139.315,435.5334
145.306195379286,141.155,200.9771
145.984063725548,142.11,699.5466
146.814574322371,143.295,398.7558
