tejido,material,propiedad,replica,valor
liver,tejido_nativo,resistencia_mpa,1,0.036
liver,tejido_nativo,resistencia_mpa,2,0.0282
liver,tejido_nativo,resistencia_mpa,3,0.0288
muscle,tuneglue,resistencia_mpa,1,0.3456
muscle,tuneglue,resistencia_mpa,2,0.3407
muscle,tuneglue,resistencia_mpa,3,0.3778
muscle,tejido_nativo,resistencia_mpa,1,0.0705
muscle,tejido_nativo,resistencia_mpa,2,0.049
muscle,tejido_nativo,resistencia_mpa,3,0.023
intestine,tuneglue,resistencia_mpa,1,3.77
intestine,tuneglue,resistencia_mpa,2,3.586
intestine,tuneglue,resistencia_mpa,3,3.428
intestine,tejido_nativo,resistencia_mpa,1,0.766
intestine,tejido_nativo,resistencia_mpa,2,0.772
intestine,tejido_nativo,resistencia_mpa,3,0.713
skin,tuneglue,resistencia_mpa,1,9.239
skin,tuneglue,resistencia_mpa,2,9.15
skin,tuneglue,resistencia_mpa,3,8.147
skin,tejido_nativo,resistencia_mpa,1,17.43
skin,tejido_nativo,resistencia_mpa,2,10.08
skin,tejido_nativo,resistencia_mpa,3,5.74
bone,tuneglue,resistencia_mpa,1,14.813
bone,tuneglue,resistencia_mpa,2,12.6
bone,tuneglue,resistencia_mpa,3,11.38
bone,tejido_nativo,resistencia_mpa,1,88
bone,tejido_nativo,resistencia_mpa,2,174
bone,tejido_nativo,resistencia_mpa,3,126
