species,taxonomic_class,country,iucn_red_list,adult_body_mass_g,gen_length_y,price_cpi_eur
Acanthis cabaret,Aves,Slovak Republic,NE,13.0,,1096.24540064548
Acanthis flammea,Aves,Spain,LC,13.0,,38.5550475372294
Acanthis flammea,Aves,Croatia,LC,13.0,,250.423223466157
Acanthis flammea,Aves,Slovak Republic,LC,13.0,,548.122700322742
Acanthis flammea,Aves,Finland,LC,13.0,,17.9438888928705
Acanthis flammea,Aves,Hungary,LC,13.0,,41.1128005114908
Acanthis hornemanni,Aves,Slovak Republic,NE,143.0,,1096.24540064548
Acanthis hornemanni,Aves,Finland,NE,143.0,,265.991764764903
Acanthis hornemanni,Aves,Hungary,NE,143.0,,41.1128005114908
Accipiter badius,Aves,Moldova,LC,140.0,,267.421644974377
Accipiter brevipes,Aves,Hungary,LC,2035.0,,1027.82001278727
Accipiter brevipes,Aves,Croatia,LC,2035.0,,6260.58058665393
Accipiter brevipes,Aves,Armenia,LC,2035.0,,57.0513363258883
Accipiter brevipes,Aves,Serbia,LC,2035.0,,1643.41264006223
Accipiter brevipes,Aves,Slovak Republic,LC,2035.0,,2192.49080129097
Accipiter brevipes,Aves,Russian Federation,LC,2035.0,,267.486803204951
Accipiter brevipes,Aves,Ukraine,LC,2035.0,,9316.01145196545
Accipiter gentilis,Aves,Spain,LC,98875.0,,3762.81079629809
Accipiter gentilis,Aves,Hungary,LC,98875.0,,205.564002557454
Accipiter gentilis,Aves,Spain,LC,98875.0,,1542.20190148918
Accipiter gentilis,Aves,Spain,LC,98875.0,,18776.7419366903
Accipiter gentilis,Aves,Spain,LC,98875.0,,6962.09225908427
Accipiter gentilis,Aves,Spain,LC,98875.0,,3000.0
Accipiter gentilis,Aves,Spain,LC,98875.0,,312.945698944839
Accipiter gentilis,Aves,Croatia,LC,98875.0,,375.634835199236
Accipiter gentilis,Aves,Spain,LC,98875.0,,6512.50147072281
Accipiter gentilis,Aves,Finland,LC,98875.0,,799.030817170761
Accipiter gentilis,Aves,Spain,LC,98875.0,,181.927542278424
Accipiter gentilis,Aves,Spain,LC,98875.0,,1908.8976619314
Accipiter gentilis,Aves,Spain,LC,98875.0,,1571.25370824582
Accipiter gentilis,Aves,Spain,LC,98875.0,,358.883180409454
Accipiter gentilis,Aves,Armenia,LC,98875.0,,190.171121086294
Accipiter gentilis,Aves,Slovak Republic,LC,98875.0,,4384.98160258193
Accipiter gentilis,Aves,North Macedonia,LC,98875.0,,287.360878206611
Accipiter gentilis,Aves,Moldova,LC,98875.0,,534.843289948754
Accipiter gentilis,Aves,Kosovo,LC,98875.0,,2849.76936177034
Accipiter gentilis,Aves,Serbia,LC,98875.0,,238.395837685098
Accipiter nisus,Aves,Hungary,LC,212.0,,205.564002557454
Accipiter nisus,Aves,Spain,LC,212.0,,358.883180409454
Accipiter nisus,Aves,Spain,LC,212.0,,2784.83690363371
Accipiter nisus,Aves,Spain,LC,212.0,,181.927542278424
Accipiter nisus,Aves,Spain,LC,212.0,,312.945698944839
Accipiter nisus,Aves,Spain,LC,212.0,,3010.24863703847
Accipiter nisus,Aves,Spain,LC,212.0,,1542.20190148918
Accipiter nisus,Aves,Croatia,LC,212.0,,375.634835199236
Accipiter nisus,Aves,Spain,LC,212.0,,954.4488309657
Accipiter nisus,Aves,Spain,LC,212.0,,6258.91397889678
Accipiter nisus,Aves,Finland,LC,212.0,,533.039052405858
Accipiter nisus,Aves,Spain,LC,212.0,,5267.93511481733
Accipiter nisus,Aves,Spain,LC,212.0,,1500.0
Accipiter nisus,Aves,Spain,LC,212.0,,2605.00058828913
