generacion_anios,n,median_eur,p25_eur,p75_eur
<1,15,104.32,40.94,242.69
1-2,174,109.62,38.8,376.55
2-5,543,127.26,75.26,548.12
5-10,1114,448.05,104.32,1415.55
10-20,314,822.65,104.89,3312.84
>20,86,360.82,82.23,801.08
