iucn_category,n,median_eur,p25_eur,p75_eur
CR,153,358.88,82.23,2192.49
EN,242,443.28,82.23,2674.87
VU,513,286.33,82.23,1096.25
NT,607,313.03,82.23,918.87
LC,6705,210.59,79.75,751.27
DD,64,82.23,22.8,308.39
NE,1443,54.81,8.22,219.25
