class,n,median_eur,p25_eur,p75_eur,mean_eur,max_eur
Mammalia,1700,511.67,105.94,1762.7,2025.9,190171.12
Testudines,70,500.0,225.76,752.56,921.1,6260.58
Arachnida,55,328.87,8.22,328.87,257.51,1096.25
Aves,5118,267.49,82.23,891.41,1047.19,62589.14
Petromyzonti,29,250.28,17.55,561.63,381.23,1096.25
Branchiopoda,6,219.25,109.62,328.87,218.36,328.87
Clitellata,10,205.55,32.11,328.87,242.85,918.87
Amphibia,245,82.23,31.81,156.51,161.59,2086.3
Bivalvia,50,82.23,12.02,279.81,456.82,6258.91
Gastropoda,145,82.23,9.51,211.89,149.09,3178.33
Squamata,322,82.23,76.62,205.53,262.84,7525.62
Chilopoda,5,54.81,41.11,54.81,42.65,54.81
Diplopoda,15,54.81,54.81,54.81,47.6,54.81
Malacostraca,47,50.0,12.36,161.3,232.14,5297.22
Actinopterygii,763,48.93,12.82,175.91,515.76,18008.62
Insecta,1374,41.11,8.22,219.25,181.47,5297.22
