gen,especie,estadio,expresion_media,pct_celulas,regenerativa,especie_es,regenerativa_es
EGLN1,axolotl,Axolotl_ST50,0.102127950969174,10.5325443786982,regenerative,Ajolote,Sí
EGLN3,axolotl,Axolotl_ST50,0.0376961984768921,3.47140039447732,regenerative,Ajolote,Sí
HIF1A,axolotl,Axolotl_ST50,0.425319065781324,34.8717948717949,regenerative,Ajolote,Sí
HIF1AN,axolotl,Axolotl_ST50,0.0679941286609386,7.25838264299803,regenerative,Ajolote,Sí
VHL,axolotl,Axolotl_ST50,0.0923143476915798,9.54635108481262,regenerative,Ajolote,Sí
EGLN1,axolotl,Axolotl_ST52,0.136250363603496,20.0061771291792,regenerative,Ajolote,Sí
EGLN3,axolotl,Axolotl_ST52,0.0279281163386746,4.21589066481353,regenerative,Ajolote,Sí
HIF1A,axolotl,Axolotl_ST52,0.530965840343471,54.4900007721411,regenerative,Ajolote,Sí
HIF1AN,axolotl,Axolotl_ST52,0.08016389169744,12.2152729518956,regenerative,Ajolote,Sí
VHL,axolotl,Axolotl_ST52,0.0889508648142399,14.4313180449386,regenerative,Ajolote,Sí
EGLN1,axolotl,Axolotl_ST54,0.141416419377742,12.7235142118863,regenerative,Ajolote,Sí
EGLN3,axolotl,Axolotl_ST54,0.0151010202498689,1.30232558139535,regenerative,Ajolote,Sí
HIF1A,axolotl,Axolotl_ST54,0.461727096618556,32.8372093023256,regenerative,Ajolote,Sí
HIF1AN,axolotl,Axolotl_ST54,0.0741444325364072,6.2015503875969,regenerative,Ajolote,Sí
VHL,axolotl,Axolotl_ST54,0.095917932880308,8.68217054263566,regenerative,Ajolote,Sí
EGLN3,chick,Chicken_HH25,0.0072880850640024,0.178595960983652,non_regenerative,Pollo,No
HIF1A,chick,Chicken_HH25,0.74740678000389,13.7656271465861,non_regenerative,Pollo,No
HIF1AN,chick,Chicken_HH25,0.222513883446223,4.40994642121171,non_regenerative,Pollo,No
EGLN1,human,Human_CS13,0.137993432926096,19.4134078212291,non_regenerative,Humano,No
EGLN2,human,Human_CS13,0.326361995890036,39.4852354349561,non_regenerative,Humano,No
EGLN3,human,Human_CS13,0.0197446152032315,3.29209896249002,non_regenerative,Humano,No
HIF1A,human,Human_CS13,0.524829305112133,51.5762170790104,non_regenerative,Humano,No
VHL,human,Human_CS13,0.125976346595453,17.3982442138867,non_regenerative,Humano,No
HIF1AN,human,Human_CS13,0.164030266023888,23.0646448523543,non_regenerative,Humano,No
EGLN1,mouse,Mouse_E105,0.803116995473934,74.1006049028972,non_regenerative,Ratón,No
EGLN2,mouse,Mouse_E105,0.694852551338589,71.362623368354,non_regenerative,Ratón,No
EGLN3,mouse,Mouse_E105,0.0207635496284591,3.51798790194206,non_regenerative,Ratón,No
HIF1A,mouse,Mouse_E105,0.661126152002626,69.4046482012098,non_regenerative,Ratón,No
VHL,mouse,Mouse_E105,0.165153569060804,27.3320598535498,non_regenerative,Ratón,No
HIF1AN,mouse,Mouse_E105,0.230133789848537,35.5300859598854,non_regenerative,Ratón,No
EGLN1,mouse,Mouse_E115,0.626606616057931,57.6317799847212,non_regenerative,Ratón,No
EGLN2,mouse,Mouse_E115,0.679335868632191,61.9556913674561,non_regenerative,Ratón,No
EGLN3,mouse,Mouse_E115,0.0276534323688593,3.88082505729565,non_regenerative,Ratón,No
HIF1A,mouse,Mouse_E115,0.71084732424046,62.5210084033613,non_regenerative,Ratón,No
VHL,mouse,Mouse_E115,0.159866576926015,22.2307104660046,non_regenerative,Ratón,No
HIF1AN,mouse,Mouse_E115,0.204116028569776,28.2658517952636,non_regenerative,Ratón,No
EGLN1,mouse,Mouse_E125,0.750719460854766,52.184336707512,non_regenerative,Ratón,No
EGLN2,mouse,Mouse_E125,0.706190296633157,51.7181672882259,non_regenerative,Ratón,No
EGLN3,mouse,Mouse_E125,0.0263252770212271,2.75705913692062,non_regenerative,Ratón,No
HIF1A,mouse,Mouse_E125,0.761250405581321,53.2099094299414,non_regenerative,Ratón,No
VHL,mouse,Mouse_E125,0.171993224367989,17.0085242408098,non_regenerative,Ratón,No
HIF1AN,mouse,Mouse_E125,0.203482048233284,19.9120937666489,non_regenerative,Ratón,No
EGLN1,mouse,Mouse_E95,0.307155171894266,37.5266958201973,non_regenerative,Ratón,No
EGLN2,mouse,Mouse_E95,0.902030720283142,71.9515915793756,non_regenerative,Ratón,No
EGLN3,mouse,Mouse_E95,0.0340172967302299,4.78999288111461,non_regenerative,Ratón,No
HIF1A,mouse,Mouse_E95,0.743848878268959,65.2801789891183,non_regenerative,Ratón,No
VHL,mouse,Mouse_E95,0.154614458898053,22.2719414217431,non_regenerative,Ratón,No
HIF1AN,mouse,Mouse_E95,0.25285150471845,32.6756839214889,non_regenerative,Ratón,No
HIF1A,xenopus,Frog_NF50,0.85623640333496,57.7756653992395,regenerative,Xenopus,Sí
EGLN1,xenopus,Frog_NF50,0.248260862521719,26.425855513308,regenerative,Xenopus,Sí
EGLN2,xenopus,Frog_NF50,0.132649995461273,14.4296577946768,regenerative,Xenopus,Sí
EGLN3,xenopus,Frog_NF50,0.0304384473778728,3.19391634980989,regenerative,Xenopus,Sí
VHL,xenopus,Frog_NF50,0.006424909363132,0.988593155893536,regenerative,Xenopus,Sí
HIF1A,xenopus,Frog_NF51,0.948062507517113,64.2832167832168,regenerative,Xenopus,Sí
EGLN1,xenopus,Frog_NF51,0.232194113667059,24.5804195804196,regenerative,Xenopus,Sí
EGLN2,xenopus,Frog_NF51,0.112732860529775,13.0244755244755,regenerative,Xenopus,Sí
EGLN3,xenopus,Frog_NF51,0.0333772212245377,3.35664335664336,regenerative,Xenopus,Sí
VHL,xenopus,Frog_NF51,0.0089878744747855,0.751748251748252,regenerative,Xenopus,Sí
HIF1A,xenopus,Frog_NF52,0.937802403828611,60.1174934725849,regenerative,Xenopus,Sí
EGLN1,xenopus,Frog_NF52,0.254426499986536,24.7878590078329,regenerative,Xenopus,Sí
EGLN2,xenopus,Frog_NF52,0.103741070693516,11.6840731070496,regenerative,Xenopus,Sí
EGLN3,xenopus,Frog_NF52,0.0293312931768411,3.81853785900783,regenerative,Xenopus,Sí
VHL,xenopus,Frog_NF52,0.0052809477337168,0.522193211488251,regenerative,Xenopus,Sí
HIF1A,xenopus,Frog_NF54,0.899760320115093,53.0543530543531,regenerative,Xenopus,Sí
EGLN1,xenopus,Frog_NF54,0.199346241684499,19.5767195767196,regenerative,Xenopus,Sí
EGLN2,xenopus,Frog_NF54,0.0845614016918747,9.33140933140933,regenerative,Xenopus,Sí
HIF1AN,xenopus,Frog_NF54,0.047314884361898,5.14670514670515,regenerative,Xenopus,Sí
EGLN3,xenopus,Frog_NF54,0.0432375012024846,4.18470418470418,regenerative,Xenopus,Sí
