gen,especie_es,regenerativa_es,pct_media,exp_media,n_estadios
EGLN1,Ajolote,Sí,14.420745239921231,0.12659824465013733,3
EGLN1,Humano,No,19.4134078212291,0.137993432926096,1
EGLN1,Ratón,No,55.360854353831925,0.6218995610702243,4
EGLN1,Xenopus,Sí,23.842713419570025,0.23355692946495324,4
EGLN2,Humano,No,39.4852354349561,0.326361995890036,1
EGLN2,Ratón,No,64.2470184008529,0.7456023592217698,4
EGLN2,Xenopus,Sí,12.117403939402807,0.10842133209410967,4
EGLN3,Ajolote,Sí,2.9965388802287336,0.02690844502181187,3
EGLN3,Humano,No,3.29209896249002,0.0197446152032315,1
EGLN3,Pollo,No,0.178595960983652,0.0072880850640024,1
EGLN3,Ratón,No,3.736466244318235,0.02718988893719385,4
EGLN3,Xenopus,Sí,3.638450437541315,0.03409611574543405,4
HIF1A,Ajolote,Sí,40.73300164875386,0.472670667581117,3
HIF1A,Humano,No,51.5762170790104,0.524829305112133,1
HIF1A,Pollo,No,13.7656271465861,0.74740678000389,1
HIF1A,Ratón,No,62.6039362559077,0.7192681900233415,4
HIF1A,Xenopus,Sí,58.807682177348575,0.9104654086989442,4
HIF1AN,Ajolote,Sí,8.558401994163509,0.07410081763159526,3
HIF1AN,Humano,No,23.0646448523543,0.164030266023888,1
HIF1AN,Pollo,No,4.40994642121171,0.222513883446223,1
HIF1AN,Ratón,No,29.0959288608217,0.22264584284251177,4
HIF1AN,Xenopus,Sí,5.14670514670515,0.047314884361898,1
VHL,Ajolote,Sí,10.88661322412896,0.0923943817953759,3
VHL,Humano,No,17.3982442138867,0.125976346595453,1
VHL,Ratón,No,22.210808995526826,0.16290695731321525,4
VHL,Xenopus,Sí,0.7541782063766798,0.006897910523878101,3
