fire_name,state,year,n_treatments
DIXIE,CA,2021,3411
AUGUST COMPLEX,CA,2020,2733
CALDOR,CA,2021,1803
CREEK,CA,2020,1756
BOOTLEG,OR,2021,1568
SLATER,CA,2020,1077
ANTELOPE,CA,2021,813
KING,CA,2014,787
MONUMENT,CA,2021,785
TAYLOR CREEK,OR,2018,731
RANCH,CA,2018,670
WATSON CREEK,OR,2018,664
CAMERON PEAK,CO,2020,620
CANYON CREEK COMPLEX,OR,2015,576
MOSQUITO,CA,2022,574
