condicion,replica,editing_freq_pct
NT_CD34_HSPCs,1,0.07
NT_CD34_HSPCs,2,0.05
NT_CD34_HSPCs,3,0.0
NT_CD34_HSPCs,4,0.02
NT_CD34_HSPCs,5,0.07
Editadas_CD34_HSPCs,1,60.6
Editadas_CD34_HSPCs,2,62.7
Editadas_CD34_HSPCs,3,62.8
Editadas_CD34_HSPCs,4,62.1
Editadas_CD34_HSPCs,5,62.3
