season,quantity,sky,threshold,mean,standard_error_2sigma
dry,Fsw,all_sky,f_loss_gt_0,3.329478256865924,0.2592695166841618
dry,Fsw,all_sky,f_loss_geq_0.5,6.756995498510664,0.6007590089029033
dry,Fsw,surface_only,f_loss_gt_0,0.16545692497006115,0.24192683754495706
dry,Fsw,surface_only,f_loss_geq_0.5,1.981672411379607,1.0718000203332962
dry,Flw,all_sky,f_loss_gt_0,0.27994583436689086,0.05896562309142322
dry,Flw,all_sky,f_loss_geq_0.5,0.5616124568218385,0.1348209287474192
dry,Flw,surface_only,f_loss_gt_0,0.2277203682881731,0.21288699054933805
dry,Flw,surface_only,f_loss_geq_0.5,0.6727407819273844,0.9950350784358201
dry,albedo_toa,all_sky,f_loss_gt_0,0.0030837548289134897,0.00022942579809038494
dry,albedo_toa,all_sky,f_loss_geq_0.5,0.006224362093104308,0.0005244866489390287
dry,albedo_toa,surface_only,f_loss_gt_0,0.0008552679191102262,0.0001357972974529405
dry,albedo_toa,surface_only,f_loss_geq_0.5,0.002839394723591597,0.000679741653066429
year,Fsw,all_sky,f_loss_gt_0,2.993863045270878,0.2419778657851048
year,Fsw,all_sky,f_loss_geq_0.5,6.171570210252049,0.5657230156913876
year,Fsw,surface_only,f_loss_gt_0,0.22694753025612355,0.24245259586369106
year,Fsw,surface_only,f_loss_geq_0.5,2.421465197999274,1.0460553826874168
year,Flw,all_sky,f_loss_gt_0,0.2646775869969199,0.05500220417405784
year,Flw,all_sky,f_loss_geq_0.5,0.45607226600714146,0.12826580428900913
year,Flw,surface_only,f_loss_gt_0,0.2135482307674288,0.21025026038164507
year,Flw,surface_only,f_loss_geq_0.5,0.5315004431683085,0.9789964264250675
year,albedo_toa,all_sky,f_loss_gt_0,0.002616213525809486,0.0001931879687642985
year,albedo_toa,all_sky,f_loss_geq_0.5,0.00529900740526403,0.00044726226366485755
year,albedo_toa,surface_only,f_loss_gt_0,0.000798548960859584,0.0001368516168799064
year,albedo_toa,surface_only,f_loss_geq_0.5,0.0030205971631572476,0.0006548087646100547
