year,month,month_name,solar_cf,wind_cf,load_norm
2016,9,Sep,0.2284,0.6052,1.0013
2017,9,Sep,0.2292,0.5997,1.0029
2018,9,Sep,0.2292,0.5997,1.0029
2019,9,Sep,0.2292,0.5997,1.0029
2020,9,Sep,0.2284,0.6052,1.0013
2021,9,Sep,0.2292,0.5997,1.0029
2022,9,Sep,0.2292,0.5997,1.0029
2023,9,Sep,0.2292,0.5997,1.0029
2024,9,Sep,0.2284,0.6052,1.0013
2011,10,Oct,0.2036,0.4714,1.0012
2012,10,Oct,0.2057,0.4706,1.0052
2013,10,Oct,0.2036,0.4714,1.0012
2014,10,Oct,0.2036,0.4714,1.0012
2015,10,Oct,0.2036,0.4714,1.0012
2016,10,Oct,0.2057,0.4706,1.0052
2017,10,Oct,0.2036,0.4714,1.0012
2018,10,Oct,0.2036,0.4714,1.0012
2019,10,Oct,0.2036,0.4714,1.0012
2020,10,Oct,0.2057,0.4706,1.0052
2021,10,Oct,0.2036,0.4714,1.0012
2022,10,Oct,0.2036,0.4714,1.0012
2023,10,Oct,0.2036,0.4714,1.0012
2024,10,Oct,0.2057,0.4706,1.0052
2011,11,Nov,0.1732,0.4588,1.0001
2012,11,Nov,0.173,0.4596,0.9975
2013,11,Nov,0.1732,0.4588,1.0001
2014,11,Nov,0.1732,0.4588,1.0001
2015,11,Nov,0.1732,0.4588,1.0001
2016,11,Nov,0.173,0.4596,0.9975
2017,11,Nov,0.1732,0.4588,1.0001
2018,11,Nov,0.1732,0.4588,1.0001
2019,11,Nov,0.1732,0.4588,1.0001
2020,11,Nov,0.173,0.4596,0.9975
2021,11,Nov,0.1732,0.4588,1.0001
2022,11,Nov,0.1732,0.4588,1.0001
2023,11,Nov,0.1732,0.4588,1.0001
2024,11,Nov,0.173,0.4596,0.9975
2011,12,Dic,0.19,0.5072,1.003
2012,12,Dic,0.1896,0.5059,1.0031
2013,12,Dic,0.19,0.5072,1.003
2014,12,Dic,0.19,0.5072,1.003
2015,12,Dic,0.19,0.5072,1.003
2016,12,Dic,0.1896,0.5059,1.0031
2017,12,Dic,0.19,0.5072,1.003
2018,12,Dic,0.19,0.5072,1.003
2019,12,Dic,0.19,0.5072,1.003
2020,12,Dic,0.1896,0.5059,1.0031
2021,12,Dic,0.19,0.5072,1.003
2022,12,Dic,0.19,0.5072,1.003
2023,12,Dic,0.19,0.5072,1.003
2024,12,Dic,0.1896,0.5059,1.0031
