year,mean_inflow_m3s
2011,141.98833333333332
2012,126.80416666666667
2013,106.755
2014,113.40750000000001
2015,147.08666666666667
2016,134.30583333333334
2017,127.02916666666668
2018,124.17583333333333
2019,149.86416666666668
2020,122.39083333333333
2021,143.7475
2022,115.44416666666666
2023,96.46499999999999
2024,74.48916666666666
