analyst_id,paper_id,disciplina,experimental,d_original,d_reanalisis,conclusion,direccion
A1SBQ,Angrist_AmEcoRev_2009_Gv3O,economia,experimental,0.0799,-0.112,opuesto,opuesta
DAILV,Rovny_WorldPolitics_2014_AQgj,ciencia_politica,observational,0.4736,0.661,misma,misma
9X596,Bartels_JournConsRes_2015_mrZ,marketing,observational,0.4688,,misma,misma
H46K4,Petersen_Cognition_2017_yJwG,psicologia,experimental,1.8121,1.812,misma,misma
X2N6W,Bruner_ExpEco_2017_amYY,economia,experimental,1.0432,1.043,misma,misma
OIBLS,LINDQVIST_AmPoliSciRev_2010_OeGv,ciencia_politica,observational,1.2829,1.767,misma,misma
GHZ5E,Christensen_EurJournPersonality_2018_8R9d,psicologia,observational,2.9392,2.205,misma,misma
BX332,Miller_JournConflictRes_2011_zV1O,ciencia_politica,observational,0.1388,-0.08,sin_efecto,opuesta
AFO8L,Nelson_JournConsRes_2009_eg1q,marketing,experimental,0.4893,0.503,misma,misma
6NYSH,Altmann_JournLabEco_2012_WLkV,economia,experimental,0.4653,0.465,misma,misma
WCZJU,Luttrell_JournExpSocPsych_2016_rjb,psicologia,observational,0.3511,0.318,misma,misma
PDC44,Ku_JournEnvPsych_2014_YpZZ,psicologia,observational,1.0965,0.958,misma,misma
HAC6N,Nyhan_JournExpPoliSci_2015_DEqr,ciencia_politica,experimental,0.3672,0.421,misma,misma
ZZQGZ,Wilde_AmSocioRev_2010_4XLv,sociologia,observational,0.1053,,opuesto,opuesta
CC3UD,Baillon_Econometrica_2018_QYNq,economia,experimental,0.4288,0.595,misma,misma
58A4L,Thames_CompPolitStu_2010_l22v,ciencia_politica,observational,0.3133,0.039,sin_efecto,misma
MUYV3,Anderson_AmEcoJourn_2011_bLe8,economia,observational,0.5746,-0.215,sin_efecto,opuesta
8GS2H,Brough_JournConsRes_2016_9ey,marketing,observational,0.9624,0.952,misma,misma
J3ODA,Nyhan_JournExpPoliSci_2015_DEqr,ciencia_politica,experimental,0.3672,0.348,misma,misma
ZZY2R,Adida_CompPolitStu_2016_G0Kb,ciencia_politica,experimental,0.4418,,misma,misma
UZKTS,Zunick_JournExpSocPsych_2017_zlw,psicologia,experimental,0.6551,0.231,sin_efecto,misma
A3X6D,Balcells_JournConflictRes_2014_0P4r,ciencia_politica,observational,0.1673,0.829,misma,misma
N0WPB,Axt_JournExpSocPsych_2018_zK2,psicologia,experimental,0.3958,0.371,misma,misma
EEDG6,Adida_CompPolitStu_2016_G0Kb,ciencia_politica,experimental,0.4418,0.255,misma,misma
7NM5S,Bruner_ExpEco_2017_amYY,economia,experimental,1.0432,0.091,misma,misma
30OYF,Bursztyn_JournPoliEco_2012_jaK4,economia,experimental,4.0272,1.178,misma,misma
1BQRY,Shahar_JournConflictRes_2018_J0Yv,ciencia_politica,observational,1.3913,,misma,misma
