analyst_id,paper_id,disciplina,experimental,d_original,d_reanalisis,conclusion,direccion
9U4RV,Hou_ChildDev_2017_YOXl,psicologia,observational,0.1993,0.0868479566113536,sin_efecto,misma
9UVIW,Cingranelli_BritJournPoliSci_2014_qg47,ciencia_politica,observational,0.1561,0.613,misma,misma
4JKR7,Nelson_JournConsRes_2009_eg1q,marketing,experimental,0.4893,0.531,misma,misma
7ZZIN,Bursztyn_JournPoliEco_2012_jaK4,economia,experimental,4.0272,4.245,misma,misma
O6T2I,Liang_JournPoliEco_2018_q8xv,economia,observational,1.2694,0.679,sin_efecto,misma
N8P2J,McLaren_WorldPolitics_2012_wRvv,ciencia_politica,observational,,0.338,misma,misma
19LM1,TERTYTCHNAYA_AmPoliSciRev_2018_9wya,ciencia_politica,observational,0.1411,-0.104,sin_efecto,opuesta
648X2,Wilfahrt_WorldPolitics_2018_k7wj,ciencia_politica,observational,0.1081,0.573,sin_efecto,misma
ZJMVT,Jiang_AmJourPoliSci_2018_Rjp9,ciencia_politica,observational,0.336,,misma,misma
OPNR7,Sliwka_JournLabEco_2017_VDJV,economia,experimental,0.297,,sin_efecto,misma
KDWY2,Turcu_CompPolitStu_2015_YeQg,ciencia_politica,observational,0.0754,0.831,sin_efecto,misma
KEVF1,Wright_JournConflictRes_2016_W0GN,ciencia_politica,observational,0.1323,-0.074,misma,opuesta
Q1460,Huijts_EurSocioRev_2013_OY3B,sociologia,observational,0.8642,,sin_efecto,opuesta
OMA2G,Grose_AmJourPoliSci_2015_E0Q3,ciencia_politica,experimental,0.5911,,misma,misma
FB06D,Li_JournExpPoliSci_2017_G4mp,ciencia_politica,observational,,0.39,misma,misma
6AZUZ,Brancati_JournConflictRes_2013_V0PA,ciencia_politica,observational,0.3869,0.466,sin_efecto,misma
R4Q7J,TERTYTCHNAYA_AmPoliSciRev_2018_9wya,ciencia_politica,observational,0.1411,0.113,misma,misma
OUN95,BATESON_AmPoliSciRev_2012_RYKv,ciencia_politica,observational,0.4811,0.116,sin_efecto,misma
9EFM2,Balcells_JournConflictRes_2014_0P4r,ciencia_politica,observational,0.1673,0.167,misma,misma
I7VWB,Caldero_n_JournConflictRes_2015_Nv99,ciencia_politica,observational,0.0906,0.058,misma,misma
9P6A7,Balcells_JournConflictRes_2014_0P4r,ciencia_politica,observational,0.1673,0.764,misma,misma
CH2BA,Mironova_JournExpPoliSci_2014_59Rq,ciencia_politica,experimental,0.9255,0.676,sin_efecto,misma
Y3GME,Yoo_PsychologSci_2017_BebG,psicologia,observational,0.108,,misma,misma
AVCOX,McKibben_AmJourPoliSci_2013_P8az,ciencia_politica,observational,0.5307,1.17,misma,misma
JE3RS,Sliwka_JournLabEco_2017_VDJV,economia,experimental,0.297,,sin_efecto,opuesta
3AQDX,Wilfahrt_WorldPolitics_2018_k7wj,ciencia_politica,observational,0.1081,0.026,sin_efecto,misma
41LW9,Hertel_ClinPsychSci_2018_YabW,psicologia,experimental,0.719,-3.594,misma,opuesta
8P2J2,Kucik_BritJournPoliSci_2016_L22B,ciencia_politica,observational,0.7216,0.722,misma,misma
MDFBX,Wang_AmEcoJourn_2013_7d4J,economia,observational,0.0401,0.028,misma,misma
XP4XR,Yoo_PsychologSci_2017_BebG,psicologia,observational,0.108,-0.052,misma,opuesta
7QU3A,Wilde_AmSocioRev_2010_4XLv,sociologia,observational,0.1053,0.397,sin_efecto,misma
8GS27,Hurst_EvoHumanBehavior_2017_yypJ,psicologia,observational,1.1965,,misma,misma
P54NA,Li_JournExpPoliSci_2017_G4mp,ciencia_politica,observational,,0.495,opuesto,misma
UY3WI,Grose_AmJourPoliSci_2015_E0Q3,ciencia_politica,experimental,0.5911,0.49,opuesto,misma
1Y6IS,Usmani_AmJournSocio_2018_GJe4,sociologia,observational,,0.146,misma,misma
YWYHV,Fitzgerald_SocialForces_2018_4q0L,economia,observational,0.4413,-0.104,sin_efecto,opuesta
YEJO9,Andreoni_JournPoliEco_2017_La9x,economia,experimental,1.8477,2.373,misma,misma
ZDF6E,Wright_JournConflictRes_2016_W0GN,ciencia_politica,observational,0.1323,-0.015,sin_efecto,opuesta
129PL,Turcu_CompPolitStu_2015_YeQg,ciencia_politica,observational,0.0754,0.047,misma,misma
8XUM0,Baillon_Econometrica_2018_QYNq,economia,experimental,0.4288,0.415,misma,misma
6U3LL,Usmani_AmJournSocio_2018_GJe4,sociologia,observational,,0.144,misma,misma
5J36G,Sliwka_JournLabEco_2017_VDJV,economia,experimental,0.297,,sin_efecto,misma
1FPG6,Cingranelli_BritJournPoliSci_2014_qg47,ciencia_politica,observational,0.1561,0.19,misma,misma
3B7KH,Antràs_Econometrica_2013_a2Yx,economia,observational,0.32,,sin_efecto,opuesta
7N2JN,Usmani_AmJournSocio_2018_GJe4,sociologia,observational,,0.575,misma,misma
XFPK9,TERTYTCHNAYA_AmPoliSciRev_2018_9wya,ciencia_politica,observational,0.1411,,sin_efecto,opuesta
E3Z4P,Nyhan_JournExpPoliSci_2015_DEqr,ciencia_politica,experimental,0.3672,0.367,misma,misma
1K9SV,Platt_Boustan_AmEcoJourn_2012_PVQK,economia,observational,0.3955,0.326,sin_efecto,misma
YX8BD,McKibben_AmJourPoliSci_2013_P8az,ciencia_politica,observational,0.5307,0.763,misma,misma
0XXW0,Kucik_BritJournPoliSci_2016_L22B,ciencia_politica,observational,0.7216,0.096,misma,misma
HHSLN,Bursztyn_JournPoliEco_2012_jaK4,economia,experimental,4.0272,0.755,misma,misma
8XKM0,Altmann_JournLabEco_2012_WLkV,economia,experimental,0.4653,,misma,misma
Y7ZXT,Fitzgerald_SocialForces_2018_4q0L,economia,observational,0.4413,0.275,misma,misma
7DDCG,Caldero_n_JournConflictRes_2015_Nv99,ciencia_politica,observational,0.0906,0.006,misma,misma
3682J,GROSSMAN_AmPoliSciRev_2014_LyWB,ciencia_politica,observational,0.3857,0.38,misma,misma
8QYT6,Alves_PsychologSci_2018_AvOr,psicologia,experimental,0.4867,0.482,sin_efecto,misma
J5BBA,Caldero_n_JournConflictRes_2015_Nv99,ciencia_politica,observational,0.0906,,misma,misma
0GFYM,Angrist_AmEcoRev_2009_Gv3O,economia,experimental,0.0799,0.109,sin_efecto,misma
R73OP,Fitzgerald_SocialForces_2018_4q0L,economia,observational,0.4413,0.369,misma,misma
FLMLO,Turcu_CompPolitStu_2015_YeQg,ciencia_politica,observational,0.0754,1.047,misma,misma
08UM9,Wilfahrt_WorldPolitics_2018_k7wj,ciencia_politica,observational,0.1081,0.109,misma,misma
LX7MD,Kucik_BritJournPoliSci_2016_L22B,ciencia_politica,observational,0.7216,0.095,misma,misma
0Z3JN,Gerber_BritJournPoliSci_2018_3WmY,ciencia_politica,observational,0.3016,0.2127309339559719,misma,misma
Q3HUQ,Gartzke_JournConflictRes_2009_rym8,ciencia_politica,observational,0.0218,,sin_efecto,misma
MDGXG,Jiang_AmJourPoliSci_2018_Rjp9,ciencia_politica,observational,0.336,0.024,misma,misma
EZI7J,Chen_Demography_2018_yAPR,sociologia,observational,0.0539,0.181,sin_efecto,misma
9FO7L,Chen_Demography_2018_yAPR,sociologia,observational,0.0539,0.274,misma,misma
EPK9W,Kleven_AmEcoRev_2013_Jg9v,economia,observational,1.2187,,sin_efecto,misma
TK3IR,Menaldo_AmJourPoliSci_2016_Vx4e,ciencia_politica,observational,0.5996,0.038,sin_efecto,misma
BM8DQ,Wright_JournConflictRes_2016_W0GN,ciencia_politica,observational,0.1323,0.111,misma,misma
TN4FA,Andreoni_JournPoliEco_2017_La9x,economia,experimental,1.8477,3.245,misma,misma
543X6,Hendricks_QuartJournEco_2018_wNKW,economia,observational,0.28,0.73,sin_efecto,misma
7TYBG,Clark_JournPoliEco_2009_e5rW,economia,observational,0.2361,0.099,misma,misma
FQ1G7,McLaren_WorldPolitics_2012_wRvv,ciencia_politica,observational,,0.404,misma,misma
W5PXE,Thames_CompPolitStu_2010_l22v,ciencia_politica,observational,0.3133,0.321,sin_efecto,misma
HAWST,McKibben_AmJourPoliSci_2013_P8az,ciencia_politica,observational,0.5307,,misma,misma
917OK,Waller_JournMarFam_2014_AXBY,sociologia,observational,0.1426,,misma,misma
BIMKS,Luttrell_JournExpSocPsych_2016_rjb,psicologia,observational,0.3511,,sin_efecto,opuesta
DRV0T,Dumas_AcaManageJourn_2018_5KrD,management,observational,0.2532,0.253,misma,misma
OSA6N,Liang_JournPoliEco_2018_q8xv,economia,observational,1.2694,1.175,misma,misma
JPHZ3,Behrman_JournPoliEco_2015_G55r,economia,experimental,1.1708,3.91,misma,misma
1HC64,Cingranelli_BritJournPoliSci_2014_qg47,ciencia_politica,observational,0.1561,0.371,misma,misma
HWZDA,LINDQVIST_AmPoliSciRev_2010_OeGv,ciencia_politica,observational,1.2829,0.673,misma,misma
F32UK,Miller_JournConflictRes_2011_zV1O,ciencia_politica,observational,0.1388,,sin_efecto,misma
1ISG4,Fuhrmann_JournConflictRes_2010_8Wy0,ciencia_politica,observational,0.0773,0.141,misma,misma
WGTFW,Menaldo_AmJourPoliSci_2016_Vx4e,ciencia_politica,observational,0.5996,-0.102,misma,opuesta
C7WJL,Li_JournExpPoliSci_2017_G4mp,ciencia_politica,observational,,0.011,misma,misma
GHN4R,Menaldo_AmJourPoliSci_2016_Vx4e,ciencia_politica,observational,0.5996,0.599,sin_efecto,misma
8AYYN,Menaldo_AmJourPoliSci_2016_Vx4e,ciencia_politica,observational,0.5996,-0.084,sin_efecto,opuesta
AW332,Lu_JournLabEco_2015_vaWE,economia,experimental,1.6699,0.226,sin_efecto,misma
2YBZF,ANN_SLOCUM_Criminology_2010_JxXe,criminologia,observational,0.1165,0.557,misma,misma
RJ9S7,GROSSMAN_AmPoliSciRev_2014_LyWB,ciencia_politica,observational,0.3857,0.11,misma,misma
2YGYF,Fuhrmann_JournConflictRes_2010_8Wy0,ciencia_politica,observational,0.0773,0.08,misma,misma
K0XHI,Platt_Boustan_AmEcoJourn_2012_PVQK,economia,observational,0.3955,-0.121,sin_efecto,opuesta
1FZ2C,Behrman_JournPoliEco_2015_G55r,economia,experimental,1.1708,0.567,misma,misma
4ST8R,Brancati_JournConflictRes_2013_V0PA,ciencia_politica,observational,0.3869,-0.059,sin_efecto,opuesta
UZPCT,Baccara_AmEcoJourn_2014_RqVE,economia,observational,0.0091,0.014,misma,misma
8QYU7,Luttrell_JournExpSocPsych_2016_rjb,psicologia,observational,0.3511,0.007,misma,misma
BZZQQ,TERTYTCHNAYA_AmPoliSciRev_2018_9wya,ciencia_politica,observational,0.1411,0.973,misma,misma
948IE,Turcu_CompPolitStu_2015_YeQg,ciencia_politica,observational,0.0754,0.046,misma,misma
H14DB,Desmond_Demography_2015_qQ9Z,sociologia,observational,0.1865,0.054,sin_efecto,misma
VDGL3,Wilfahrt_WorldPolitics_2018_k7wj,ciencia_politica,observational,0.1081,,misma,misma
ZNFTM,Wlezien_CompPolitStu_2017_ByBk,ciencia_politica,observational,2.2095,0.346,sin_efecto,misma
ZCIBX,Bursztyn_AmEcoRev_2017_VB9K,economia,experimental,0.5826,0.817,misma,misma
ZUJ68,Ohtsubo_EvoHumanBehavior_2014_zlm2,psicologia,experimental,2.2748,1.594,misma,misma
W5O2N,McKibben_AmJourPoliSci_2013_P8az,ciencia_politica,observational,0.5307,,misma,misma
ZIWIY,Balcells_JournConflictRes_2014_0P4r,ciencia_politica,observational,0.1673,0.787,misma,misma
T3806,Bingham Powell_CompPolitStu_2009_0PZl,ciencia_politica,observational,0.4609,0.448,sin_efecto,misma
73FDT,Kuo_Demography_2016_JWzJ,demografia,observational,0.0419,4.141,misma,misma
PX654,Wang_AmEcoJourn_2013_7d4J,economia,observational,0.0401,0.056,misma,misma
NSDML,Antràs_Econometrica_2013_a2Yx,economia,observational,0.32,0.647,misma,misma
Z5YKQ,Menaldo_AmJourPoliSci_2016_Vx4e,ciencia_politica,observational,0.5996,0.306,misma,misma
84G5K,Ohtsubo_EvoHumanBehavior_2014_zlm2,psicologia,experimental,2.2748,3.106,misma,misma
KNPJ0,Cohen_AmEcoRev_2015_2lb5,economia,experimental,0.4076,0.372,misma,misma
HLUSG,Alves_PsychologSci_2018_AvOr,psicologia,experimental,0.4867,0.635,misma,misma
TLJFS,McKibben_AmJourPoliSci_2013_P8az,ciencia_politica,observational,0.5307,,misma,misma
FY4DW,Brough_JournConsRes_2016_9ey,marketing,observational,0.9624,0.962,misma,misma
RUUEP,GROSSMAN_AmPoliSciRev_2014_LyWB,ciencia_politica,observational,0.3857,0.43,misma,misma
CC3UD,Marshall_BritJournPoliSci_2015_GOYb,ciencia_politica,observational,0.5384,0.289,misma,misma
HQ9N9,Baccara_AmEcoJourn_2014_RqVE,economia,observational,0.0091,0.055,misma,misma
1CP3G,Yoo_PsychologSci_2017_BebG,psicologia,observational,0.108,0.146,misma,misma
QPSID,Bigoni_Econometrica_2015_VBx1,economia,experimental,6.8581,1.266,misma,misma
AHW5W,Bingham Powell_CompPolitStu_2009_0PZl,ciencia_politica,observational,0.4609,3.452,opuesto,misma
543AW,Robertson_BritJournPoliSci_2017_qggQ,ciencia_politica,observational,0.1217,0.21,misma,misma
DF1FJ,Huijts_EurSocioRev_2013_OY3B,sociologia,observational,0.8642,0.671,misma,misma
LJFSQ,Thames_CompPolitStu_2010_l22v,ciencia_politica,observational,0.3133,-0.518,sin_efecto,opuesta
B29PE,Wright_JournConflictRes_2016_W0GN,ciencia_politica,observational,0.1323,0.132,misma,misma
R1YMW,LINDQVIST_AmPoliSciRev_2010_OeGv,ciencia_politica,observational,1.2829,0.979,sin_efecto,misma
8LJZE,Turcu_CompPolitStu_2015_YeQg,ciencia_politica,observational,0.0754,0.049,misma,misma
GKHP1,Waller_JournMarFam_2014_AXBY,sociologia,observational,0.1426,-0.027,sin_efecto,opuesta
DAILV,Jiang_AmJourPoliSci_2018_Rjp9,ciencia_politica,observational,0.336,0.064,misma,misma
N8ZYW,Kuo_Demography_2016_JWzJ,demografia,observational,0.0419,,opuesto,opuesta
0ZB46,Huijts_EurSocioRev_2013_OY3B,sociologia,observational,0.8642,,misma,misma
9ZUZK,Baker_WorldPolitics_2011_9lBL,ciencia_politica,observational,0.9622,0.429,misma,misma
AATZ7,BATESON_AmPoliSciRev_2012_RYKv,ciencia_politica,observational,0.4811,-0.819,sin_efecto,opuesta
P9234,Rovny_WorldPolitics_2014_AQgj,ciencia_politica,observational,0.4736,0.299,misma,misma
1XA8N,PIETRYKA_AmPoliSciRev_2017_yjkQ,ciencia_politica,observational,0.1892,0.205,misma,misma
7QDPG,Barreca_JournPoliEco_2016_J999,economia,observational,1.1287,0.101,misma,misma
DUG1C,Desmond_Demography_2015_qQ9Z,sociologia,observational,0.1865,0.209,misma,misma
I3ER4,Liang_JournPoliEco_2018_q8xv,economia,observational,1.2694,0.876,misma,misma
E4FIK,Fehr_AmEcoRev_2011_gdlO,economia,experimental,3.9402,0.522,misma,misma
GRUWQ,Gartzke_JournConflictRes_2009_rym8,ciencia_politica,observational,0.0218,0.03,misma,misma
0OQ4O,Fitzgerald_SocialForces_2018_4q0L,economia,observational,0.4413,,misma,misma
U41QZ,Yoo_PsychologSci_2017_BebG,psicologia,observational,0.108,-0.106,sin_efecto,opuesta
4NCPI,Platt_Boustan_AmEcoJourn_2012_PVQK,economia,observational,0.3955,0.482,misma,misma
5AV43,Antràs_Econometrica_2013_a2Yx,economia,observational,0.32,-0.248,sin_efecto,opuesta
C6HJR,Teney_EurSocioRev_2016_qXX2,sociologia,observational,,0.498,misma,misma
0RNST,Thames_CompPolitStu_2010_l22v,ciencia_politica,observational,0.3133,-0.239,misma,opuesta
I4AA9,Waller_JournMarFam_2014_AXBY,sociologia,observational,0.1426,0.08,sin_efecto,misma
C09RR,Antràs_Econometrica_2013_a2Yx,economia,observational,0.32,,misma,misma
LT39B,McLaren_WorldPolitics_2012_wRvv,ciencia_politica,observational,,0.245,misma,misma
WMHM7,Bartels_JournConsRes_2015_mrZ,marketing,observational,0.4688,0.887,misma,misma
YWYHV,Fuhrmann_JournConflictRes_2010_8Wy0,ciencia_politica,observational,0.0773,0.063,misma,misma
456AP,Kuo_Demography_2016_JWzJ,demografia,observational,0.0419,0.054,misma,misma
3AQDX,LINDQVIST_AmPoliSciRev_2010_OeGv,ciencia_politica,observational,1.2829,1.93,misma,misma
456AQ,Fuhrmann_JournConflictRes_2010_8Wy0,ciencia_politica,observational,0.0773,0.023,misma,misma
53BDN,Ohtsubo_EvoHumanBehavior_2014_zlm2,psicologia,experimental,2.2748,2.279,misma,misma
456AD,McLaren_WorldPolitics_2012_wRvv,ciencia_politica,observational,,0.297,misma,misma
OPNR7,Fehr_AmEcoRev_2011_gdlO,economia,experimental,3.9402,,misma,misma
KDWY2,Caldero_n_JournConflictRes_2015_Nv99,ciencia_politica,observational,0.0906,-0.231,sin_efecto,opuesta
H46K4,Goerg_JournLabEco_2010_WLpV,economia,experimental,0.3539,0.504,misma,misma
1MFRV,Benjamin_AmEcoRev_2010_WaYe,economia,experimental,0.8249,0.825,misma,misma
0XXW0,Marshall_BritJournPoliSci_2015_GOYb,ciencia_politica,observational,0.5384,,misma,misma
CH2BA,Marshall_BritJournPoliSci_2015_GOYb,ciencia_politica,observational,0.5384,0.209,sin_efecto,misma
E3Z4P,Bingham Powell_CompPolitStu_2009_0PZl,ciencia_politica,observational,0.4609,-0.046,sin_efecto,opuesta
5X3KG,Kuo_Demography_2016_JWzJ,demografia,observational,0.0419,-0.089,opuesto,opuesta
9EFM2,Caldero_n_JournConflictRes_2015_Nv99,ciencia_politica,observational,0.0906,0.065,misma,misma
QN456,Huijts_EurSocioRev_2013_OY3B,sociologia,observational,0.8642,0.575,misma,misma
Q1460,Barreca_JournPoliEco_2016_J999,economia,observational,1.1287,0.092,misma,misma
AVCOX,Bingham Powell_CompPolitStu_2009_0PZl,ciencia_politica,observational,0.4609,0.48,sin_efecto,misma
UY3WI,PIETRYKA_AmPoliSciRev_2017_yjkQ,ciencia_politica,observational,0.1892,0.189,misma,misma
AC456,LINDQVIST_AmPoliSciRev_2010_OeGv,ciencia_politica,observational,1.2829,1.282,misma,misma
TCQFF,Ohtsubo_EvoHumanBehavior_2014_zlm2,psicologia,experimental,2.2748,1.736,misma,misma
456AG,Huijts_EurSocioRev_2013_OY3B,sociologia,observational,0.8642,0.839,misma,misma
7ZZIN,Brancati_JournConflictRes_2013_V0PA,ciencia_politica,observational,0.3869,,sin_efecto,misma
ZIWIY,Clark_JournPoliEco_2009_e5rW,economia,observational,0.2361,0.264,misma,misma
R34JK,Dahl_AmEcoRev_2012_VRKK,economia,observational,0.0569,0.179,misma,misma
QIWQJ,Gartzke_JournConflictRes_2009_rym8,ciencia_politica,observational,0.0218,0.026,misma,misma
BZZQQ,Baker_WorldPolitics_2011_9lBL,ciencia_politica,observational,0.9622,,sin_efecto,opuesta
CGTZS,Ohtsubo_EvoHumanBehavior_2014_zlm2,psicologia,experimental,2.2748,2.344,misma,misma
JPHZ3,Angrist_AmEcoRev_2009_Gv3O,economia,experimental,0.0799,-0.067,misma,opuesta
F32UK,Cingranelli_BritJournPoliSci_2014_qg47,ciencia_politica,observational,0.1561,-0.048,misma,opuesta
OMA2G,PALER_AmPoliSciRev_2013_Pxp7,ciencia_politica,experimental,0.1252,,misma,misma
D7B5R,Desmond_Demography_2015_qQ9Z,sociologia,observational,0.1865,0.23,misma,misma
KEVF1,Teney_EurSocioRev_2016_qXX2,sociologia,observational,,1.013,misma,misma
RJ9S7,Waller_JournMarFam_2014_AXBY,sociologia,observational,0.1426,0.193,misma,misma
1HC64,Marshall_BritJournPoliSci_2015_GOYb,ciencia_politica,observational,0.5384,,sin_efecto,misma
L456K,Huijts_EurSocioRev_2013_OY3B,sociologia,observational,0.8642,0.054,misma,misma
XF5GJ,Ku_JournEnvPsych_2014_YpZZ,psicologia,observational,1.0965,0.926,misma,misma
6U3LL,McLaren_WorldPolitics_2012_wRvv,ciencia_politica,observational,,0.346,misma,misma
0GFYM,Nyhan_JournExpPoliSci_2015_DEqr,ciencia_politica,experimental,0.3672,0.424,misma,misma
P9W8Y,Chen_Demography_2018_yAPR,sociologia,observational,0.0539,,sin_efecto,misma
CKH21,Mironova_JournExpPoliSci_2014_59Rq,ciencia_politica,experimental,0.9255,,misma,misma
PTG48,Fuhrmann_JournConflictRes_2010_8Wy0,ciencia_politica,observational,0.0773,0.092,misma,misma
JDA15,Kuo_Demography_2016_JWzJ,demografia,observational,0.0419,0.036,sin_efecto,misma
FSF14,Baker_WorldPolitics_2011_9lBL,ciencia_politica,observational,0.9622,-0.298,sin_efecto,opuesta
HDP26,Cleave_ExpEco_2013_Njqj,economia,experimental,0.2137,,sin_efecto,misma
CGE18,Bingham Powell_CompPolitStu_2009_0PZl,ciencia_politica,observational,0.4609,1.345,sin_efecto,misma
ZLH79,Wang_AmEcoJourn_2013_7d4J,economia,observational,0.0401,0.04,misma,misma
RTX71,Christensen_EurJournPersonality_2018_8R9d,psicologia,observational,2.9392,,misma,misma
FQF87,Waller_JournMarFam_2014_AXBY,sociologia,observational,0.1426,-0.023,sin_efecto,opuesta
EPO35,Bingham Powell_CompPolitStu_2009_0PZl,ciencia_politica,observational,0.4609,1.461,misma,misma
XTX90,Usmani_AmJournSocio_2018_GJe4,sociologia,observational,,0.094,misma,misma
NMO49,Desmond_Demography_2015_qQ9Z,sociologia,observational,0.1865,0.065,sin_efecto,misma
SBP30,Desmond_Demography_2015_qQ9Z,sociologia,observational,0.1865,-0.043,sin_efecto,opuesta
RIW43,Usmani_AmJournSocio_2018_GJe4,sociologia,observational,,,sin_efecto,misma
RPG19,Cleave_ExpEco_2013_Njqj,economia,experimental,0.2137,,misma,opuesta
XIX62,Usmani_AmJournSocio_2018_GJe4,sociologia,observational,,-0.122,sin_efecto,opuesta
TCT64,Waller_JournMarFam_2014_AXBY,sociologia,observational,0.1426,0.042,misma,misma
XAS95,Raley_JournMarFam_2012_D2LY,sociologia,observational,,0.126,misma,misma
XXX71,Gartzke_JournConflictRes_2009_rym8,ciencia_politica,observational,0.0218,0.014,misma,misma
VOJ91,Gerber_BritJournPoliSci_2018_3WmY,ciencia_politica,observational,0.3016,0.332,misma,misma
PMN53,Fuhrmann_JournConflictRes_2010_8Wy0,ciencia_politica,observational,0.0773,,misma,misma
IDY90,Dahl_AmEcoRev_2012_VRKK,economia,observational,0.0569,0.049,misma,misma
BMI87,Jiang_AmJourPoliSci_2018_Rjp9,ciencia_politica,observational,0.336,0.012,sin_efecto,misma
BKG23,Ohtsubo_EvoHumanBehavior_2014_zlm2,psicologia,experimental,2.2748,1.142,misma,misma
PRL47,Teney_EurSocioRev_2016_qXX2,sociologia,observational,,0.011,misma,misma
GWM34,Christensen_EurJournPersonality_2018_8R9d,psicologia,observational,2.9392,,misma,misma
IVZ84,Raley_JournMarFam_2012_D2LY,sociologia,observational,,0.265,misma,misma
VWV97,Desmond_Demography_2015_qQ9Z,sociologia,observational,0.1865,-0.093,sin_efecto,opuesta
IWJ37,Raley_JournMarFam_2012_D2LY,sociologia,observational,,0.096,misma,misma
ETJ91,Hendricks_QuartJournEco_2018_wNKW,economia,observational,0.28,0.124,misma,misma
UPK44,Hendricks_QuartJournEco_2018_wNKW,economia,observational,0.28,0.131,misma,misma
JHG33,Jiang_AmJourPoliSci_2018_Rjp9,ciencia_politica,observational,0.336,,misma,misma
DTL61,Platt_Boustan_AmEcoJourn_2012_PVQK,economia,observational,0.3955,0.488,sin_efecto,misma
KKX36,Raley_JournMarFam_2012_D2LY,sociologia,observational,,0.196,misma,misma
A75GH,Christensen_EurJournPersonality_2018_8R9d,psicologia,observational,2.9392,0.567,misma,misma
ABR43,Chen_Demography_2018_yAPR,sociologia,observational,0.0539,,opuesto,opuesta
7ZZIN,Baker_WorldPolitics_2011_9lBL,ciencia_politica,observational,0.9622,-0.242,sin_efecto,opuesta
018OL,Teney_EurSocioRev_2016_qXX2,sociologia,observational,,-0.121,misma,opuesta
T3806,Antràs_Econometrica_2013_a2Yx,economia,observational,0.32,0.452,misma,misma
C7WJL,Cohen_AmEcoRev_2015_2lb5,economia,experimental,0.4076,0.408,misma,misma
AHW5W,Marshall_BritJournPoliSci_2015_GOYb,ciencia_politica,observational,0.5384,-1.59,sin_efecto,opuesta
PNJWU,Marshall_BritJournPoliSci_2015_GOYb,ciencia_politica,observational,0.5384,0.386,misma,misma
K9J6C,Hendricks_QuartJournEco_2018_wNKW,economia,observational,0.28,0.081,misma,misma
WSE97,Alves_PsychologSci_2018_AvOr,psicologia,experimental,0.4867,,misma,misma
