paper_id,disciplina,experimental,n_analistas,n_misma,n_sin_efecto,n_opuesto,pct_misma,d_original
ANN_SLOCUM_Criminology_2010_JxXe,criminologia,0,5,5,0,0,100.0,0.1165
Adida_CompPolitStu_2016_G0Kb,ciencia_politica,1,5,4,1,0,80.0,0.4418
Altmann_JournLabEco_2012_WLkV,economia,1,5,5,0,0,100.0,0.4653
Alves_PsychologSci_2018_AvOr,psicologia,1,5,4,1,0,80.0,0.4867
Anderson_AmEcoJourn_2011_bLe8,economia,0,5,3,1,1,60.0,0.5746
Andreoni_JournPoliEco_2017_La9x,economia,1,5,5,0,0,100.0,1.8477
Angrist_AmEcoRev_2009_Gv3O,economia,1,6,2,3,1,33.3,0.0799
Antràs_Econometrica_2013_a2Yx,economia,0,5,3,2,0,60.0,0.32
Axt_JournExpSocPsych_2018_zK2,psicologia,1,5,5,0,0,100.0,0.3958
BATESON_AmPoliSciRev_2012_RYKv,ciencia_politica,0,5,3,2,0,60.0,0.4811
Baccara_AmEcoJourn_2014_RqVE,economia,0,4,4,0,0,100.0,0.0091
Baillon_Econometrica_2018_QYNq,economia,1,5,5,0,0,100.0,0.4288
Baker_WorldPolitics_2011_9lBL,ciencia_politica,0,5,1,4,0,20.0,0.9622
Balcells_JournConflictRes_2014_0P4r,ciencia_politica,0,4,4,0,0,100.0,0.1673
Barreca_JournPoliEco_2016_J999,economia,0,5,4,1,0,80.0,1.1287
Bartels_JournConsRes_2015_mrZ,marketing,0,5,5,0,0,100.0,0.4688
Beaman_JournLabEco_2018_7ybJ,economia,0,5,4,1,0,80.0,0.4344
Behrman_JournPoliEco_2015_G55r,economia,1,5,5,0,0,100.0,1.1708
Benjamin_AmEcoRev_2010_WaYe,economia,1,4,4,0,0,100.0,0.8249
Bigoni_Econometrica_2015_VBx1,economia,1,5,3,2,0,60.0,6.8581
Bingham Powell_CompPolitStu_2009_0PZl,ciencia_politica,0,6,1,4,1,16.7,0.4609
Brancati_JournConflictRes_2013_V0PA,ciencia_politica,0,5,0,5,0,0.0,0.3869
Brough_JournConsRes_2016_9ey,marketing,0,5,5,0,0,100.0,0.9624
Bruner_ExpEco_2017_amYY,economia,1,5,5,0,0,100.0,1.0432
Bursztyn_AmEcoRev_2017_VB9K,economia,1,5,3,2,0,60.0,0.5826
Bursztyn_JournPoliEco_2012_jaK4,economia,1,5,5,0,0,100.0,4.0272
Caldero_n_JournConflictRes_2015_Nv99,ciencia_politica,0,5,4,1,0,80.0,0.0906
Chen_Demography_2018_yAPR,sociologia,0,7,1,4,2,14.3,0.0539
Christensen_EurJournPersonality_2018_8R9d,psicologia,0,7,6,1,0,85.7,2.9392
Cingranelli_BritJournPoliSci_2014_qg47,ciencia_politica,0,5,5,0,0,100.0,0.1561
Clark_JournPoliEco_2009_e5rW,economia,0,5,3,2,0,60.0,0.2361
Cleave_ExpEco_2013_Njqj,economia,1,6,5,1,0,83.3,0.2137
Cohen_AmEcoRev_2015_2lb5,economia,1,5,4,1,0,80.0,0.4076
Dahl_AmEcoRev_2012_VRKK,economia,0,4,4,0,0,100.0,0.0569
Desmond_Demography_2015_qQ9Z,sociologia,0,6,2,4,0,33.3,0.1865
Dumas_AcaManageJourn_2018_5KrD,management,0,5,3,2,0,60.0,0.2532
Einstein_AmJourPoliSci_2017_mxyQ,ciencia_politica,1,5,3,2,0,60.0,0.3204
Fehr_AmEcoRev_2011_gdlO,economia,1,6,6,0,0,100.0,3.9402
Fitzgerald_SocialForces_2018_4q0L,economia,0,4,3,1,0,75.0,0.4413
Fuhrmann_JournConflictRes_2010_8Wy0,ciencia_politica,0,6,6,0,0,100.0,0.0773
GROSSMAN_AmPoliSciRev_2014_LyWB,ciencia_politica,0,5,5,0,0,100.0,0.3857
Gartzke_JournConflictRes_2009_rym8,ciencia_politica,0,5,4,1,0,80.0,0.0218
Gerber_BritJournPoliSci_2018_3WmY,ciencia_politica,0,5,2,3,0,40.0,0.3016
Goerg_JournLabEco_2010_WLpV,economia,1,6,6,0,0,100.0,0.3539
Grose_AmJourPoliSci_2015_E0Q3,ciencia_politica,1,5,4,0,1,80.0,0.5911
Hendricks_QuartJournEco_2018_wNKW,economia,0,4,3,1,0,75.0,0.28
Hertel_ClinPsychSci_2018_YabW,psicologia,1,5,4,1,0,80.0,0.719
Hou_ChildDev_2017_YOXl,psicologia,0,5,3,1,1,60.0,0.1993
Huijts_EurSocioRev_2013_OY3B,sociologia,0,6,5,1,0,83.3,0.8642
Hurst_EvoHumanBehavior_2017_yypJ,psicologia,0,5,5,0,0,100.0,1.1965
Ihme_JournExpPoliSci_2018_xYbO,ciencia_politica,1,5,3,2,0,60.0,0.4143
Jiang_AmJourPoliSci_2018_Rjp9,ciencia_politica,0,5,4,1,0,80.0,0.336
Kleven_AmEcoRev_2013_Jg9v,economia,0,4,3,1,0,75.0,1.2187
Ku_JournEnvPsych_2014_YpZZ,psicologia,0,5,5,0,0,100.0,1.0965
Kucik_BritJournPoliSci_2016_L22B,ciencia_politica,0,4,3,1,0,75.0,0.7216
Kuo_Demography_2016_JWzJ,demografia,0,5,2,1,2,40.0,0.0419
LINDQVIST_AmPoliSciRev_2010_OeGv,ciencia_politica,0,6,5,1,0,83.3,1.2829
Li_JournExpPoliSci_2017_G4mp,ciencia_politica,0,5,4,0,1,80.0,
Liang_JournPoliEco_2018_q8xv,economia,0,5,4,1,0,80.0,1.2694
Linkenauger_PsychologSci_2009_7WjP,psicologia,0,5,3,2,0,60.0,1.1349
Liu_JournMarket_2015_9DZl,marketing,1,5,5,0,0,100.0,0.8505
Lu_JournLabEco_2015_vaWE,economia,1,3,2,1,0,66.7,1.6699
Luttrell_JournExpSocPsych_2016_rjb,psicologia,0,5,3,2,0,60.0,0.3511
Marshall_BritJournPoliSci_2015_GOYb,ciencia_politica,0,6,3,3,0,50.0,0.5384
McDevitt_JournPoliEco_2014_yQeR,economia,0,5,4,1,0,80.0,0.2836
McKibben_AmJourPoliSci_2013_P8az,ciencia_politica,0,5,5,0,0,100.0,0.5307
McLaren_WorldPolitics_2012_wRvv,ciencia_politica,0,5,5,0,0,100.0,
Menaldo_AmJourPoliSci_2016_Vx4e,ciencia_politica,0,5,2,3,0,40.0,0.5996
Miller_JournConflictRes_2011_zV1O,ciencia_politica,0,5,2,3,0,40.0,0.1388
Mironova_JournExpPoliSci_2014_59Rq,ciencia_politica,1,5,3,2,0,60.0,0.9255
Nelson_JournConsRes_2009_eg1q,marketing,1,5,4,1,0,80.0,0.4893
Nyhan_JournExpPoliSci_2015_DEqr,ciencia_politica,1,5,5,0,0,100.0,0.3672
Ohtsubo_EvoHumanBehavior_2014_zlm2,psicologia,1,6,6,0,0,100.0,2.2748
PALER_AmPoliSciRev_2013_Pxp7,ciencia_politica,1,5,4,1,0,80.0,0.1252
PIETRYKA_AmPoliSciRev_2017_yjkQ,ciencia_politica,0,6,5,1,0,83.3,0.1892
Pastötter_Cognition_2013_EQxa,psicologia,1,5,5,0,0,100.0,0.5047
Petersen_Cognition_2017_yJwG,psicologia,1,5,5,0,0,100.0,1.8121
Platt_Boustan_AmEcoJourn_2012_PVQK,economia,0,6,2,4,0,33.3,0.3955
