tipo,tamano_cm2
HIO,0.66
HIO,0.67
HIO,0.45
HIO,0.81
HIO,0.95
HIO,0.57
SI CCS,3.28
SI CCS,4.37
SI CCS,3.78
SI CCS,3.49
SI CCS,4.29
SI CCS,5.97
SI CCS,4.63
SI CCS,5.73
SI CCS,7.47
