tipo,tamano_cm2
HaGO,0.130871
HaGO,0.353154
HaGO,0.5923
HaGO,0.552274
HaGO,0.316667
HaGO,0.612019
G CCS,4.25795
G CCS,3.771967
G CCS,2.5366
G CCS,10.06879
G CCS,4.160625
