tipo,tamano_cm2
HCO,0.169448
HCO,0.215739
HCO,0.395208
HCO,0.42202
HCO,0.109258
C CCS,4.708403
C CCS,3.225944
C CCS,1.551083
C CCS,2.16669
C CCS,2.942857
C CCS,4.634792
