condicion,fitc_flux
SI CCS Sham,9.395e-07
SI CCS Sham,6.019e-07
SI CCS Sham,9.567e-07
SI CCS Tie In,1.598e-07
SI CCS Tie In,3.59e-07
SI CCS Tie In,2.801e-07
SI CCS Tie In,2.631e-07
