condicion,amplitud
Human SI,0.1841
Human SI,0.2385
Human SI,0.1427
SI CCS,0.1561
SI CCS,0.1809
SI CCS,0.1918
SI CCS,0.1715
SI CCS,0.144
tHIO+ENS,0.0717
tHIO+ENS,0.0201
tHIO+ENS,0.0544
tHIO+ENS,0.0943
