condicion,auc_neuromuscular
control,90.16190476
control,283.5566038
control,267.64
control,51.8852459
control,440.4204545
control,1107.619048
control,1087.47619
control,59.2
after ttx,-53.81904762
after ttx,-111.2169811
after ttx,41.3
after ttx,7.368852459
after ttx,21.75
after ttx,258.5238095
after ttx,-286.3174603
after ttx,-65.62
