carbono_organico_pct,carbono_total_pct,del13C_permil
1.04935682385912,2.39372,-8.39777352430045
1.11330680550924,2.62056,-8.8377300554359
1.00270642080107,3.0017081456824,-6.95623426749413
0.999569338617483,3.08623273170732,-6.89952921461448
1.08842757338563,3.33491911459534,-6.97573946953073
1.05923647352581,2.97771,-7.86659068458439
0.890445737993985,2.88561,-7.26561382346675
0.949007428328599,3.04763,-7.85723172847688
1.00841250339086,3.11559,-7.73360061445534
0.692865333608893,2.64214,-7.59991241634527
0.805618637569872,3.13333,-7.32049547469283
0.747558961954093,3.23956,-7.47770220235487
0.924341771809791,3.38078,-7.70325312018496
1.31737755748419,3.72131,-7.76984056488419
1.16735153784649,3.47873,-7.68781248703564
0.771292010797069,2.59058,-7.89791828704255
0.679334886777647,2.40682,-8.22310072054175
0.797893023017761,2.51624,-8.7006223513869
0.743844137627194,2.69406,-8.19203992388758
0.611965052627218,2.68633,-6.41977661944867
0.813925307784211,3.11808,-7.60057221588737
0.69025448676308,2.75122,-8.17615762764732
0.606191766300237,2.75861,-6.62047176425128
0.515186105587469,2.88549,-5.58666653802125
0.511528374981372,3.10278,-4.6644917497283
0.416798354036154,3.19293,-4.65500139194673
0.474695493612991,3.2867,-5.43558262742944
0.46111133875264,3.28869,-5.3212278402787
0.434636034699289,3.2487,-5.56375268647402
0.40738733741979,3.25322,-4.88492374670757
0.404665763386667,3.25479,-5.03535227793908
0.404873657970987,3.34729,-4.69647032106161
0.502564437493729,3.40836,-5.70096006554322
0.463250243774455,3.36495,-5.44776560425657
0.492224357252044,3.38405,-5.93905501511648
0.395808279527304,3.31029,-5.08741544916786
0.256236453008208,2.95170413941228,-4.34799090331275
0.220304338462602,2.80608424093675,-3.56123502656482
0.203464270619924,2.88936422454805,-3.61571451678938
0.180144521496297,2.9671302866488,-3.38208313729237
0.159881443393432,2.88614967320261,-2.97720480763566
0.144321877894424,2.055,-2.531
0.153113422902547,2.8934342842967,-2.86318223374482
0.149873079936167,2.95458363525149,-3.02959689884939
0.154266115625958,2.87881487257173,-3.12117294329234
0.162941677147371,2.93498570257718,-3.30156386294448
0.143854464828784,2.98019279813218,-3.05525715912308
0.13986185656597,2.95938284049109,-2.99044736035373
0.155666128727596,2.9873454484669,-3.34192196352239
0.14646818037706,3.0945791172786,-3.20027590168603
0.150132020421322,3.07824384080859,-3.43313754111694
0.139079940449639,3.00606561656564,-3.46294243551842
0.139901710395925,3.13607425514252,-3.47137674960054
0.165325849122803,3.13877906446613,-3.76310210354242
0.167087441855742,3.19682763207906,-3.64155227135564
0.153448983721438,2.97840512147078,-3.77903223679812
