agua_ahorrada_km3,nivel_recuperado_msnm,costo_bUSD_2023,co2_evitado_MtCO2,sd_MtCO2
5.488,27.61,1.984,114.16,11.49
30.102,36.15,9.734,322.62,25.24
39.671,41.87,20.274,429.47,33.27
57.33,53.54,69.409,604.09,48.055
