tiempo_retencion_s,vth_N0_vstar,vth_Nm1_vstar,vth_Nm2_vstar,vth_Nm3_vstar
1.0,0.00072,-1.02235,-1.99841,-3.05918
10.0,-0.03929,-1.00064,-2.06282,-2.96153
100.0,0.061014,-0.92151,-1.92026,-2.98174
1000.0,0.12083,-1.03819,-2.10095,-3.08337
5000.0,0.00056,-0.94078,-2.06143,-3.11861
