programming_vgs_v,delta_vth_vstar,operacion
-28.6,0.00426,quitar
-28.7,-0.08072,quitar
-28.8,-1.08179,quitar
-28.9,-0.96089,quitar
-29.0,-1.03703,quitar
-29.1,-1.00356,quitar
-29.2,-1.00902,quitar
-29.3,-1.91969,quitar
-29.4,-1.92242,quitar
-29.5,-1.92023,quitar
-29.6,-1.99557,quitar
-29.7,-2.00733,quitar
-29.8,-3.04082,quitar
-29.9,-3.03935,quitar
-30.0,-3.01839,quitar
33.0,0.04894,anadir
33.1,-0.03797,anadir
33.2,0.99364,anadir
33.3,0.88695,anadir
33.4,0.98891,anadir
33.5,0.91299,anadir
33.6,0.84082,anadir
33.7,1.96766,anadir
33.8,1.87977,anadir
33.9,2.04805,anadir
34.0,1.97513,anadir
34.1,1.95705,anadir
34.2,2.91555,anadir
34.3,2.81817,anadir
34.4,2.9041,anadir
