edad_modelo_ma,edad_ga_atras,radio_km
401.6705,4.1653,84.4271
403.2469,4.1638,75.9274
403.6187,4.1634,67.8025
404.3315,4.1627,79.3144
406.1143,4.1609,69.3264
406.2786,4.1607,73.2662
407.5737,4.1594,85.8133
410.3467,4.1567,131.3370
410.7094,4.1563,83.5545
412.2340,4.1548,88.4962
415.7335,4.1513,121.3552
416.7995,4.1502,77.1930
418.2768,4.1487,95.8755
424.2378,4.1428,106.1710
426.6718,4.1403,144.8639
429.7911,4.1372,110.7453
431.7497,4.1353,88.8624
438.5145,4.1285,84.2889
443.6552,4.1233,151.0856
445.0172,4.1220,188.1159
446.6552,4.1203,69.6505
447.9915,4.1190,116.6923
449.1273,4.1179,69.2125
449.9447,4.1171,69.1542
452.6768,4.1143,124.8585
452.8714,4.1141,68.8755
453.2122,4.1138,70.5143
455.5342,4.1115,70.7769
456.9980,4.1100,112.1566
458.0247,4.1090,92.8214
462.6398,4.1044,141.2648
462.9114,4.1041,76.5375
464.8265,4.1022,79.6816
465.1111,4.1019,278.0983
466.9174,4.1001,128.8421
467.8272,4.0992,128.2967
469.9123,4.0971,286.2620
473.4719,4.0935,93.8017
476.0790,4.0909,74.4467
478.1440,4.0889,88.1719
480.6437,4.0864,112.1337
481.1123,4.0859,97.6874
482.1665,4.0848,92.1921
482.7021,4.0843,95.4706
486.4420,4.0806,79.0907
487.6362,4.0794,77.4462
488.9172,4.0781,84.0917
494.1235,4.0729,83.0041
494.2390,4.0728,161.3673
496.1119,4.0709,231.9209
497.8096,4.0692,71.9258
499.0590,4.0679,92.7142
501.4185,4.0656,86.3872
504.0575,4.0629,71.0069
504.0684,4.0629,99.6377
509.8172,4.0572,68.7145
510.8787,4.0561,73.0361
514.5436,4.0525,255.1390
514.8642,4.0521,72.2560
519.0577,4.0479,135.8475
519.9919,4.0470,72.3585
521.0725,4.0459,1892.6546
523.3174,4.0437,72.4457
535.0161,4.0320,84.8007
537.7645,4.0292,2087.5764
542.0798,4.0249,78.8993
543.9494,4.0231,72.3803
545.3679,4.0216,113.9888
547.2930,4.0197,72.6843
562.0331,4.0050,2005.9701
564.6122,4.0024,98.7333
572.6645,3.9943,79.2679
581.1403,3.9859,109.0778
585.2036,3.9818,88.4162
586.1701,3.9808,82.8174
586.2363,3.9808,2987.9191
587.8050,3.9792,84.1680
592.1501,3.9748,236.6178
593.5681,3.9734,112.7199
595.6352,3.9714,170.9701
597.8384,3.9692,74.7175
602.4143,3.9646,245.7757
606.8034,3.9602,79.8430
609.6549,3.9573,448.0618
611.5174,3.9555,107.0067
615.3984,3.9516,81.0272
624.0048,3.9430,91.5887
631.6659,3.9353,285.9551
636.5344,3.9305,72.9566
657.8802,3.9091,187.3253
669.5099,3.8975,93.0743
687.5801,3.8794,94.4548
699.9801,3.8670,74.6064
704.2796,3.8627,1873.2121
707.1347,3.8599,346.7180
709.7600,3.8572,71.0786
711.8780,3.8551,74.5042
733.7103,3.8333,76.4420
746.9018,3.8201,80.7491
772.8017,3.7942,138.0373
775.7866,3.7912,248.4155
787.4818,3.7795,236.5609
797.2837,3.7697,88.1236
800.9814,3.7660,82.5919
802.6872,3.7643,127.0901
818.7433,3.7483,118.9479
838.1702,3.7288,108.3714
929.0674,3.6379,246.0042
1060.8074,3.5062,68.1656
