velocidad_km_s,presion_pico_gpa,dT_pico_k
11,128.7,821.1
12,153.1,980.9
13,179.7,1154.9
14,208.4,1343.1
15,239.2,1545.5
16,272.2,1762.0
17,307.3,1992.8
18,344.5,2237.8
19,383.8,2496.9
20,425.2,2770.3
21,468.8,3057.8
22,514.5,3359.6
23,562.3,3675.5
24,612.3,4005.6
25,664.4,4349.9
26,718.6,4708.4
27,774.9,5081.2
28,833.3,5468.1
29,893.9,5869.2
30,956.6,6284.5
31,1021.4,6714.0
32,1088.4,7157.6
33,1157.5,7615.5
34,1228.7,8087.6
35,1302.0,8573.9
36,1377.4,9074.3
37,1455.0,9589.0
38,1534.7,10117.8
39,1616.5,10660.9
40,1700.5,11218.1
