sample,nucleobase,concentration_pmol_g,error
Ryugu A0480,Uracilo,86,15
Ryugu C0370,Uracilo,199,11
Ryugu A0106 (prev.),Uracilo,98,38
Ryugu C0107 (prev.),Uracilo,285,57
